ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:39:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,28.0,317091.0,67.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:40:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,45.0,317136.0,67.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:41:00+00:00,0.67,0.68,0.67,0.68,0.6705,0.67,0.67,0.68,920.0,318056.0,68.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:42:00+00:00,0.67,0.71,0.67,0.71,0.6952,0.68,0.7,0.71,2066.0,319093.0,71.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:43:00+00:00,0.71,0.72,0.71,0.72,0.7157,0.71,0.71,0.72,3125.0,322217.0,72.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:44:00+00:00,0.72,0.75,0.71,0.71,0.7351,0.72,0.7,0.71,27971.0,331993.0,71.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:45:00+00:00,0.71,0.78,0.71,0.78,0.7385,0.71,0.77,0.78,27337.0,359144.0,78.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:46:00+00:00,0.78,0.8,0.78,0.8,0.798,0.78,0.79,0.8,30091.0,388635.0,80.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:47:00+00:00,0.8,0.81,0.8,0.81,0.8081,0.8,0.8,0.81,76855.0,462733.0,81.0
KXNBAGAME-26MAR27MIACLE-CLE,KXNBAGAME-26MAR27MIACLE,,CLE,,2026-03-27 23:48:00+00:00,0.81,0.81,0.8,0.81,0.8097,0.81,0.8,0.81,34921.0,496752.0,81.0
