ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:10:00+00:00,,,,,,0.96,0.95,0.96,0.0,57820.0,
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:11:00+00:00,0.95,0.96,0.95,0.96,0.9598,0.96,0.95,0.96,417.0,58216.0,96.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:12:00+00:00,0.96,0.96,0.95,0.96,0.952,0.96,0.95,0.96,65.0,58229.0,96.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:13:00+00:00,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.96,122.0,58332.0,96.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:14:00+00:00,0.96,0.96,0.95,0.95,0.9507,0.96,0.94,0.95,683.0,59015.0,95.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:15:00+00:00,,,,,,0.95,0.94,0.95,0.0,59015.0,
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:16:00+00:00,0.95,0.95,0.94,0.94,0.9408,0.95,0.94,0.95,357.0,59372.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:17:00+00:00,0.94,0.95,0.94,0.95,0.9407,0.94,0.94,0.95,55.0,59376.0,95.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:18:00+00:00,,,,,,0.95,0.94,0.95,0.0,59376.0,
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:19:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,520.0,59896.0,95.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:20:00+00:00,0.94,0.94,0.94,0.94,0.94,0.95,0.94,0.95,50.0,59946.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:21:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,754.0,60700.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:22:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,5296.0,65996.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:23:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,13.0,66009.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:24:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,4240.0,70249.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:25:00+00:00,0.94,0.95,0.93,0.94,0.9408,0.94,0.93,0.94,622.0,70373.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:26:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,1505.0,71483.0,94.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:27:00+00:00,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.96,1765.0,71560.0,95.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:28:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.97,5.0,71555.0,95.0
KXNBAGAME-26MAR27UTADEN-DEN,KXNBAGAME-26MAR27UTADEN,,DEN,,2026-03-28 01:29:00+00:00,,,,,,0.95,0.95,0.96,0.0,71555.0,
