period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,122,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,"Jazz lineup change (Elijah Harkless, Brice Sensabaugh, Cody Williams, Kyle Filipowski, Ace Bailey)",lineupchange,0,,basketball_play,1774660272,484,True,2026-03-28 01:11:12+00:00,1,720.0,0.0,0.0,1
4,121,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,"Nuggets lineup change (Jamal Murray, Aaron Gordon, Christian Braun, Nikola Jokic, Cameron Johnson)",lineupchange,0,,basketball_play,1774660272,483,True,2026-03-28 01:11:12+00:00,1,720.0,0.0,0.0,2
4,120,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774660272,482,True,2026-03-28 01:11:12+00:00,1,720.0,0.0,0.0,3
4,119,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,Kyle Filipowski vs. Nikola Jokic (Aaron Gordon gains possession),opentip,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1774660276,481,True,2026-03-28 01:11:16+00:00,1,720.0,0.0,0.0,4
4,118,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:50,Elijah Harkless blocks Christian Braun's two point cutting dunk,twopointmiss,0,,basketball_play,1774660285,480,True,2026-03-28 01:11:25+00:00,1,710.0,10.0,0.16666666666666666,5
4,117,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,11:48,Kyle Filipowski defensive rebound,rebound,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1774660287,479,True,2026-03-28 01:11:27+00:00,1,708.0,12.0,0.2,6
4,116,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,11:43,Brice Sensabaugh misses three point running jump shot,threepointmiss,0,,basketball_play,1774660293,478,True,2026-03-28 01:11:33+00:00,1,703.0,17.0,0.2833333333333333,7
4,115,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:40,Cameron Johnson defensive rebound,rebound,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1774660296,477,True,2026-03-28 01:11:36+00:00,1,700.0,20.0,0.3333333333333333,8
4,114,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:33,Elijah Harkless blocks Aaron Gordon's two point pullup jump shot,twopointmiss,0,,basketball_play,1774660297,476,True,2026-03-28 01:11:37+00:00,1,693.0,27.0,0.45,9
4,113,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,11:32,Aaron Gordon offensive rebound,rebound,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1774660298,475,True,2026-03-28 01:11:38+00:00,1,692.0,28.0,0.4666666666666667,10
