ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:10:00+00:00,0.86,0.86,0.85,0.85,0.8587,0.86,0.85,0.86,197.0,64542.0,85.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:11:00+00:00,0.86,0.86,0.86,0.86,0.86,0.85,0.86,0.87,41.0,64583.0,86.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:12:00+00:00,0.86,0.86,0.85,0.86,0.8503,0.86,0.86,0.87,5421.0,69941.0,86.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:13:00+00:00,0.86,0.88,0.86,0.87,0.8754,0.86,0.85,0.87,2032.0,71738.0,87.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:14:00+00:00,0.85,0.88,0.85,0.88,0.8617,0.87,0.86,0.88,695.0,72125.0,88.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:15:00+00:00,0.88,0.89,0.87,0.88,0.8895,0.88,0.88,0.89,478.0,72599.0,88.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:16:00+00:00,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,13002.0,85587.0,88.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:17:00+00:00,0.88,0.91,0.87,0.91,0.889,0.88,0.9,0.91,4462.0,90049.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:18:00+00:00,0.91,0.92,0.9,0.92,0.9108,0.91,0.91,0.93,1244.0,91274.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:19:00+00:00,0.91,0.92,0.91,0.92,0.9154,0.92,0.91,0.92,6928.0,98096.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:20:00+00:00,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,952.0,99048.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:21:00+00:00,0.92,0.93,0.92,0.93,0.9202,0.92,0.91,0.93,18794.0,117714.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:22:00+00:00,0.93,0.94,0.92,0.92,0.9305,0.93,0.92,0.94,1008.0,118706.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:23:00+00:00,0.92,0.93,0.91,0.92,0.9242,0.92,0.91,0.92,8495.0,127156.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:24:00+00:00,0.92,0.94,0.92,0.93,0.9254,0.92,0.92,0.93,1444.0,128557.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:25:00+00:00,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,159.0,128716.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:26:00+00:00,0.94,0.95,0.93,0.94,0.9403,0.93,0.94,0.95,2637.0,129587.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:27:00+00:00,0.95,0.95,0.94,0.95,0.9499,0.94,0.94,0.95,3321.0,132881.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:28:00+00:00,0.95,0.96,0.95,0.95,0.9504,0.95,0.94,0.96,340.0,133221.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:29:00+00:00,0.95,0.95,0.93,0.94,0.9488,0.95,0.93,0.94,11182.0,143285.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:30:00+00:00,0.93,0.94,0.93,0.94,0.9382,0.94,0.93,0.94,2124.0,144948.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:31:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,1897.0,146845.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:32:00+00:00,0.93,0.94,0.93,0.94,0.9313,0.94,0.93,0.94,865.0,146416.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:33:00+00:00,0.94,0.94,0.93,0.94,0.94,0.94,0.93,0.94,653.0,147068.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:34:00+00:00,0.94,0.95,0.91,0.95,0.9359,0.94,0.93,0.95,482.0,147548.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:35:00+00:00,0.94,0.95,0.93,0.94,0.9412,0.95,0.93,0.94,542.0,148014.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:36:00+00:00,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.95,146.0,148160.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:37:00+00:00,0.95,0.95,0.94,0.95,0.9471,0.95,0.94,0.95,1399.0,148759.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:38:00+00:00,0.95,0.95,0.94,0.94,0.9421,0.95,0.93,0.94,2621.0,151370.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:39:00+00:00,0.93,0.95,0.93,0.94,0.9394,0.94,0.93,0.94,101.0,151410.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:40:00+00:00,0.94,0.94,0.93,0.94,0.9332,0.94,0.93,0.94,88.0,151438.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:41:00+00:00,0.94,0.94,0.93,0.94,0.9366,0.94,0.93,0.94,161.0,151571.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:42:00+00:00,0.93,0.93,0.9,0.9,0.9184,0.94,0.91,0.92,3540.0,155000.0,90.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:43:00+00:00,0.91,0.92,0.9,0.91,0.91,0.9,0.9,0.91,7493.0,162492.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:44:00+00:00,0.91,0.91,0.9,0.91,0.9099,0.91,0.9,0.91,939.0,163213.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:45:00+00:00,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,129.0,163342.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:46:00+00:00,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,250.0,163592.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:47:00+00:00,0.91,0.91,0.91,0.91,0.91,0.91,0.9,0.91,4379.0,167971.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:48:00+00:00,0.91,0.91,0.89,0.89,0.8984,0.91,0.88,0.89,2005.0,169886.0,89.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:49:00+00:00,0.89,0.91,0.88,0.89,0.8848,0.89,0.89,0.9,2631.0,171171.0,89.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:50:00+00:00,0.9,0.92,0.9,0.92,0.9183,0.89,0.92,0.94,1442.0,172463.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:51:00+00:00,0.92,0.94,0.92,0.93,0.9323,0.92,0.93,0.94,1849.0,172621.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:52:00+00:00,0.93,0.94,0.93,0.93,0.9386,0.93,0.92,0.93,174.0,172795.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:53:00+00:00,0.93,0.94,0.91,0.92,0.9299,0.93,0.91,0.93,2687.0,175357.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:54:00+00:00,0.93,0.93,0.9,0.91,0.9111,0.92,0.91,0.93,4890.0,180167.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:55:00+00:00,0.92,0.92,0.91,0.92,0.9139,0.91,0.91,0.92,3587.0,179635.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:56:00+00:00,0.92,0.92,0.91,0.92,0.9173,0.92,0.91,0.92,207.0,179730.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:57:00+00:00,0.91,0.91,0.9,0.91,0.91,0.92,0.9,0.91,2244.0,180402.0,91.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:58:00+00:00,0.91,0.93,0.91,0.92,0.9195,0.91,0.92,0.93,2281.0,181169.0,92.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 02:59:00+00:00,0.93,0.95,0.92,0.94,0.9348,0.92,0.93,0.95,31829.0,178095.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:00:00+00:00,0.95,0.95,0.93,0.95,0.9476,0.94,0.94,0.95,3316.0,180942.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:01:00+00:00,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,265.0,181207.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:02:00+00:00,0.94,0.95,0.94,0.95,0.95,0.95,0.94,0.95,2334.0,183535.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:03:00+00:00,0.95,0.95,0.94,0.95,0.9495,0.95,0.95,0.96,2164.0,184182.0,95.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:04:00+00:00,0.96,0.96,0.93,0.93,0.9405,0.95,0.92,0.94,2221.0,185741.0,93.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:05:00+00:00,0.94,0.95,0.94,0.94,0.941,0.93,0.93,0.94,3601.0,189342.0,94.0
KXNBAGAME-26MAR27WASGSW-GSW,KXNBAGAME-26MAR27WASGSW,,GSW,,2026-03-28 03:06:00+00:00,0.94,0.94,0.93,0.93,0.9302,0.94,0.93,0.94,16987.0,206203.0,93.0
