period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,101,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Duncan Robinson, Jalen Duren, Tobias Harris, Daniss Jenkins, Ausar Thompson)",lineupchange,0,,basketball_play,1774734044,476,True,2026-03-28 21:40:44+00:00,1,720.0,0.0,0.0,1
4,100,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,12:00,"Timberwolves lineup change (Mike Conley, Julius Randle, Donte DiVincenzo, Rudy Gobert, Terrence Shannon Jr.)",lineupchange,0,,basketball_play,1774734044,475,True,2026-03-28 21:40:44+00:00,1,720.0,0.0,0.0,2
4,99,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774734044,474,True,2026-03-28 21:40:44+00:00,1,720.0,0.0,0.0,3
4,98,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,Jalen Duren vs. Rudy Gobert (Daniss Jenkins gains possession),opentip,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734047,473,True,2026-03-28 21:40:47+00:00,1,720.0,0.0,0.0,4
4,97,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:46,Daniss Jenkins misses two point driving layup,twopointmiss,0,,basketball_play,1774734058,472,True,2026-03-28 21:40:58+00:00,1,706.0,14.0,0.23333333333333334,5
4,96,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:44,Julius Randle defensive rebound,rebound,0,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734060,471,True,2026-03-28 21:41:00+00:00,1,704.0,16.0,0.26666666666666666,6
4,95,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:41,Donte DiVincenzo misses two point running layup,twopointmiss,0,,basketball_play,1774734063,470,True,2026-03-28 21:41:03+00:00,1,701.0,19.0,0.31666666666666665,7
4,94,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:38,Ausar Thompson defensive rebound,rebound,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734066,469,True,2026-03-28 21:41:06+00:00,1,698.0,22.0,0.36666666666666664,8
4,93,quarter,1,,0,11:25,Stoppage (Out of bounds),stoppage,0,,basketball_play,1774734082,468,True,2026-03-28 21:41:22+00:00,1,685.0,35.0,0.5833333333333334,9
4,92,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:21,Daniss Jenkins misses three point jump shot,threepointmiss,0,,basketball_play,1774734109,467,True,2026-03-28 21:41:49+00:00,1,681.0,39.0,0.65,10
4,91,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:18,Julius Randle defensive rebound,rebound,0,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734112,466,True,2026-03-28 21:41:52+00:00,1,678.0,42.0,0.7,11
4,90,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:08,Rudy Gobert makes two point cutting dunk (Mike Conley assists),twopointmade,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734123,465,True,2026-03-28 21:42:03+00:00,1,668.0,52.0,0.8666666666666667,12
4,89,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,10:53,Tobias Harris makes two point driving floating jump shot (Duncan Robinson assists),twopointmade,2,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734138,464,True,2026-03-28 21:42:18+00:00,1,653.0,67.0,1.1166666666666667,13
4,88,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,2,10:53,Julius Randle shooting foul (Tobias Harris draws the foul),shootingfoul,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734143,463,True,2026-03-28 21:42:23+00:00,1,653.0,67.0,1.1166666666666667,14
4,87,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,10:53,Tobias Harris makes regular free throw 1 of 1,freethrowmade,2,,basketball_play,1774734175,462,True,2026-03-28 21:42:55+00:00,1,653.0,67.0,1.1166666666666667,15
4,86,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,10:37,Julius Randle makes two point turnaround jump shot (Terrence Shannon Jr. assists),twopointmade,4,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734194,461,True,2026-03-28 21:43:14+00:00,1,637.0,83.0,1.3833333333333333,16
4,85,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,10:22,Daniss Jenkins misses two point stepback jump shot,twopointmiss,4,,basketball_play,1774734209,460,True,2026-03-28 21:43:29+00:00,1,622.0,98.0,1.6333333333333333,17
4,84,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,10:19,Daniss Jenkins offensive rebound,rebound,4,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734212,459,True,2026-03-28 21:43:32+00:00,1,619.0,101.0,1.6833333333333333,18
4,83,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,10:17,Jalen Duren turnover (offensive goaltending),turnover,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734219,458,True,2026-03-28 21:43:39+00:00,1,617.0,103.0,1.7166666666666666,19
4,82,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,10:05,Donte DiVincenzo misses three point jump shot,threepointmiss,4,,basketball_play,1774734241,457,True,2026-03-28 21:44:01+00:00,1,605.0,115.0,1.9166666666666667,20
4,81,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,10:03,Jalen Duren defensive rebound,rebound,4,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734243,456,True,2026-03-28 21:44:03+00:00,1,603.0,117.0,1.95,21
4,80,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,9:55,Donte DiVincenzo blocks Jalen Duren's two point driving hook shot,twopointmiss,4,,basketball_play,1774734252,455,True,2026-03-28 21:44:12+00:00,1,595.0,125.0,2.0833333333333335,22
4,79,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,9:53,Rudy Gobert defensive rebound,rebound,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734254,454,True,2026-03-28 21:44:14+00:00,1,593.0,127.0,2.1166666666666667,23
4,78,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,9:52,Rudy Gobert turnover (bad pass) (Ausar Thompson steals),turnover,4,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734261,453,True,2026-03-28 21:44:21+00:00,1,592.0,128.0,2.1333333333333333,24
4,77,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,3,9:37,Julius Randle blocks Jalen Duren's two point driving layup,twopointmiss,4,,basketball_play,1774734269,452,True,2026-03-28 21:44:29+00:00,1,577.0,143.0,2.3833333333333333,25
4,76,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,9:34,Terrence Shannon Jr. defensive rebound,rebound,4,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734272,451,True,2026-03-28 21:44:32+00:00,1,574.0,146.0,2.433333333333333,26
4,75,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,3,9:31,Mike Conley makes three point running jump shot (Terrence Shannon Jr. assists),threepointmade,7,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774734275,450,True,2026-03-28 21:44:35+00:00,1,571.0,149.0,2.4833333333333334,27
4,74,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,6,9:16,Tobias Harris makes three point pullup jump shot,threepointmade,7,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734290,449,True,2026-03-28 21:44:50+00:00,1,556.0,164.0,2.7333333333333334,28
4,73,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,6,9:01,Jalen Duren shooting foul (Rudy Gobert draws the foul),shootingfoul,7,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1774734308,448,True,2026-03-28 21:45:08+00:00,1,541.0,179.0,2.9833333333333334,29
