ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:09:00+00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.69,1692.0,269601.0,69.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:10:00+00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.69,6174.0,275775.0,69.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:11:00+00:00,0.69,0.69,0.68,0.69,0.6883,0.69,0.68,0.69,5725.0,281500.0,69.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:12:00+00:00,0.69,0.75,0.69,0.75,0.7052,0.69,0.73,0.74,2767.0,283954.0,75.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:13:00+00:00,0.74,0.74,0.73,0.74,0.737,0.75,0.73,0.74,13866.0,297818.0,74.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:14:00+00:00,0.74,0.74,0.68,0.7,0.705,0.74,0.69,0.72,17243.0,311435.0,70.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:15:00+00:00,0.7,0.72,0.7,0.72,0.7196,0.7,0.7,0.72,11751.0,321407.0,72.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:16:00+00:00,0.72,0.72,0.71,0.71,0.719,0.72,0.7,0.71,16733.0,333970.0,71.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:17:00+00:00,0.71,0.71,0.69,0.7,0.6997,0.71,0.69,0.7,1467.0,335419.0,70.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:18:00+00:00,0.7,0.72,0.7,0.71,0.7039,0.7,0.7,0.71,19517.0,354807.0,71.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:19:00+00:00,0.71,0.74,0.71,0.74,0.7231,0.71,0.73,0.74,2692.0,357199.0,74.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:20:00+00:00,0.74,0.74,0.73,0.74,0.74,0.74,0.73,0.74,3092.0,360287.0,74.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:21:00+00:00,0.74,0.74,0.73,0.74,0.74,0.74,0.73,0.74,4983.0,365231.0,74.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:22:00+00:00,0.74,0.75,0.74,0.75,0.7498,0.74,0.74,0.75,3972.0,369198.0,75.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:23:00+00:00,0.75,0.76,0.74,0.75,0.7409,0.75,0.74,0.75,12113.0,381082.0,75.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:24:00+00:00,0.75,0.76,0.72,0.72,0.7351,0.75,0.71,0.72,4287.0,382116.0,72.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:25:00+00:00,0.72,0.75,0.71,0.71,0.7374,0.72,0.7,0.71,6559.0,377945.0,71.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:26:00+00:00,0.71,0.71,0.7,0.7,0.7097,0.71,0.7,0.71,1098.0,379010.0,70.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:27:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,3155.0,382165.0,70.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:28:00+00:00,0.7,0.72,0.69,0.72,0.7002,0.7,0.71,0.72,6808.0,388973.0,72.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:29:00+00:00,0.72,0.72,0.7,0.72,0.713,0.72,0.71,0.72,1286.0,390259.0,72.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:30:00+00:00,0.72,0.76,0.72,0.76,0.7339,0.72,0.75,0.76,4423.0,393264.0,76.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:31:00+00:00,0.76,0.77,0.72,0.72,0.7354,0.76,0.71,0.72,2929.0,396168.0,72.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:32:00+00:00,0.72,0.76,0.7,0.76,0.7358,0.72,0.75,0.77,18726.0,413127.0,76.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:33:00+00:00,0.78,0.78,0.73,0.76,0.7582,0.76,0.76,0.77,4014.0,416159.0,76.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:34:00+00:00,0.77,0.78,0.77,0.78,0.7732,0.76,0.77,0.78,17369.0,418629.0,78.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:35:00+00:00,0.77,0.78,0.77,0.78,0.7799,0.78,0.77,0.78,3683.0,422232.0,78.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:36:00+00:00,0.78,0.78,0.77,0.78,0.7799,0.78,0.77,0.78,3847.0,426023.0,78.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:37:00+00:00,0.78,0.85,0.77,0.85,0.8006,0.78,0.83,0.85,1125.0,426718.0,85.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:38:00+00:00,0.84,0.85,0.83,0.84,0.8398,0.85,0.83,0.84,29523.0,452377.0,84.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:39:00+00:00,0.84,0.84,0.81,0.82,0.8248,0.84,0.81,0.82,4988.0,457155.0,82.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:40:00+00:00,0.82,0.83,0.82,0.83,0.8296,0.82,0.81,0.83,7838.0,464686.0,83.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:41:00+00:00,0.83,0.83,0.81,0.83,0.8199,0.83,0.82,0.83,1973.0,466659.0,83.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:42:00+00:00,0.83,0.84,0.78,0.81,0.8237,0.83,0.8,0.82,1778.0,468390.0,81.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:43:00+00:00,0.82,0.82,0.79,0.8,0.8074,0.81,0.79,0.8,7818.0,476028.0,80.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:44:00+00:00,0.8,0.82,0.78,0.8,0.7873,0.8,0.79,0.8,2847.0,478727.0,80.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:45:00+00:00,0.8,0.81,0.8,0.81,0.808,0.8,0.79,0.81,7955.0,486481.0,81.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:46:00+00:00,0.79,0.83,0.79,0.82,0.822,0.81,0.82,0.83,4925.0,488588.0,82.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:47:00+00:00,0.83,0.84,0.82,0.83,0.8254,0.82,0.82,0.83,3557.0,490350.0,83.0
KXNBAGAME-26MAR28PHICHA-CHA,KXNBAGAME-26MAR28PHICHA,,CHA,,2026-03-28 22:48:00+00:00,0.83,0.84,0.83,0.83,0.8334,0.83,0.82,0.83,1263.0,491613.0,83.0
