ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:39:00+00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.57,0.59,410.0,655582.0,59.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:40:00+00:00,0.59,0.59,0.57,0.58,0.5801,0.59,0.57,0.58,6908.0,662490.0,57.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:41:00+00:00,0.58,0.59,0.58,0.59,0.582,0.58,0.57,0.58,1618.0,664106.0,59.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:42:00+00:00,0.58,0.61,0.57,0.61,0.5878,0.59,0.6,0.61,4158.0,666440.0,61.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:43:00+00:00,0.61,0.63,0.61,0.62,0.6193,0.61,0.61,0.62,2218.0,668412.0,62.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:44:00+00:00,0.62,0.63,0.61,0.63,0.6274,0.62,0.62,0.63,16184.0,684037.0,63.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:45:00+00:00,0.62,0.63,0.6,0.61,0.6081,0.63,0.6,0.61,2013.0,685521.0,61.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:46:00+00:00,0.61,0.61,0.57,0.57,0.5848,0.61,0.56,0.57,3515.0,688221.0,56.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:47:00+00:00,0.57,0.59,0.56,0.59,0.5746,0.57,0.57,0.59,6165.0,694258.0,59.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:48:00+00:00,0.59,0.61,0.57,0.57,0.5765,0.59,0.56,0.57,9462.0,701660.0,56.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:49:00+00:00,0.57,0.58,0.56,0.58,0.5706,0.57,0.57,0.58,1311.0,702971.0,57.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:50:00+00:00,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,10974.0,713943.0,57.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:51:00+00:00,0.58,0.58,0.57,0.58,0.5733,0.58,0.57,0.58,1758.0,714527.0,57.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:52:00+00:00,0.58,0.58,0.54,0.55,0.5471,0.58,0.54,0.55,2216.0,713814.0,55.00000000000001
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:53:00+00:00,0.55,0.6,0.51,0.56,0.5503,0.55,0.55,0.56,7739.0,716980.0,56.00000000000001
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:54:00+00:00,0.56,0.56,0.54,0.55,0.5512,0.56,0.55,0.56,30165.0,747052.0,55.00000000000001
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:55:00+00:00,0.56,0.56,0.46,0.47,0.5009,0.55,0.47,0.49,21495.0,753820.0,47.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:56:00+00:00,0.49,0.49,0.47,0.49,0.4888,0.47,0.48,0.49,14315.0,767423.0,49.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:57:00+00:00,0.49,0.49,0.48,0.49,0.4884,0.49,0.48,0.49,19826.0,783821.0,49.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:58:00+00:00,0.49,0.49,0.48,0.49,0.4896,0.49,0.48,0.49,5476.0,788897.0,49.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-30 23:59:00+00:00,0.49,0.49,0.47,0.47,0.4867,0.49,0.46,0.47,10679.0,795770.0,47.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-31 00:00:00+00:00,0.47,0.47,0.43,0.45,0.4461,0.47,0.46,0.47,7717.0,799480.0,45.0
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-31 00:01:00+00:00,0.47,0.57,0.47,0.57,0.5349,0.45,0.54,0.57,6913.0,803828.0,56.99999999999999
KXNBAGAME-26MAR30BOSATL-ATL,KXNBAGAME-26MAR30BOSATL,,ATL,,2026-03-31 00:02:00+00:00,0.56,0.58,0.52,0.54,0.5362,0.57,0.52,0.54,21615.0,822878.0,54.0
