ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:41:00+00:00,0.16,0.16,0.15,0.16,0.1599,0.16,0.15,0.16,7689.0,574294.0,16.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:42:00+00:00,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,10001.0,584295.0,16.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:43:00+00:00,0.16,0.16,0.15,0.15,0.1551,0.16,0.13,0.14,6486.0,590721.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:44:00+00:00,0.14,0.15,0.13,0.14,0.141,0.15,0.13,0.14,20549.0,610835.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:45:00+00:00,0.13,0.14,0.11,0.14,0.1215,0.14,0.13,0.14,13736.0,623289.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:46:00+00:00,0.14,0.15,0.13,0.14,0.1432,0.14,0.13,0.14,25249.0,646266.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:47:00+00:00,0.14,0.14,0.12,0.13,0.1306,0.14,0.12,0.13,18602.0,664702.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:48:00+00:00,0.13,0.14,0.11,0.14,0.1319,0.13,0.13,0.14,27235.0,691514.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:49:00+00:00,0.13,0.16,0.12,0.15,0.1368,0.14,0.14,0.15,39525.0,727714.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:50:00+00:00,0.15,0.16,0.13,0.14,0.1462,0.15,0.13,0.14,15192.0,742042.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:51:00+00:00,0.14,0.15,0.14,0.15,0.1497,0.14,0.14,0.15,36223.0,777744.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:52:00+00:00,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,35207.0,807467.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:53:00+00:00,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,40753.0,848136.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:54:00+00:00,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,25756.0,873891.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:55:00+00:00,0.15,0.15,0.12,0.14,0.1397,0.15,0.13,0.14,36828.0,910458.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:56:00+00:00,0.14,0.16,0.13,0.14,0.1424,0.14,0.13,0.14,20536.0,920484.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:57:00+00:00,0.14,0.14,0.13,0.14,0.1395,0.14,0.13,0.14,20561.0,940988.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:58:00+00:00,0.14,0.15,0.13,0.14,0.1405,0.14,0.14,0.15,53693.0,994255.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 01:59:00+00:00,0.14,0.16,0.13,0.14,0.1458,0.14,0.13,0.14,47410.0,1037931.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:00:00+00:00,0.14,0.15,0.13,0.15,0.1407,0.14,0.14,0.15,21827.0,1056578.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:01:00+00:00,0.15,0.15,0.12,0.13,0.1306,0.15,0.12,0.13,13312.0,1069324.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:02:00+00:00,0.13,0.14,0.12,0.13,0.1297,0.13,0.12,0.13,23804.0,1090199.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:03:00+00:00,0.13,0.13,0.12,0.12,0.1284,0.13,0.12,0.13,12698.0,1098896.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:04:00+00:00,0.13,0.13,0.12,0.13,0.1281,0.12,0.12,0.13,17135.0,1109514.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:05:00+00:00,0.13,0.13,0.12,0.13,0.13,0.13,0.12,0.13,17220.0,1126596.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:06:00+00:00,0.13,0.15,0.11,0.15,0.1351,0.13,0.13,0.15,14587.0,1134655.0,15.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:07:00+00:00,0.15,0.17,0.14,0.16,0.1572,0.15,0.15,0.16,49504.0,1171385.0,16.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:08:00+00:00,0.15,0.16,0.13,0.14,0.1528,0.16,0.14,0.15,28621.0,1198140.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:09:00+00:00,0.15,0.15,0.13,0.14,0.1436,0.14,0.13,0.14,8960.0,1206329.0,14.000000000000002
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:10:00+00:00,0.14,0.15,0.11,0.11,0.1332,0.14,0.1,0.11,19020.0,1221488.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:11:00+00:00,0.11,0.12,0.1,0.11,0.1105,0.11,0.1,0.11,7682.0,1225980.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:12:00+00:00,0.11,0.11,0.1,0.11,0.1098,0.11,0.1,0.11,10665.0,1236209.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:13:00+00:00,0.11,0.11,0.1,0.11,0.1065,0.11,0.1,0.11,15539.0,1240950.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:14:00+00:00,0.11,0.12,0.1,0.12,0.111,0.11,0.11,0.12,25175.0,1263874.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:15:00+00:00,0.12,0.12,0.1,0.1,0.1129,0.12,0.11,0.12,18073.0,1281167.0,10.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:16:00+00:00,0.12,0.13,0.11,0.13,0.121,0.1,0.12,0.13,25715.0,1306399.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:17:00+00:00,0.13,0.13,0.12,0.13,0.1276,0.13,0.12,0.13,25306.0,1331433.0,13.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:18:00+00:00,0.13,0.13,0.09,0.1,0.1104,0.13,0.09,0.1,26423.0,1356355.0,10.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:19:00+00:00,0.09,0.1,0.05,0.07,0.0743,0.1,0.06,0.07,27533.0,1369466.0,7.000000000000001
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:20:00+00:00,0.07,0.07,0.06,0.06,0.0659,0.07,0.06,0.07,30540.0,1377883.0,6.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:21:00+00:00,0.07,0.07,0.06,0.06,0.0671,0.06,0.06,0.07,65290.0,1414446.0,6.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:22:00+00:00,0.06,0.07,0.06,0.07,0.0629,0.06,0.06,0.07,9506.0,1411036.0,7.000000000000001
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:23:00+00:00,0.07,0.08,0.05,0.05,0.0692,0.07,0.05,0.06,43554.0,1452081.0,5.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:24:00+00:00,0.06,0.08,0.05,0.08,0.0724,0.05,0.07,0.08,13918.0,1450652.0,8.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:25:00+00:00,0.07,0.1,0.07,0.09,0.0838,0.08,0.08,0.09,15421.0,1458435.0,9.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:26:00+00:00,0.09,0.13,0.09,0.11,0.1071,0.09,0.11,0.13,11517.0,1455683.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:27:00+00:00,0.13,0.13,0.09,0.11,0.1161,0.11,0.1,0.11,21547.0,1460007.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:28:00+00:00,0.11,0.11,0.09,0.1,0.0992,0.11,0.09,0.1,14017.0,1473752.0,10.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:29:00+00:00,0.1,0.1,0.07,0.09,0.086,0.1,0.08,0.09,13385.0,1480650.0,9.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:30:00+00:00,0.09,0.1,0.08,0.09,0.0886,0.09,0.08,0.09,17550.0,1492943.0,9.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:31:00+00:00,0.09,0.12,0.08,0.12,0.111,0.09,0.11,0.12,35556.0,1480594.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:32:00+00:00,0.12,0.12,0.11,0.12,0.1158,0.12,0.11,0.12,18109.0,1483776.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:33:00+00:00,0.12,0.12,0.11,0.12,0.1199,0.12,0.11,0.12,14585.0,1498041.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:34:00+00:00,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,27830.0,1525705.0,12.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:35:00+00:00,0.12,0.12,0.11,0.11,0.1185,0.12,0.1,0.11,10725.0,1536248.0,11.0
KXNBAGAME-26MAR30DETOKC-DET,KXNBAGAME-26MAR30DETOKC,,DET,,2026-03-31 02:36:00+00:00,0.11,0.12,0.09,0.1,0.1065,0.11,0.09,0.1,8144.0,1543351.0,10.0
