period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
5,119,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Daniss Jenkins, Kevin Huerter, Ausar Thompson, Paul Reed, Javonte Green)",lineupchange,0,,basketball_play,1774921372,551,True,2026-03-31 01:42:52+00:00,1,720.0,0.0,0.0,1
5,118,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,12:00,"Thunder lineup change (Luguentz Dort, Chet Holmgren, Ajay Mitchell, Cason Wallace, Shai Gilgeous-Alexander)",lineupchange,0,,basketball_play,1774921372,550,True,2026-03-31 01:42:52+00:00,1,720.0,0.0,0.0,2
5,117,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774921372,549,True,2026-03-31 01:42:52+00:00,1,720.0,0.0,0.0,3
5,116,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,12:00,Paul Reed vs. Chet Holmgren (Ajay Mitchell gains possession),opentip,0,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921374,548,True,2026-03-31 01:42:54+00:00,1,720.0,0.0,0.0,4
5,115,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,11:46,Cason Wallace makes two point driving layup,twopointmade,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921385,547,True,2026-03-31 01:43:05+00:00,1,706.0,14.0,0.23333333333333334,5
5,114,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:21,Daniss Jenkins misses two point stepback jump shot,twopointmiss,2,,basketball_play,1774921410,546,True,2026-03-31 01:43:30+00:00,1,681.0,39.0,0.65,6
5,113,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:16,Ausar Thompson offensive rebound,rebound,2,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921415,545,True,2026-03-31 01:43:35+00:00,1,676.0,44.0,0.7333333333333333,7
5,112,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,11:14,Daniss Jenkins misses three point jump shot,threepointmiss,2,,basketball_play,1774921417,544,True,2026-03-31 01:43:37+00:00,1,674.0,46.0,0.7666666666666667,8
5,111,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,11:12,Thunder defensive rebound,rebound,2,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921419,543,True,2026-03-31 01:43:39+00:00,1,672.0,48.0,0.8,9
5,110,quarter,1,,0,11:12,Stoppage (Out of bounds),stoppage,2,,basketball_play,1774921424,542,True,2026-03-31 01:43:44+00:00,1,672.0,48.0,0.8,10
5,109,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,11:01,Cason Wallace makes three point jump shot (Luguentz Dort assists),threepointmade,5,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921437,541,True,2026-03-31 01:43:57+00:00,1,661.0,59.0,0.9833333333333333,11
5,108,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,10:45,Kevin Huerter misses two point reverse layup,twopointmiss,5,,basketball_play,1774921454,540,True,2026-03-31 01:44:14+00:00,1,645.0,75.0,1.25,12
5,107,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,10:42,Chet Holmgren defensive rebound,rebound,5,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921457,539,True,2026-03-31 01:44:17+00:00,1,642.0,78.0,1.3,13
5,106,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,10:33,Luguentz Dort misses three point running jump shot,threepointmiss,5,,basketball_play,1774921464,538,True,2026-03-31 01:44:24+00:00,1,633.0,87.0,1.45,14
5,105,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,10:31,Javonte Green defensive rebound,rebound,5,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921466,537,True,2026-03-31 01:44:26+00:00,1,631.0,89.0,1.4833333333333334,15
5,104,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,10:22,Ausar Thompson misses two point pullup jump shot,twopointmiss,5,,basketball_play,1774921475,536,True,2026-03-31 01:44:35+00:00,1,622.0,98.0,1.6333333333333333,16
5,103,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,10:19,Javonte Green offensive rebound,rebound,5,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921478,535,True,2026-03-31 01:44:38+00:00,1,619.0,101.0,1.6833333333333333,17
5,102,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,10:19,Javonte Green makes two point driving floating bank jump shot,twopointmade,5,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921479,534,True,2026-03-31 01:44:39+00:00,1,619.0,101.0,1.6833333333333333,18
5,101,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,2,10:06,Cason Wallace misses three point jump shot,threepointmiss,5,,basketball_play,1774921491,533,True,2026-03-31 01:44:51+00:00,1,606.0,114.0,1.9,19
5,100,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,10:02,Paul Reed defensive rebound,rebound,5,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921495,532,True,2026-03-31 01:44:55+00:00,1,602.0,118.0,1.9666666666666666,20
5,99,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:54,Paul Reed makes two point driving floating jump shot (Ausar Thompson assists),twopointmade,5,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921503,531,True,2026-03-31 01:45:03+00:00,1,594.0,126.0,2.1,21
5,98,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,9:36,Shai Gilgeous-Alexander makes three point jump shot (Chet Holmgren assists),threepointmade,8,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921521,530,True,2026-03-31 01:45:21+00:00,1,576.0,144.0,2.4,22
5,97,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,9:24,Cason Wallace shooting foul (Ausar Thompson draws the foul),shootingfoul,8,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921536,529,True,2026-03-31 01:45:36+00:00,1,564.0,156.0,2.6,23
5,96,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:24,Ausar Thompson misses regular free throw 1 of 2,freethrowmiss,8,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921561,528,True,2026-03-31 01:46:01+00:00,1,564.0,156.0,2.6,24
5,95,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:24,Pistons offensive rebound,rebound,8,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921561,527,True,2026-03-31 01:46:01+00:00,1,564.0,156.0,2.6,25
5,94,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,9:24,Ausar Thompson misses regular free throw 2 of 2,freethrowmiss,8,,basketball_play,1774921561,526,True,2026-03-31 01:46:01+00:00,1,564.0,156.0,2.6,26
5,93,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,9:20,Shai Gilgeous-Alexander defensive rebound,rebound,8,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921565,525,True,2026-03-31 01:46:05+00:00,1,560.0,160.0,2.6666666666666665,27
5,92,quarter,1,,4,9:18,Stoppage (Out of bounds),stoppage,8,,basketball_play,1774921597,524,True,2026-03-31 01:46:37+00:00,1,558.0,162.0,2.7,28
5,91,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,9:10,Chet Holmgren makes two point pullup jump shot,twopointmade,10,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921622,523,True,2026-03-31 01:47:02+00:00,1,550.0,170.0,2.8333333333333335,29
5,90,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,6,8:55,Paul Reed makes two point turnaround hook shot (Daniss Jenkins assists),twopointmade,10,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1774921637,522,True,2026-03-31 01:47:17+00:00,1,535.0,185.0,3.0833333333333335,30
5,89,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,6,8:33,Chet Holmgren turnover (lost ball) (Daniss Jenkins steals),turnover,10,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1774921660,521,True,2026-03-31 01:47:40+00:00,1,513.0,207.0,3.45,31
