ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:39:00+00:00,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,1431.0,102389.0,25.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:40:00+00:00,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,1751.0,104140.0,25.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:41:00+00:00,0.25,0.26,0.25,0.26,0.2575,0.25,0.25,0.26,1040.0,105170.0,26.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:42:00+00:00,0.26,0.26,0.25,0.26,0.26,0.26,0.25,0.26,1121.0,106281.0,26.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:43:00+00:00,0.26,0.28,0.26,0.28,0.2623,0.26,0.27,0.29,17568.0,121945.0,28.000000000000004
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:44:00+00:00,0.3,0.3,0.25,0.25,0.2757,0.28,0.25,0.26,2813.0,123788.0,25.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:45:00+00:00,0.25,0.26,0.21,0.22,0.2458,0.25,0.21,0.22,5536.0,124621.0,22.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:46:00+00:00,0.21,0.22,0.17,0.18,0.2023,0.22,0.17,0.18,15937.0,126893.0,18.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:47:00+00:00,0.18,0.18,0.17,0.18,0.1794,0.18,0.17,0.18,1759.0,128440.0,18.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:48:00+00:00,0.18,0.18,0.17,0.17,0.1781,0.18,0.16,0.17,370.0,128810.0,17.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:49:00+00:00,0.17,0.17,0.16,0.17,0.1699,0.17,0.16,0.17,1272.0,130075.0,17.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:50:00+00:00,0.17,0.18,0.13,0.13,0.1608,0.17,0.13,0.14,3135.0,132217.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:51:00+00:00,0.14,0.14,0.12,0.13,0.1341,0.13,0.12,0.13,2774.0,134768.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:52:00+00:00,0.13,0.13,0.11,0.11,0.1175,0.13,0.1,0.11,3432.0,137470.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:53:00+00:00,0.11,0.12,0.1,0.11,0.1075,0.11,0.1,0.11,4435.0,141617.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:54:00+00:00,0.1,0.1,0.09,0.09,0.0934,0.11,0.08,0.09,2371.0,143540.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:55:00+00:00,0.09,0.1,0.08,0.09,0.0938,0.09,0.09,0.1,1830.0,144977.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:56:00+00:00,0.09,0.11,0.09,0.1,0.0977,0.09,0.1,0.11,2558.0,145715.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:57:00+00:00,0.12,0.12,0.09,0.12,0.1074,0.1,0.11,0.12,5738.0,151442.0,12.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:58:00+00:00,0.12,0.14,0.11,0.13,0.1201,0.12,0.12,0.14,30347.0,181420.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 00:59:00+00:00,0.14,0.14,0.12,0.13,0.1308,0.13,0.12,0.13,1599.0,182979.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:00:00+00:00,0.13,0.13,0.12,0.13,0.1299,0.13,0.12,0.13,13038.0,195789.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:01:00+00:00,0.12,0.14,0.12,0.14,0.1308,0.13,0.13,0.14,1649.0,197350.0,14.000000000000002
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:02:00+00:00,0.14,0.16,0.13,0.13,0.1447,0.14,0.12,0.13,6742.0,200617.0,13.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:03:00+00:00,0.13,0.13,0.1,0.1,0.1085,0.13,0.09,0.11,3202.0,203789.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:04:00+00:00,0.11,0.13,0.1,0.11,0.1105,0.1,0.11,0.12,407.0,204072.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:05:00+00:00,0.11,0.11,0.08,0.1,0.1001,0.11,0.09,0.1,1926.0,205755.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:06:00+00:00,0.1,0.11,0.1,0.11,0.1052,0.1,0.1,0.11,835.0,206366.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:07:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,208.0,206574.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:08:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,52.0,206626.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:09:00+00:00,0.11,0.13,0.1,0.11,0.1152,0.11,0.1,0.11,6530.0,207632.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:10:00+00:00,0.11,0.12,0.1,0.11,0.1116,0.11,0.11,0.12,1302.0,207788.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:11:00+00:00,0.12,0.15,0.12,0.15,0.1356,0.11,0.14,0.15,1480.0,208411.0,15.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:12:00+00:00,0.15,0.15,0.11,0.12,0.1372,0.15,0.11,0.12,1492.0,209813.0,12.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:13:00+00:00,0.12,0.12,0.1,0.11,0.1111,0.12,0.1,0.11,2261.0,210576.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:14:00+00:00,0.11,0.13,0.1,0.11,0.1118,0.11,0.1,0.11,3178.0,210993.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:15:00+00:00,0.11,0.11,0.1,0.1,0.1097,0.11,0.1,0.11,1102.0,212048.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:16:00+00:00,0.11,0.11,0.1,0.1,0.1091,0.1,0.1,0.11,2070.0,213744.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:17:00+00:00,0.11,0.11,0.1,0.11,0.1093,0.1,0.1,0.11,1277.0,214856.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:18:00+00:00,0.11,0.11,0.08,0.11,0.0995,0.11,0.1,0.11,1338.0,215118.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:19:00+00:00,0.1,0.11,0.1,0.1,0.1006,0.11,0.09,0.1,1432.0,216089.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:20:00+00:00,0.1,0.1,0.09,0.09,0.0994,0.1,0.09,0.1,672.0,216713.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:21:00+00:00,0.1,0.11,0.08,0.09,0.0899,0.09,0.08,0.09,2825.0,219463.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:22:00+00:00,0.08,0.1,0.07,0.08,0.0866,0.09,0.07,0.08,1852.0,220659.0,8.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:23:00+00:00,0.08,0.08,0.06,0.08,0.0745,0.08,0.07,0.08,812.0,220860.0,8.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:24:00+00:00,0.08,0.09,0.07,0.09,0.0743,0.08,0.08,0.09,902.0,220763.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:25:00+00:00,0.08,0.1,0.08,0.08,0.0894,0.09,0.07,0.08,4022.0,220957.0,8.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:26:00+00:00,0.08,0.09,0.07,0.07,0.0807,0.08,0.08,0.1,4674.0,219334.0,7.000000000000001
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:27:00+00:00,0.08,0.1,0.08,0.1,0.0984,0.07,0.09,0.1,1360.0,220325.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:28:00+00:00,0.1,0.1,0.09,0.09,0.0991,0.1,0.09,0.1,5766.0,225091.0,9.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:29:00+00:00,0.1,0.1,0.09,0.1,0.0984,0.09,0.09,0.1,1875.0,226378.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:30:00+00:00,0.09,0.11,0.09,0.11,0.0942,0.1,0.1,0.11,2997.0,225779.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:31:00+00:00,0.1,0.13,0.1,0.12,0.111,0.11,0.1,0.11,5350.0,228686.0,12.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:32:00+00:00,0.11,0.12,0.1,0.12,0.1101,0.12,0.11,0.12,3169.0,230244.0,12.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:33:00+00:00,0.11,0.11,0.09,0.11,0.1017,0.12,0.09,0.1,873.0,230476.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:34:00+00:00,0.1,0.12,0.08,0.12,0.1127,0.11,0.11,0.12,1843.0,231712.0,12.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:35:00+00:00,0.12,0.12,0.11,0.11,0.1144,0.12,0.1,0.11,3217.0,234307.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:36:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,4240.0,238547.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:37:00+00:00,0.11,0.11,0.1,0.11,0.1096,0.11,0.1,0.11,2463.0,240792.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:38:00+00:00,0.11,0.11,0.1,0.11,0.1099,0.11,0.1,0.11,4949.0,245665.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:39:00+00:00,0.11,0.11,0.1,0.1,0.1074,0.11,0.09,0.1,2092.0,247626.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:40:00+00:00,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,7857.0,255483.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:41:00+00:00,0.1,0.11,0.09,0.11,0.1004,0.1,0.1,0.11,2170.0,257638.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:42:00+00:00,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,1909.0,259545.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:43:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,1463.0,261008.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:44:00+00:00,0.11,0.11,0.1,0.1,0.1067,0.11,0.1,0.11,4795.0,264244.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:45:00+00:00,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,1242.0,265486.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:46:00+00:00,0.11,0.11,0.1,0.11,0.1099,0.11,0.1,0.11,1535.0,267007.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:47:00+00:00,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,5896.0,272903.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:48:00+00:00,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.11,1833.0,274736.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:49:00+00:00,0.11,0.11,0.1,0.1,0.1099,0.11,0.1,0.11,1096.0,275817.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:50:00+00:00,0.11,0.11,0.1,0.11,0.1079,0.1,0.1,0.11,1688.0,277198.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:51:00+00:00,0.11,0.11,0.1,0.11,0.1099,0.11,0.1,0.11,1554.0,278720.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:52:00+00:00,0.11,0.11,0.1,0.1,0.1097,0.11,0.1,0.11,3680.0,282393.0,10.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:53:00+00:00,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.11,1322.0,283712.0,11.0
KXNBAGAME-26MAR30MINDAL-DAL,KXNBAGAME-26MAR30MINDAL,,DAL,,2026-03-31 01:54:00+00:00,0.11,0.14,0.1,0.14,0.1153,0.11,0.13,0.14,9554.0,286238.0,14.000000000000002
