period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,114,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (Joel Embiid, Tyrese Maxey, VJ Edgecombe, Paul George, Dominick Barlow)",lineupchange,0,,basketball_play,1774912382,479,True,2026-03-30 23:13:02+00:00,1,720.0,0.0,0.0,1
4,113,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,0,12:00,"Heat lineup change (Tyler Herro, Pelle Larsson, Bam Adebayo, Andrew Wiggins, Davion Mitchell)",lineupchange,0,,basketball_play,1774912382,478,True,2026-03-30 23:13:02+00:00,1,720.0,0.0,0.0,2
4,112,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1774912382,477,True,2026-03-30 23:13:02+00:00,1,720.0,0.0,0.0,3
4,111,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,0,12:00,Dominick Barlow vs. Bam Adebayo (Tyler Herro gains possession),opentip,0,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912384,476,True,2026-03-30 23:13:04+00:00,1,720.0,0.0,0.0,4
4,110,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,0,11:45,Pelle Larsson makes two point driving layup (Bam Adebayo assists),twopointmade,2,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1774912396,475,True,2026-03-30 23:13:16+00:00,1,705.0,15.0,0.25,5
4,109,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,11:31,VJ Edgecombe makes two point pullup jump shot (Joel Embiid assists),twopointmade,2,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912410,474,True,2026-03-30 23:13:30+00:00,1,691.0,29.0,0.48333333333333334,6
4,108,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,2,11:15,Davion Mitchell makes two point driving floating bank jump shot,twopointmade,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1774912426,473,True,2026-03-30 23:13:46+00:00,1,675.0,45.0,0.75,7
4,107,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,10:58,Joel Embiid makes three point jump shot (VJ Edgecombe assists),threepointmade,4,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912443,472,True,2026-03-30 23:14:03+00:00,1,658.0,62.0,1.0333333333333334,8
4,106,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,5,10:43,Andrew Wiggins misses two point driving layup,twopointmiss,4,,basketball_play,1774912458,471,True,2026-03-30 23:14:18+00:00,1,643.0,77.0,1.2833333333333334,9
4,105,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,5,10:39,Andrew Wiggins offensive rebound,rebound,4,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912462,470,True,2026-03-30 23:14:22+00:00,1,639.0,81.0,1.35,10
4,104,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,5,10:39,Andrew Wiggins misses two point tip layup,twopointmiss,4,,basketball_play,1774912462,469,True,2026-03-30 23:14:22+00:00,1,639.0,81.0,1.35,11
4,103,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,10:38,Dominick Barlow defensive rebound,rebound,4,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1774912462,468,True,2026-03-30 23:14:22+00:00,1,638.0,82.0,1.3666666666666667,12
4,102,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,10:23,Paul George misses three point jump shot,threepointmiss,4,,basketball_play,1774912477,467,True,2026-03-30 23:14:37+00:00,1,623.0,97.0,1.6166666666666667,13
4,101,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,5,10:23,Heat defensive rebound,rebound,4,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912477,466,True,2026-03-30 23:14:37+00:00,1,623.0,97.0,1.6166666666666667,14
4,100,quarter,1,,5,10:23,Stoppage (Out of bounds),stoppage,4,,basketball_play,1774912482,465,True,2026-03-30 23:14:42+00:00,1,623.0,97.0,1.6166666666666667,15
4,99,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,5,10:11,Tyler Herro makes two point pullup jump shot,twopointmade,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1774912497,464,True,2026-03-30 23:14:57+00:00,1,611.0,109.0,1.8166666666666667,16
4,98,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:55,Tyrese Maxey turnover (bad pass) (Andrew Wiggins steals),turnover,6,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1774912512,463,True,2026-03-30 23:15:12+00:00,1,595.0,125.0,2.0833333333333335,17
