event_ticker,milestone_id,away_code,home_code,game_dir,play_by_play_csv,game_stats_json,candles_csv,milestone_details_json,error,game_start_ts,game_end_ts,candle_rows,game_date,split
KXNBAGAME-26APR01MILHOU,ddfcf8e9-b868-4a9b-a741-8e6ee3783d72,MIL,HOU,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01MILHOU,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01MILHOU/KXNBAGAME-26APR01MILHOU_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01MILHOU/KXNBAGAME-26APR01MILHOU_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01MILHOU/KXNBAGAME-26APR01MILHOU_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01MILHOU/KXNBAGAME-26APR01MILHOU_milestone_details.json,,1775088688.0,1775096387.0,265.0,2026-04-01,train
KXNBAGAME-26APR01PHIWAS,2a9d01f5-caf4-45f1-bf11-337f157781df,PHI,WAS,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01PHIWAS,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01PHIWAS/KXNBAGAME-26APR01PHIWAS_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01PHIWAS/KXNBAGAME-26APR01PHIWAS_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01PHIWAS/KXNBAGAME-26APR01PHIWAS_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01PHIWAS/KXNBAGAME-26APR01PHIWAS_milestone_details.json,,1775085064.0,1775092435.0,256.0,2026-04-01,train
KXNBAGAME-26APR01INDCHI,b4880c31-87b9-40a4-913b-5012c35fae31,IND,CHI,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01INDCHI,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01INDCHI/KXNBAGAME-26APR01INDCHI_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01INDCHI/KXNBAGAME-26APR01INDCHI_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01INDCHI/KXNBAGAME-26APR01INDCHI_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01INDCHI/KXNBAGAME-26APR01INDCHI_milestone_details.json,,1775088631.0,1775096134.0,259.0,2026-04-01,train
KXNBAGAME-26APR01SASGSW,7e834216-c38e-49d4-bf36-fedd645207e5,SAS,GSW,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SASGSW,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SASGSW/KXNBAGAME-26APR01SASGSW_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SASGSW/KXNBAGAME-26APR01SASGSW_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SASGSW/KXNBAGAME-26APR01SASGSW_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SASGSW/KXNBAGAME-26APR01SASGSW_milestone_details.json,,1775095972.0,1775104587.0,299.0,2026-04-01,train
KXNBAGAME-26APR01NYKMEM,554500fe-ea9d-48b7-bf2e-bec19304623d,NYK,MEM,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01NYKMEM,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01NYKMEM/KXNBAGAME-26APR01NYKMEM_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01NYKMEM/KXNBAGAME-26APR01NYKMEM_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01NYKMEM/KXNBAGAME-26APR01NYKMEM_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01NYKMEM/KXNBAGAME-26APR01NYKMEM_milestone_details.json,,1775088636.0,1775096854.0,281.0,2026-04-01,train
KXNBAGAME-26APR01BOSMIA,bc51fd44-f513-4e6f-8557-feb4363358f8,BOS,MIA,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01BOSMIA,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01BOSMIA/KXNBAGAME-26APR01BOSMIA_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01BOSMIA/KXNBAGAME-26APR01BOSMIA_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01BOSMIA/KXNBAGAME-26APR01BOSMIA_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01BOSMIA/KXNBAGAME-26APR01BOSMIA_milestone_details.json,,1775086963.0,1775094855.0,272.0,2026-04-01,train
KXNBAGAME-26APR01DENUTA,d935730a-6ea1-4e65-974c-867c62f72988,DEN,UTA,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01DENUTA,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01DENUTA/KXNBAGAME-26APR01DENUTA_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01DENUTA/KXNBAGAME-26APR01DENUTA_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01DENUTA/KXNBAGAME-26APR01DENUTA_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01DENUTA/KXNBAGAME-26APR01DENUTA_milestone_details.json,,1775092283.0,1775100248.0,273.0,2026-04-01,train
KXNBAGAME-26APR01SACTOR,e5138e66-6f0c-423c-a93d-5f5e0b24ece9,SAC,TOR,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SACTOR,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SACTOR/KXNBAGAME-26APR01SACTOR_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SACTOR/KXNBAGAME-26APR01SACTOR_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SACTOR/KXNBAGAME-26APR01SACTOR_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01SACTOR/KXNBAGAME-26APR01SACTOR_milestone_details.json,,1775088730.0,1775097215.0,291.0,2026-04-01,train
KXNBAGAME-26APR01ATLORL,537a381a-8bd8-403f-92f6-078627b06402,ATL,ORL,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01ATLORL,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01ATLORL/KXNBAGAME-26APR01ATLORL_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01ATLORL/KXNBAGAME-26APR01ATLORL_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01ATLORL/KXNBAGAME-26APR01ATLORL_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR01ATLORL/KXNBAGAME-26APR01ATLORL_milestone_details.json,,1775085083.0,1775093581.0,290.0,2026-04-01,train
KXNBAGAME-26APR02CLEGSW,a8dd3d9f-7b92-4e6b-bc39-f21bc7c49ff4,CLE,GSW,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR02CLEGSW,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR02CLEGSW/KXNBAGAME-26APR02CLEGSW_kalshi_pbp.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR02CLEGSW/KXNBAGAME-26APR02CLEGSW_kalshi_game_stats.json,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR02CLEGSW/KXNBAGAME-26APR02CLEGSW_kalshi_candles_1min.csv,/Users/chanukya/devops-copilot/.kalshi/nba_playoffs_2026/.autoresearch_nba/data/KXNBAGAME-26APR02CLEGSW/KXNBAGAME-26APR02CLEGSW_milestone_details.json,,1775182265.0,1775190667.0,289.0,2026-04-02,train
