ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:11:00+00:00,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,9650.0,633022.0,36.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:12:00+00:00,0.36,0.36,0.35,0.36,0.3599,0.36,0.35,0.36,13811.0,646702.0,36.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:13:00+00:00,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,6234.0,652936.0,36.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:14:00+00:00,0.36,0.36,0.32,0.32,0.3511,0.36,0.31,0.34,12870.0,665806.0,32.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:15:00+00:00,0.34,0.34,0.28,0.29,0.2935,0.32,0.28,0.29,24781.0,688309.0,28.999999999999996
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:16:00+00:00,0.29,0.29,0.24,0.27,0.2804,0.29,0.27,0.29,12964.0,697569.0,27.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:17:00+00:00,0.29,0.33,0.28,0.31,0.3186,0.27,0.3,0.31,18570.0,715582.0,31.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:18:00+00:00,0.31,0.31,0.25,0.26,0.2745,0.31,0.25,0.26,8307.0,723004.0,26.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:19:00+00:00,0.26,0.26,0.24,0.25,0.2556,0.26,0.24,0.25,19227.0,741053.0,25.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:20:00+00:00,0.25,0.25,0.23,0.25,0.2491,0.25,0.24,0.25,12128.0,752325.0,25.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:21:00+00:00,0.25,0.27,0.21,0.22,0.2495,0.25,0.21,0.22,11052.0,763221.0,22.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:22:00+00:00,0.22,0.23,0.18,0.19,0.203,0.22,0.18,0.19,38096.0,789525.0,19.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:23:00+00:00,0.19,0.19,0.16,0.16,0.1761,0.19,0.16,0.17,9287.0,793111.0,16.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:24:00+00:00,0.17,0.18,0.16,0.17,0.1717,0.16,0.16,0.17,33730.0,821942.0,17.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:25:00+00:00,0.17,0.18,0.15,0.15,0.1677,0.17,0.15,0.16,33187.0,853562.0,15.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:26:00+00:00,0.16,0.16,0.14,0.15,0.1503,0.15,0.14,0.15,23853.0,868172.0,15.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:27:00+00:00,0.14,0.16,0.13,0.16,0.1522,0.15,0.14,0.15,37664.0,902961.0,16.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:28:00+00:00,0.15,0.15,0.13,0.14,0.1426,0.16,0.13,0.15,48470.0,949237.0,14.000000000000002
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:29:00+00:00,0.14,0.14,0.12,0.12,0.1298,0.14,0.12,0.13,48795.0,994212.0,12.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:30:00+00:00,0.13,0.14,0.12,0.14,0.1338,0.12,0.12,0.14,27081.0,1019283.0,14.000000000000002
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:31:00+00:00,0.12,0.14,0.11,0.14,0.1218,0.14,0.12,0.14,8816.0,1019969.0,14.000000000000002
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:32:00+00:00,0.14,0.15,0.12,0.14,0.1351,0.14,0.13,0.14,10545.0,1023076.0,14.000000000000002
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:33:00+00:00,0.14,0.15,0.12,0.13,0.1369,0.14,0.12,0.13,15336.0,1036937.0,13.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:34:00+00:00,0.13,0.13,0.09,0.11,0.1075,0.13,0.1,0.11,28369.0,1053139.0,11.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:35:00+00:00,0.11,0.11,0.09,0.09,0.0991,0.11,0.09,0.1,62379.0,1108537.0,9.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:36:00+00:00,0.1,0.1,0.09,0.1,0.0998,0.09,0.09,0.1,15529.0,1123749.0,10.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:37:00+00:00,0.1,0.12,0.09,0.12,0.1102,0.1,0.11,0.12,8729.0,1131978.0,12.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:38:00+00:00,0.12,0.13,0.09,0.1,0.1151,0.12,0.08,0.1,11566.0,1140560.0,10.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:39:00+00:00,0.1,0.11,0.08,0.09,0.0986,0.1,0.08,0.09,10457.0,1150603.0,9.0
KXNBAGAME-26FEB01CHIMIA-CHI,KXNBAGAME-26FEB01CHIMIA,,CHI,,2026-02-01 23:40:00+00:00,0.09,0.09,0.07,0.08,0.0809,0.09,0.07,0.08,21450.0,1163692.0,8.0
