period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,102,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,12:00,"Rockets lineup change (Jabari Smith Jr., Amen Thompson, Reed Sheppard, Tari Eason, Alperen Sengun)",lineupchange,0,,basketball_play,1770077524,490,True,2026-02-03 00:12:04+00:00,1,720.0,0.0,0.0,1
4,101,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,12:00,"Pacers lineup change (Aaron Nesmith, Pascal Siakam, Andrew Nembhard, Johnny Furphy, Jay Huff)",lineupchange,0,,basketball_play,1770077524,489,True,2026-02-03 00:12:04+00:00,1,720.0,0.0,0.0,2
4,100,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770077524,488,True,2026-02-03 00:12:04+00:00,1,720.0,0.0,0.0,3
4,99,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,12:00,Alperen Sengun vs. Jay Huff (Aaron Nesmith gains possession),opentip,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077526,487,True,2026-02-03 00:12:06+00:00,1,720.0,0.0,0.0,4
4,98,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,11:45,Andrew Nembhard turnover (lost ball) (Amen Thompson steals),turnover,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077538,486,True,2026-02-03 00:12:18+00:00,1,705.0,15.0,0.25,5
4,97,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:40,Alperen Sengun misses two point running layup,twopointmiss,0,,basketball_play,1770077544,485,True,2026-02-03 00:12:24+00:00,1,700.0,20.0,0.3333333333333333,6
4,96,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,0,11:36,Tari Eason offensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077547,484,True,2026-02-03 00:12:27+00:00,1,696.0,24.0,0.4,7
4,95,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:25,Alperen Sengun makes two point driving hook shot (Jabari Smith Jr. assists),twopointmade,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077558,483,True,2026-02-03 00:12:38+00:00,1,685.0,35.0,0.5833333333333334,8
4,94,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:17,Tari Eason blocks Aaron Nesmith's two point driving floating jump shot,twopointmiss,0,,basketball_play,1770077566,482,True,2026-02-03 00:12:46+00:00,1,677.0,43.0,0.7166666666666667,9
4,93,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:14,Tari Eason defensive rebound,rebound,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077569,481,True,2026-02-03 00:12:49+00:00,1,674.0,46.0,0.7666666666666667,10
4,92,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,2,11:12,Jabari Smith Jr. misses three point running jump shot,threepointmiss,0,,basketball_play,1770077572,480,True,2026-02-03 00:12:52+00:00,1,672.0,48.0,0.8,11
4,91,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:08,Johnny Furphy defensive rebound,rebound,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077576,479,True,2026-02-03 00:12:56+00:00,1,668.0,52.0,0.8666666666666667,12
4,90,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,10:56,Andrew Nembhard turnover (lost ball) (Reed Sheppard steals),turnover,0,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077587,478,True,2026-02-03 00:13:07+00:00,1,656.0,64.0,1.0666666666666667,13
4,89,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,4,10:53,Reed Sheppard makes two point running dunk (Amen Thompson assists),twopointmade,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077590,477,True,2026-02-03 00:13:10+00:00,1,653.0,67.0,1.1166666666666667,14
4,88,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,4,10:36,Jay Huff makes three point jump shot (Pascal Siakam assists),threepointmade,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077607,476,True,2026-02-03 00:13:27+00:00,1,636.0,84.0,1.4,15
4,87,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,6,10:09,Jabari Smith Jr. makes two point fadeaway jump shot (Amen Thompson assists),twopointmade,3,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077634,475,True,2026-02-03 00:13:54+00:00,1,609.0,111.0,1.85,16
4,86,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,9:59,Pascal Siakam misses two point driving layup,twopointmiss,3,,basketball_play,1770077644,474,True,2026-02-03 00:14:04+00:00,1,599.0,121.0,2.0166666666666666,17
4,85,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,6,9:55,Alperen Sengun defensive rebound,rebound,3,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077648,473,True,2026-02-03 00:14:08+00:00,1,595.0,125.0,2.0833333333333335,18
4,84,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,6,9:48,Reed Sheppard misses three point jump shot,threepointmiss,3,,basketball_play,1770077655,472,True,2026-02-03 00:14:15+00:00,1,588.0,132.0,2.2,19
4,83,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,9:46,Johnny Furphy defensive rebound,rebound,3,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077657,471,True,2026-02-03 00:14:17+00:00,1,586.0,134.0,2.2333333333333334,20
4,82,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,9:38,Andrew Nembhard makes three point pullup jump shot (Johnny Furphy assists),threepointmade,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077665,470,True,2026-02-03 00:14:25+00:00,1,578.0,142.0,2.3666666666666667,21
4,81,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,6,9:14,Alperen Sengun misses two point turnaround hook shot,twopointmiss,6,,basketball_play,1770077689,469,True,2026-02-03 00:14:49+00:00,1,554.0,166.0,2.7666666666666666,22
4,80,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,6,9:10,Alperen Sengun offensive rebound,rebound,6,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077693,468,True,2026-02-03 00:14:53+00:00,1,550.0,170.0,2.8333333333333335,23
4,79,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,8,9:10,Alperen Sengun makes two point tip layup,twopointmade,6,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077693,467,True,2026-02-03 00:14:53+00:00,1,550.0,170.0,2.8333333333333335,24
4,78,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,8:50,Aaron Nesmith makes three point pullup jump shot (Pascal Siakam assists),threepointmade,9,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077713,466,True,2026-02-03 00:15:13+00:00,1,530.0,190.0,3.1666666666666665,25
4,77,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,8,8:36,Tari Eason misses three point jump shot,threepointmiss,9,,basketball_play,1770077727,465,True,2026-02-03 00:15:27+00:00,1,516.0,204.0,3.4,26
4,76,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,8:34,Jay Huff defensive rebound,rebound,9,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077729,464,True,2026-02-03 00:15:29+00:00,1,514.0,206.0,3.433333333333333,27
4,75,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,8,8:24,Jabari Smith Jr. shooting foul (Andrew Nembhard draws the foul),shootingfoul,9,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077743,463,True,2026-02-03 00:15:43+00:00,1,504.0,216.0,3.6,28
4,74,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,8:24,Andrew Nembhard makes regular free throw 1 of 2,freethrowmade,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077767,462,True,2026-02-03 00:16:07+00:00,1,504.0,216.0,3.6,29
4,73,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,8:24,Andrew Nembhard makes regular free throw 2 of 2,freethrowmade,11,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077783,461,True,2026-02-03 00:16:23+00:00,1,504.0,216.0,3.6,30
4,72,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,10,8:09,Alperen Sengun makes two point driving layup,twopointmade,11,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077802,460,True,2026-02-03 00:16:42+00:00,1,489.0,231.0,3.85,31
4,71,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:09,Jay Huff shooting foul (Alperen Sengun draws the foul),shootingfoul,11,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077804,459,True,2026-02-03 00:16:44+00:00,1,489.0,231.0,3.85,32
4,70,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:09,"Pacers lineup change (Aaron Nesmith, Pascal Siakam, Andrew Nembhard, Isaiah Jackson, Johnny Furphy)",lineupchange,11,,basketball_play,1770077840,458,True,2026-02-03 00:17:20+00:00,1,489.0,231.0,3.85,33
4,69,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,11,8:09,Alperen Sengun makes regular free throw 1 of 1,freethrowmade,11,,basketball_play,1770077840,457,True,2026-02-03 00:17:20+00:00,1,489.0,231.0,3.85,34
4,68,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,11,8:00,Andrew Nembhard misses three point stepback jump shot,threepointmiss,11,,basketball_play,1770077851,456,True,2026-02-03 00:17:31+00:00,1,480.0,240.0,4.0,35
4,67,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,11,7:57,Reed Sheppard defensive rebound,rebound,11,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077854,455,True,2026-02-03 00:17:34+00:00,1,477.0,243.0,4.05,36
4,66,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,13,7:48,Alperen Sengun makes two point cutting layup (Reed Sheppard assists),twopointmade,11,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077862,454,True,2026-02-03 00:17:42+00:00,1,468.0,252.0,4.2,37
4,65,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,7:29,Andrew Nembhard misses two point pullup jump shot,twopointmiss,11,,basketball_play,1770077881,453,True,2026-02-03 00:18:01+00:00,1,449.0,271.0,4.516666666666667,38
4,64,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,13,7:26,Amen Thompson defensive rebound,rebound,11,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077884,452,True,2026-02-03 00:18:04+00:00,1,446.0,274.0,4.566666666666666,39
4,63,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,13,7:21,Alperen Sengun turnover (out of bounds bad pass),turnover,11,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077891,451,True,2026-02-03 00:18:11+00:00,1,441.0,279.0,4.65,40
4,62,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,7:14,Aaron Nesmith makes three point jump shot (Andrew Nembhard assists),threepointmade,14,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077906,450,True,2026-02-03 00:18:26+00:00,1,434.0,286.0,4.766666666666667,41
4,61,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,13,6:52,Isaiah Jackson blocks Alperen Sengun's two point turnaround hook shot,twopointmiss,14,,basketball_play,1770077928,449,True,2026-02-03 00:18:48+00:00,1,412.0,308.0,5.133333333333334,42
4,60,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,6:50,Isaiah Jackson defensive rebound,rebound,14,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770077930,448,True,2026-02-03 00:18:50+00:00,1,410.0,310.0,5.166666666666667,43
4,59,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,6:49,Isaiah Jackson turnover (out of bounds bad pass),turnover,14,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,basketball_play,1770077932,447,True,2026-02-03 00:18:52+00:00,1,409.0,311.0,5.183333333333334,44
4,58,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,6:49,Pacers 60 second timeout,teamtimeout,14,,basketball_play,1770077936,446,True,2026-02-03 00:18:56+00:00,1,409.0,311.0,5.183333333333334,45
4,57,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,13,6:49,"Rockets lineup change (Dorian Finney-Smith, Amen Thompson, Josh Okogie, Tari Eason, Alperen Sengun)",lineupchange,14,,basketball_play,1770078081,445,True,2026-02-03 00:21:21+00:00,1,409.0,311.0,5.183333333333334,46
4,56,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,6:49,"Pacers lineup change (Aaron Nesmith, Bennedict Mathurin, Andrew Nembhard, Isaiah Jackson, Jarace Walker)",lineupchange,14,,basketball_play,1770078081,444,True,2026-02-03 00:21:21+00:00,1,409.0,311.0,5.183333333333334,47
4,55,quarter,1,a8625e4b-4ae6-4062-a7c1-0b6e1f4ae211,15,6:30,Alperen Sengun makes two point turnaround hook shot,twopointmade,14,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1770078143,443,True,2026-02-03 00:22:23+00:00,1,390.0,330.0,5.5,48
4,54,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,15,6:03,Bennedict Mathurin misses two point floating jump shot,twopointmiss,14,,basketball_play,1770078170,442,True,2026-02-03 00:22:50+00:00,1,363.0,357.0,5.95,49
