ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:40:00+00:00,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.49,989.0,251175.0,49.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:41:00+00:00,0.49,0.49,0.48,0.49,0.4805,0.49,0.47,0.49,500.0,250986.0,49.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:42:00+00:00,0.5,0.5,0.48,0.48,0.4945,0.49,0.47,0.48,351.0,251337.0,48.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:43:00+00:00,0.48,0.48,0.47,0.47,0.4708,0.48,0.46,0.47,3525.0,254862.0,47.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:44:00+00:00,0.46,0.46,0.41,0.42,0.4284,0.47,0.41,0.42,2393.0,256668.0,42.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:45:00+00:00,0.42,0.43,0.41,0.43,0.4279,0.42,0.42,0.43,697.0,257236.0,43.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:46:00+00:00,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.43,530.0,257766.0,43.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:47:00+00:00,0.43,0.44,0.43,0.44,0.4323,0.43,0.42,0.44,1494.0,259260.0,44.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:48:00+00:00,0.44,0.44,0.42,0.43,0.427,0.44,0.42,0.43,832.0,259942.0,43.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:49:00+00:00,0.44,0.48,0.44,0.48,0.4552,0.43,0.47,0.48,791.0,260579.0,48.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:50:00+00:00,0.47,0.48,0.47,0.48,0.4706,0.48,0.47,0.48,2718.0,263297.0,48.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:51:00+00:00,0.47,0.49,0.47,0.49,0.4801,0.48,0.48,0.49,1849.0,265142.0,49.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:52:00+00:00,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5,1409.0,266551.0,49.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:53:00+00:00,0.5,0.5,0.48,0.49,0.492,0.49,0.48,0.5,12112.0,278512.0,49.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:54:00+00:00,0.5,0.52,0.5,0.51,0.5109,0.49,0.5,0.51,1178.0,278836.0,51.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:55:00+00:00,0.51,0.54,0.51,0.54,0.5374,0.51,0.52,0.54,1995.0,279001.0,54.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:56:00+00:00,0.54,0.55,0.54,0.55,0.5452,0.54,0.55,0.56,2025.0,280319.0,55.00000000000001
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:57:00+00:00,0.55,0.59,0.55,0.59,0.5851,0.55,0.58,0.59,2632.0,282138.0,59.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:58:00+00:00,0.59,0.6,0.58,0.59,0.59,0.59,0.58,0.59,23511.0,304609.0,59.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 00:59:00+00:00,0.59,0.61,0.59,0.6,0.5994,0.59,0.59,0.6,6229.0,310331.0,60.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:00:00+00:00,0.6,0.6,0.55,0.56,0.5931,0.6,0.54,0.55,3808.0,313977.0,56.00000000000001
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:01:00+00:00,0.53,0.53,0.51,0.51,0.5158,0.56,0.5,0.51,1081.0,315048.0,51.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:02:00+00:00,0.5,0.59,0.5,0.59,0.5311,0.51,0.58,0.59,183.0,315199.0,59.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:03:00+00:00,0.58,0.58,0.55,0.56,0.5725,0.59,0.55,0.57,2985.0,317978.0,56.00000000000001
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:04:00+00:00,0.57,0.58,0.57,0.58,0.5717,0.56,0.57,0.58,1259.0,319072.0,57.99999999999999
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:05:00+00:00,0.58,0.6,0.55,0.58,0.5797,0.58,0.57,0.59,1521.0,320465.0,57.99999999999999
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:06:00+00:00,0.59,0.62,0.58,0.62,0.5916,0.58,0.61,0.62,655.0,320672.0,62.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:07:00+00:00,0.62,0.64,0.61,0.63,0.6205,0.62,0.62,0.63,4363.0,324782.0,63.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:08:00+00:00,0.62,0.67,0.62,0.66,0.6523,0.63,0.66,0.67,2177.0,325959.0,66.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:09:00+00:00,0.67,0.73,0.67,0.7,0.7058,0.66,0.69,0.7,9002.0,331821.0,70.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:10:00+00:00,0.7,0.7,0.67,0.68,0.6799,0.7,0.67,0.68,3857.0,335626.0,68.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:11:00+00:00,0.68,0.69,0.67,0.69,0.6862,0.68,0.68,0.69,2003.0,337628.0,69.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:12:00+00:00,0.68,0.69,0.68,0.69,0.6876,0.69,0.67,0.69,6141.0,343599.0,69.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:13:00+00:00,0.69,0.73,0.68,0.72,0.6981,0.69,0.73,0.74,2427.0,345212.0,72.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:14:00+00:00,0.75,0.75,0.69,0.73,0.7254,0.72,0.72,0.73,5166.0,350160.0,73.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:15:00+00:00,0.73,0.75,0.7,0.73,0.7269,0.73,0.72,0.73,8268.0,357349.0,73.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:16:00+00:00,0.73,0.76,0.73,0.73,0.7448,0.73,0.71,0.73,3131.0,360480.0,73.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:17:00+00:00,0.73,0.78,0.73,0.77,0.7609,0.73,0.76,0.77,1371.0,361476.0,77.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:18:00+00:00,0.77,0.8,0.75,0.8,0.7648,0.77,0.77,0.8,2461.0,361996.0,80.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:19:00+00:00,0.8,0.81,0.78,0.81,0.8048,0.8,0.8,0.81,15629.0,376682.0,81.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:20:00+00:00,0.81,0.86,0.81,0.85,0.8346,0.81,0.83,0.85,22468.0,397870.0,85.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:21:00+00:00,0.85,0.85,0.83,0.83,0.8499,0.85,0.83,0.85,28896.0,426397.0,83.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:22:00+00:00,0.85,0.85,0.84,0.85,0.8484,0.83,0.84,0.85,2546.0,428409.0,85.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:23:00+00:00,0.85,0.86,0.84,0.86,0.8544,0.85,0.85,0.86,39799.0,467035.0,86.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:24:00+00:00,0.85,0.88,0.85,0.87,0.8702,0.86,0.86,0.87,4750.0,467893.0,87.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:25:00+00:00,0.87,0.9,0.82,0.82,0.8542,0.87,0.81,0.82,45395.0,506417.0,82.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:26:00+00:00,0.82,0.83,0.81,0.83,0.8232,0.82,0.82,0.83,9078.0,515030.0,83.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:27:00+00:00,0.82,0.83,0.82,0.83,0.8276,0.83,0.82,0.83,13327.0,521966.0,83.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:28:00+00:00,0.83,0.83,0.83,0.83,0.83,0.83,0.82,0.83,11923.0,533889.0,83.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:29:00+00:00,0.83,0.88,0.83,0.85,0.8565,0.83,0.84,0.85,6482.0,537763.0,85.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:30:00+00:00,0.85,0.85,0.83,0.84,0.841,0.85,0.83,0.84,15792.0,552848.0,84.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:31:00+00:00,0.83,0.83,0.79,0.8,0.8059,0.84,0.8,0.82,12175.0,557225.0,80.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:32:00+00:00,0.8,0.82,0.75,0.75,0.7846,0.8,0.74,0.75,4106.0,559813.0,75.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:33:00+00:00,0.76,0.88,0.76,0.87,0.8221,0.75,0.85,0.86,20763.0,559520.0,87.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:34:00+00:00,0.85,0.92,0.84,0.9,0.8826,0.87,0.89,0.9,7566.0,564408.0,90.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:35:00+00:00,0.9,0.9,0.89,0.9,0.8949,0.9,0.89,0.9,9857.0,564269.0,90.0
KXNBAGAME-26FEB03ATLMIA-ATL,KXNBAGAME-26FEB03ATLMIA,,ATL,,2026-02-04 01:36:00+00:00,0.89,0.9,0.89,0.9,0.899,0.9,0.88,0.91,3263.0,567048.0,90.0
