period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,122,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,12:00,"Knicks lineup change (Josh Hart, Jalen Brunson, Karl-Anthony Towns, Mikal Bridges, OG Anunoby)",lineupchange,0,,basketball_play,1770163959,486,True,2026-02-04 00:12:39+00:00,1,720.0,0.0,0.0,1
4,121,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,0,12:00,"Wizards lineup change (Bilal Coulibaly, Kyshawn George, Bub Carrington, Khris Middleton, Alex Sarr)",lineupchange,0,,basketball_play,1770163959,485,True,2026-02-04 00:12:39+00:00,1,720.0,0.0,0.0,2
4,120,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770163959,484,True,2026-02-04 00:12:39+00:00,1,720.0,0.0,0.0,3
4,119,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,12:00,Karl-Anthony Towns vs. Alex Sarr (Josh Hart gains possession),opentip,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770163964,483,True,2026-02-04 00:12:44+00:00,1,720.0,0.0,0.0,4
4,118,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,11:40,Jalen Brunson makes two point driving floating jump shot,twopointmade,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770163978,482,True,2026-02-04 00:12:58+00:00,1,700.0,20.0,0.3333333333333333,5
4,117,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:27,Khris Middleton misses three point jump shot,threepointmiss,0,,basketball_play,1770163991,481,True,2026-02-04 00:13:11+00:00,1,687.0,33.0,0.55,6
4,116,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,11:25,Karl-Anthony Towns defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770163993,480,True,2026-02-04 00:13:13+00:00,1,685.0,35.0,0.5833333333333334,7
4,115,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,11:19,Karl-Anthony Towns misses three point jump shot,threepointmiss,0,,basketball_play,1770163999,479,True,2026-02-04 00:13:19+00:00,1,679.0,41.0,0.6833333333333333,8
4,114,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:15,Bilal Coulibaly defensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770164003,478,True,2026-02-04 00:13:23+00:00,1,675.0,45.0,0.75,9
4,113,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:09,Mikal Bridges blocks Bilal Coulibaly's two point driving layup,twopointmiss,0,,basketball_play,1770164011,477,True,2026-02-04 00:13:31+00:00,1,669.0,51.0,0.85,10
4,112,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,11:09,Wizards offensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770164011,476,True,2026-02-04 00:13:31+00:00,1,669.0,51.0,0.85,11
4,111,quarter,1,,2,11:09,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770164018,475,True,2026-02-04 00:13:38+00:00,1,669.0,51.0,0.85,12
4,110,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,10:59,Khris Middleton misses two point driving floating jump shot,twopointmiss,0,,basketball_play,1770164036,474,True,2026-02-04 00:13:56+00:00,1,659.0,61.0,1.0166666666666666,13
4,109,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,10:56,Jalen Brunson defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770164039,473,True,2026-02-04 00:13:59+00:00,1,656.0,64.0,1.0666666666666667,14
4,108,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,2,10:48,Kyshawn George shooting foul (OG Anunoby draws the foul),shootingfoul,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770164050,472,True,2026-02-04 00:14:10+00:00,1,648.0,72.0,1.2,15
4,107,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,5,10:48,OG Anunoby makes three point jump shot (Josh Hart assists),threepointmade,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770164047,471,True,2026-02-04 00:14:07+00:00,1,648.0,72.0,1.2,16
4,106,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,5,10:48,OG Anunoby misses regular free throw 1 of 1,freethrowmiss,0,,basketball_play,1770164075,470,True,2026-02-04 00:14:35+00:00,1,648.0,72.0,1.2,17
4,105,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,5,10:47,Bilal Coulibaly defensive rebound,rebound,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770164076,469,True,2026-02-04 00:14:36+00:00,1,647.0,73.0,1.2166666666666666,18
4,104,quarter,1,,5,10:31,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770164094,468,True,2026-02-04 00:14:54+00:00,1,631.0,89.0,1.4833333333333334,19
4,103,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,5,10:24,Mikal Bridges blocks Bub Carrington's three point pullup jump shot,threepointmiss,0,,basketball_play,1770164111,467,True,2026-02-04 00:15:11+00:00,1,624.0,96.0,1.6,20
4,102,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,5,10:22,Josh Hart defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770164113,466,True,2026-02-04 00:15:13+00:00,1,622.0,98.0,1.6333333333333333,21
4,101,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,7,10:17,Mikal Bridges makes two point running layup (Josh Hart assists),twopointmade,0,0464e75c-8bc8-4f18-9ee2-577832b889d6,basketball_play,1770164119,465,True,2026-02-04 00:15:19+00:00,1,617.0,103.0,1.7166666666666666,22
4,100,quarter,1,0464e75c-8bc8-4f18-9ee2-577832b889d6,7,10:04,Khris Middleton makes three point jump shot (Alex Sarr assists),threepointmade,3,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770164132,464,True,2026-02-04 00:15:32+00:00,1,604.0,116.0,1.9333333333333333,23
4,99,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,7,9:52,OG Anunoby misses three point jump shot,threepointmiss,3,,basketball_play,1770164144,463,True,2026-02-04 00:15:44+00:00,1,592.0,128.0,2.1333333333333333,24
4,98,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,7,9:49,Karl-Anthony Towns offensive rebound,rebound,3,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1770164147,462,True,2026-02-04 00:15:47+00:00,1,589.0,131.0,2.183333333333333,25
