period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,113,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,"76ers lineup change (VJ Edgecombe, Tyrese Maxey, Andre Drummond, Kelly Oubre Jr., Dominick Barlow)",lineupchange,0,,basketball_play,1770174760,433,True,2026-02-04 03:12:40+00:00,1,720.0,0.0,0.0,1
4,112,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,12:00,"Warriors lineup change (Draymond Green, Gui Santos, Brandin Podziemski, Al Horford, Moses Moody)",lineupchange,0,,basketball_play,1770174760,432,True,2026-02-04 03:12:40+00:00,1,720.0,0.0,0.0,2
4,111,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770174760,431,True,2026-02-04 03:12:40+00:00,1,720.0,0.0,0.0,3
4,110,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,12:00,Andre Drummond vs. Al Horford (Tyrese Maxey gains possession),opentip,0,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174762,430,True,2026-02-04 03:12:42+00:00,1,720.0,0.0,0.0,4
4,109,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:41,Tyrese Maxey turnover (lost ball) (Moses Moody steals),turnover,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174779,429,True,2026-02-04 03:12:59+00:00,1,701.0,19.0,0.31666666666666665,5
4,108,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:20,Moses Moody turnover (lost ball) (Tyrese Maxey steals),turnover,0,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174800,428,True,2026-02-04 03:13:20+00:00,1,680.0,40.0,0.6666666666666666,6
4,107,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:17,Tyrese Maxey misses three point running pullup jump shot,threepointmiss,0,,basketball_play,1770174803,427,True,2026-02-04 03:13:23+00:00,1,677.0,43.0,0.7166666666666667,7
4,106,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:13,VJ Edgecombe offensive rebound,rebound,0,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174807,426,True,2026-02-04 03:13:27+00:00,1,673.0,47.0,0.7833333333333333,8
4,105,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,11:12,VJ Edgecombe turnover (bad pass) (Gui Santos steals),turnover,0,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174807,425,True,2026-02-04 03:13:27+00:00,1,672.0,48.0,0.8,9
4,104,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:08,Brandin Podziemski makes three point running jump shot (Al Horford assists),threepointmade,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174812,424,True,2026-02-04 03:13:32+00:00,1,668.0,52.0,0.8666666666666667,10
4,103,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,10:42,Al Horford blocks VJ Edgecombe's three point jump shot,threepointmiss,3,,basketball_play,1770174838,423,True,2026-02-04 03:13:58+00:00,1,642.0,78.0,1.3,11
4,102,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,0,10:38,Andre Drummond offensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174842,422,True,2026-02-04 03:14:02+00:00,1,638.0,82.0,1.3666666666666667,12
4,101,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,10:38,Andre Drummond makes two point putback dunk,twopointmade,3,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174844,421,True,2026-02-04 03:14:04+00:00,1,638.0,82.0,1.3666666666666667,13
4,100,quarter,1,,2,10:33,Stoppage (Out of bounds),stoppage,3,,basketball_play,1770174856,420,True,2026-02-04 03:14:16+00:00,1,633.0,87.0,1.45,14
4,99,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,2,10:24,Brandin Podziemski misses two point driving layup,twopointmiss,3,,basketball_play,1770174876,419,True,2026-02-04 03:14:36+00:00,1,624.0,96.0,1.6,15
4,98,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,2,10:22,Andre Drummond defensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174878,418,True,2026-02-04 03:14:38+00:00,1,622.0,98.0,1.6333333333333333,16
4,97,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,10:13,Dominick Barlow makes three point jump shot (VJ Edgecombe assists),threepointmade,3,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174887,417,True,2026-02-04 03:14:47+00:00,1,613.0,107.0,1.7833333333333334,17
4,96,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,5,10:04,Brandin Podziemski turnover (bad pass) (VJ Edgecombe steals),turnover,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174902,416,True,2026-02-04 03:15:02+00:00,1,604.0,116.0,1.9333333333333333,18
4,95,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,10:00,Kelly Oubre Jr. misses two point running finger roll layup,twopointmiss,3,,basketball_play,1770174907,415,True,2026-02-04 03:15:07+00:00,1,600.0,120.0,2.0,19
4,94,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:54,Dominick Barlow offensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174912,414,True,2026-02-04 03:15:12+00:00,1,594.0,126.0,2.1,20
4,93,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:54,Dominick Barlow misses two point tip layup,twopointmiss,3,,basketball_play,1770174912,413,True,2026-02-04 03:15:12+00:00,1,594.0,126.0,2.1,21
4,92,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:53,Dominick Barlow offensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174913,412,True,2026-02-04 03:15:13+00:00,1,593.0,127.0,2.1166666666666667,22
4,91,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:53,Dominick Barlow misses two point tip layup,twopointmiss,3,,basketball_play,1770174914,411,True,2026-02-04 03:15:14+00:00,1,593.0,127.0,2.1166666666666667,23
4,90,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,5,9:52,Moses Moody defensive rebound,rebound,3,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174915,410,True,2026-02-04 03:15:15+00:00,1,592.0,128.0,2.1333333333333333,24
4,89,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,5,9:45,Draymond Green misses three point jump shot,threepointmiss,3,,basketball_play,1770174922,409,True,2026-02-04 03:15:22+00:00,1,585.0,135.0,2.25,25
4,88,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:41,VJ Edgecombe defensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174926,408,True,2026-02-04 03:15:26+00:00,1,581.0,139.0,2.316666666666667,26
4,87,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:34,Tyrese Maxey misses two point stepback jump shot,twopointmiss,3,,basketball_play,1770174933,407,True,2026-02-04 03:15:33+00:00,1,574.0,146.0,2.433333333333333,27
4,86,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,5,9:30,Andre Drummond offensive rebound,rebound,3,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174937,406,True,2026-02-04 03:15:37+00:00,1,570.0,150.0,2.5,28
4,85,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,7,9:30,Andre Drummond makes two point tip layup,twopointmade,3,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174936,405,True,2026-02-04 03:15:36+00:00,1,570.0,150.0,2.5,29
4,84,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,7,9:21,Moses Moody makes three point jump shot (Brandin Podziemski assists),threepointmade,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174946,404,True,2026-02-04 03:15:46+00:00,1,561.0,159.0,2.65,30
4,83,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,9:06,VJ Edgecombe makes two point stepback jump shot (Kelly Oubre Jr. assists),twopointmade,6,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174960,403,True,2026-02-04 03:16:00+00:00,1,546.0,174.0,2.9,31
4,82,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,9,8:51,Draymond Green misses three point jump shot,threepointmiss,6,,basketball_play,1770174977,402,True,2026-02-04 03:16:17+00:00,1,531.0,189.0,3.15,32
4,81,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,8:48,Andre Drummond defensive rebound,rebound,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770174980,401,True,2026-02-04 03:16:20+00:00,1,528.0,192.0,3.2,33
4,80,quarter,1,0554528d-586b-461f-827b-801cf93e8a8e,9,8:42,Dominick Barlow misses three point jump shot,threepointmiss,6,,basketball_play,1770174986,400,True,2026-02-04 03:16:26+00:00,1,522.0,198.0,3.3,34
4,79,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,9,8:39,Moses Moody defensive rebound,rebound,6,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1770174989,399,True,2026-02-04 03:16:29+00:00,1,519.0,201.0,3.35,35
4,78,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,9,8:26,Brandin Podziemski turnover (out of bounds lost ball),turnover,6,0554528d-586b-461f-827b-801cf93e8a8e,basketball_play,1770175003,398,True,2026-02-04 03:16:43+00:00,1,506.0,214.0,3.566666666666667,36
