ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:41:00+00:00,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,7114.0,1165802.0,23.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:42:00+00:00,0.23,0.23,0.21,0.21,0.2174,0.23,0.2,0.21,3985.0,1169612.0,21.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:43:00+00:00,0.2,0.22,0.2,0.21,0.2084,0.21,0.2,0.21,7758.0,1175735.0,21.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:44:00+00:00,0.21,0.22,0.2,0.21,0.2119,0.21,0.2,0.21,10015.0,1185738.0,21.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:45:00+00:00,0.21,0.21,0.2,0.21,0.2097,0.21,0.2,0.21,9392.0,1194806.0,21.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:46:00+00:00,0.21,0.21,0.19,0.19,0.2062,0.21,0.18,0.19,23421.0,1215566.0,19.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:47:00+00:00,0.19,0.19,0.15,0.17,0.1724,0.19,0.16,0.17,19029.0,1229893.0,17.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:48:00+00:00,0.17,0.2,0.17,0.19,0.1852,0.17,0.18,0.19,22716.0,1251081.0,19.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:49:00+00:00,0.19,0.19,0.17,0.19,0.1818,0.19,0.18,0.19,13052.0,1263464.0,19.0
KXNBAGAME-26FEB04OKCSAS-OKC,KXNBAGAME-26FEB04OKCSAS,,OKC,,2026-02-05 02:50:00+00:00,0.19,0.19,0.15,0.17,0.1784,0.19,0.17,0.18,25777.0,1288807.0,17.0
