period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,114,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,12:00,"Thunder lineup change (Kenrich Williams, Jaylin Williams, Cason Wallace, Isaiah Joe, Aaron Wiggins)",lineupchange,0,,basketball_play,1770259369,488,True,2026-02-05 02:42:49+00:00,1,720.0,0.0,0.0,1
4,113,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,"Spurs lineup change (Victor Wembanyama, Devin Vassell, Julian Champagnie, Stephon Castle, De'Aaron Fox)",lineupchange,0,,basketball_play,1770259369,487,True,2026-02-05 02:42:49+00:00,1,720.0,0.0,0.0,2
4,112,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770259369,486,True,2026-02-05 02:42:49+00:00,1,720.0,0.0,0.0,3
4,111,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,Cason Wallace vs. Victor Wembanyama (Stephon Castle gains possession),opentip,0,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770259371,485,True,2026-02-05 02:42:51+00:00,1,720.0,0.0,0.0,4
4,110,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:48,Jaylin Williams blocks Victor Wembanyama's two point driving layup,twopointmiss,0,,basketball_play,1770259383,484,True,2026-02-05 02:43:03+00:00,1,708.0,12.0,0.2,5
4,109,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:48,Spurs offensive rebound,rebound,0,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770259383,483,True,2026-02-05 02:43:03+00:00,1,708.0,12.0,0.2,6
4,108,quarter,1,,0,11:48,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770259393,482,True,2026-02-05 02:43:13+00:00,1,708.0,12.0,0.2,7
4,107,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:42,Julian Champagnie misses three point jump shot,threepointmiss,0,,basketball_play,1770259400,481,True,2026-02-05 02:43:20+00:00,1,702.0,18.0,0.3,8
4,106,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,11:39,Jaylin Williams defensive rebound,rebound,0,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1770259403,480,True,2026-02-05 02:43:23+00:00,1,699.0,21.0,0.35,9
4,105,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,11:30,Jaylin Williams misses three point jump shot,threepointmiss,0,,basketball_play,1770259412,479,True,2026-02-05 02:43:32+00:00,1,690.0,30.0,0.5,10
