ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:41:00+00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.28,319.0,319686.0,27.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:42:00+00:00,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,1668.0,321354.0,28.000000000000004
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:43:00+00:00,0.28,0.28,0.27,0.27,0.2757,0.28,0.26,0.27,2156.0,323479.0,27.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:44:00+00:00,0.27,0.29,0.26,0.29,0.2708,0.27,0.28,0.29,6395.0,329641.0,28.999999999999996
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:45:00+00:00,0.29,0.3,0.28,0.29,0.286,0.29,0.27,0.28,4634.0,334019.0,28.999999999999996
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:46:00+00:00,0.28,0.28,0.26,0.27,0.2743,0.29,0.26,0.27,7074.0,338926.0,27.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:47:00+00:00,0.26,0.26,0.21,0.22,0.2401,0.27,0.22,0.23,7594.0,342429.0,22.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:48:00+00:00,0.23,0.23,0.2,0.2,0.2227,0.22,0.19,0.21,4363.0,346031.0,20.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:49:00+00:00,0.21,0.22,0.2,0.21,0.2066,0.2,0.2,0.21,3540.0,347163.0,21.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:50:00+00:00,0.21,0.21,0.19,0.2,0.2028,0.21,0.18,0.19,2529.0,348873.0,20.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:51:00+00:00,0.19,0.23,0.18,0.23,0.2045,0.2,0.23,0.25,13836.0,358943.0,23.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:52:00+00:00,0.25,0.25,0.19,0.2,0.1999,0.23,0.19,0.2,23996.0,361796.0,20.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:53:00+00:00,0.2,0.2,0.19,0.2,0.1976,0.2,0.19,0.2,4608.0,364562.0,20.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:54:00+00:00,0.2,0.21,0.19,0.2,0.1995,0.2,0.19,0.2,6601.0,370386.0,20.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:55:00+00:00,0.2,0.21,0.2,0.21,0.201,0.2,0.2,0.21,1692.0,372038.0,21.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:56:00+00:00,0.2,0.21,0.19,0.19,0.2059,0.21,0.19,0.2,6262.0,377103.0,19.0
KXNBAGAME-26FEB05CHITOR-CHI,KXNBAGAME-26FEB05CHITOR,,CHI,,2026-02-06 00:57:00+00:00,0.19,0.19,0.16,0.17,0.1647,0.19,0.16,0.18,11438.0,381217.0,17.0
