period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,138,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,"Spurs lineup change (Devin Vassell, De'Aaron Fox, Victor Wembanyama, Julian Champagnie, Harrison Barnes)",lineupchange,0,,basketball_play,1770342026,493,True,2026-02-06 01:40:26+00:00,1,720.0,0.0,0.0,1
4,137,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,0,12:00,"Mavericks lineup change (Daniel Gafford, Naji Marshall, Max Christie, Caleb Martin, Cooper Flagg)",lineupchange,0,,basketball_play,1770342026,492,True,2026-02-06 01:40:26+00:00,1,720.0,0.0,0.0,2
4,136,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770342026,491,True,2026-02-06 01:40:26+00:00,1,720.0,0.0,0.0,3
4,135,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,12:00,Victor Wembanyama vs. Daniel Gafford (Julian Champagnie gains possession),opentip,0,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342079,490,True,2026-02-06 01:41:19+00:00,1,720.0,0.0,0.0,4
4,134,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:39,Harrison Barnes misses three point jump shot,threepointmiss,0,,basketball_play,1770342096,489,True,2026-02-06 01:41:36+00:00,1,699.0,21.0,0.35,5
4,133,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:37,Victor Wembanyama offensive rebound,rebound,0,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342098,488,True,2026-02-06 01:41:38+00:00,1,697.0,23.0,0.38333333333333336,6
4,132,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:35,Devin Vassell misses three point jump shot,threepointmiss,0,,basketball_play,1770342101,487,True,2026-02-06 01:41:41+00:00,1,695.0,25.0,0.4166666666666667,7
4,131,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,0,11:33,Mavericks defensive rebound,rebound,0,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342103,486,True,2026-02-06 01:41:43+00:00,1,693.0,27.0,0.45,8
4,130,quarter,1,,0,11:33,Stoppage (Out of bounds),stoppage,0,,basketball_play,1770342107,485,True,2026-02-06 01:41:47+00:00,1,693.0,27.0,0.45,9
4,129,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,0,11:14,Max Christie makes two point driving layup (Daniel Gafford assists),twopointmade,2,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342132,484,True,2026-02-06 01:42:12+00:00,1,674.0,46.0,0.7666666666666667,10
4,128,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:06,Devin Vassell misses three point jump shot,threepointmiss,2,,basketball_play,1770342140,483,True,2026-02-06 01:42:20+00:00,1,666.0,54.0,0.9,11
4,127,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,0,11:04,Devin Vassell offensive rebound,rebound,2,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342142,482,True,2026-02-06 01:42:22+00:00,1,664.0,56.0,0.9333333333333333,12
4,126,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,11:00,Victor Wembanyama makes three point jump shot (Julian Champagnie assists),threepointmade,2,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342145,481,True,2026-02-06 01:42:25+00:00,1,660.0,60.0,1.0,13
4,125,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,10:38,Max Christie misses two point stepback jump shot,twopointmiss,2,,basketball_play,1770342168,480,True,2026-02-06 01:42:48+00:00,1,638.0,82.0,1.3666666666666667,14
4,124,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,10:35,Devin Vassell defensive rebound,rebound,2,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342171,479,True,2026-02-06 01:42:51+00:00,1,635.0,85.0,1.4166666666666667,15
4,123,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,10:28,De'Aaron Fox misses three point stepback jump shot,threepointmiss,2,,basketball_play,1770342178,478,True,2026-02-06 01:42:58+00:00,1,628.0,92.0,1.5333333333333334,16
4,122,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,10:26,Caleb Martin defensive rebound,rebound,2,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342180,477,True,2026-02-06 01:43:00+00:00,1,626.0,94.0,1.5666666666666667,17
4,121,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,10:18,Cooper Flagg makes two point pullup jump shot,twopointmade,4,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342188,476,True,2026-02-06 01:43:08+00:00,1,618.0,102.0,1.7,18
4,120,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,10:07,Julian Champagnie misses three point jump shot,threepointmiss,4,,basketball_play,1770342198,475,True,2026-02-06 01:43:18+00:00,1,607.0,113.0,1.8833333333333333,19
4,119,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,10:04,Daniel Gafford defensive rebound,rebound,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342201,474,True,2026-02-06 01:43:21+00:00,1,604.0,116.0,1.9333333333333333,20
4,118,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,10:00,Caleb Martin misses two point running jump shot,twopointmiss,4,,basketball_play,1770342207,473,True,2026-02-06 01:43:27+00:00,1,600.0,120.0,2.0,21
4,117,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:58,Julian Champagnie defensive rebound,rebound,4,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342209,472,True,2026-02-06 01:43:29+00:00,1,598.0,122.0,2.033333333333333,22
4,116,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:49,Julian Champagnie misses two point driving floating bank jump shot,twopointmiss,4,,basketball_play,1770342217,471,True,2026-02-06 01:43:37+00:00,1,589.0,131.0,2.183333333333333,23
4,115,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,9:47,Caleb Martin defensive rebound,rebound,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342219,470,True,2026-02-06 01:43:39+00:00,1,587.0,133.0,2.216666666666667,24
4,114,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:36,Harrison Barnes kicked ball violation,kickball,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342234,469,True,2026-02-06 01:43:54+00:00,1,576.0,144.0,2.4,25
4,113,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,9:28,Cooper Flagg misses two point driving floating jump shot,twopointmiss,4,,basketball_play,1770342252,468,True,2026-02-06 01:44:12+00:00,1,568.0,152.0,2.533333333333333,26
4,112,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,9:25,Cooper Flagg offensive rebound,rebound,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342255,467,True,2026-02-06 01:44:15+00:00,1,565.0,155.0,2.5833333333333335,27
4,111,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,9:25,Cooper Flagg misses two point tip layup,twopointmiss,4,,basketball_play,1770342256,466,True,2026-02-06 01:44:16+00:00,1,565.0,155.0,2.5833333333333335,28
4,110,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:25,Victor Wembanyama defensive rebound,rebound,4,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342256,465,True,2026-02-06 01:44:16+00:00,1,565.0,155.0,2.5833333333333335,29
4,109,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:20,Victor Wembanyama offensive foul (Charge) (Caleb Martin draws the foul),offensivefoul,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342265,464,True,2026-02-06 01:44:25+00:00,1,560.0,160.0,2.6666666666666665,30
4,108,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,3,9:20,Victor Wembanyama turnover (offensive foul),turnover,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342265,463,True,2026-02-06 01:44:25+00:00,1,560.0,160.0,2.6666666666666665,31
4,107,quarter,1,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,3,9:11,Max Christie turnover (bad pass) (Victor Wembanyama steals),turnover,4,ad36c3e8-4194-4e63-920f-7c50f46191a6,basketball_play,1770342287,462,True,2026-02-06 01:44:47+00:00,1,551.0,169.0,2.816666666666667,32
4,106,quarter,1,ad36c3e8-4194-4e63-920f-7c50f46191a6,6,9:02,Victor Wembanyama makes three point jump shot (Harrison Barnes assists),threepointmade,4,36547ae6-f0fa-4d06-a6e5-5bfa64a217ed,basketball_play,1770342296,461,True,2026-02-06 01:44:56+00:00,1,542.0,178.0,2.966666666666667,33
