ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:40:00+00:00,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.45,1181.0,207021.0,45.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:41:00+00:00,0.45,0.45,0.44,0.45,0.449,0.45,0.44,0.45,429.0,207392.0,45.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:42:00+00:00,0.45,0.45,0.41,0.42,0.4287,0.45,0.41,0.42,1923.0,209188.0,42.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:43:00+00:00,0.42,0.44,0.4,0.43,0.4265,0.42,0.42,0.43,9414.0,218368.0,43.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:44:00+00:00,0.43,0.44,0.4,0.4,0.4276,0.43,0.39,0.4,9267.0,227120.0,40.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:45:00+00:00,0.4,0.41,0.37,0.39,0.392,0.4,0.38,0.39,3473.0,230151.0,39.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:46:00+00:00,0.39,0.39,0.36,0.38,0.3713,0.39,0.37,0.38,22483.0,252493.0,38.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:47:00+00:00,0.38,0.42,0.38,0.42,0.3994,0.38,0.4,0.42,16634.0,268387.0,42.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:48:00+00:00,0.41,0.45,0.41,0.45,0.4486,0.42,0.44,0.45,4873.0,273122.0,45.0
KXNBAGAME-26FEB07GSWLAL-GSW,KXNBAGAME-26FEB07GSWLAL,,GSW,,2026-02-08 01:49:00+00:00,0.45,0.45,0.43,0.45,0.4408,0.45,0.44,0.45,3473.0,276543.0,45.0
