ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:11:00+00:00,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,79.0,119725.0,26.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:12:00+00:00,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,1219.0,120944.0,26.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:13:00+00:00,0.25,0.26,0.24,0.24,0.2419,0.26,0.23,0.24,3077.0,123702.0,24.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:14:00+00:00,0.24,0.26,0.23,0.24,0.2473,0.24,0.23,0.24,13112.0,135984.0,24.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:15:00+00:00,0.24,0.25,0.24,0.25,0.2406,0.24,0.24,0.25,6844.0,141994.0,25.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:16:00+00:00,0.25,0.26,0.25,0.25,0.2563,0.25,0.24,0.25,1628.0,143509.0,25.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:17:00+00:00,0.24,0.24,0.23,0.24,0.2392,0.25,0.23,0.24,567.0,143967.0,24.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:18:00+00:00,0.23,0.24,0.23,0.23,0.2366,0.24,0.22,0.23,2364.0,145452.0,23.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:19:00+00:00,0.23,0.24,0.23,0.23,0.2348,0.23,0.22,0.23,646.0,145761.0,23.0
KXNBAGAME-26FEB09ATLMIN-ATL,KXNBAGAME-26FEB09ATLMIN,,ATL,,2026-02-10 01:20:00+00:00,0.23,0.23,0.22,0.23,0.2296,0.23,0.22,0.23,428.0,146171.0,23.0
