ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:09:00+00:00,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.44,6876.0,1062260.0,44.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:10:00+00:00,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.44,12987.0,1075247.0,44.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:11:00+00:00,0.44,0.44,0.43,0.44,0.4393,0.44,0.43,0.44,8421.0,1083565.0,44.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:12:00+00:00,0.44,0.44,0.4,0.4,0.433,0.44,0.4,0.42,25505.0,1108971.0,40.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:13:00+00:00,0.41,0.41,0.37,0.37,0.3989,0.4,0.36,0.37,13373.0,1122180.0,37.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:14:00+00:00,0.37,0.39,0.36,0.39,0.3704,0.37,0.38,0.39,17652.0,1139409.0,39.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:15:00+00:00,0.39,0.4,0.36,0.38,0.3859,0.39,0.38,0.39,12008.0,1151049.0,38.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:16:00+00:00,0.38,0.4,0.37,0.39,0.3879,0.38,0.39,0.4,12008.0,1162673.0,39.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:17:00+00:00,0.39,0.44,0.39,0.42,0.4123,0.39,0.42,0.43,23936.0,1181547.0,42.0
KXNBAGAME-26FEB09DETCHA-CHA,KXNBAGAME-26FEB09DETCHA,,CHA,,2026-02-10 00:18:00+00:00,0.42,0.43,0.39,0.41,0.4145,0.42,0.4,0.41,14546.0,1195992.0,41.0
