period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,117,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,"Pistons lineup change (Duncan Robinson, Tobias Harris, Cade Cunningham, Jalen Duren, Ausar Thompson)",lineupchange,0,,basketball_play,1770682242,494,True,2026-02-10 00:10:42+00:00,1,720.0,0.0,0.0,1
4,116,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,0,12:00,"Hornets lineup change (Miles Bridges, Brandon Miller, Kon Knueppel, Moussa Diabate, LaMelo Ball)",lineupchange,0,,basketball_play,1770682242,493,True,2026-02-10 00:10:42+00:00,1,720.0,0.0,0.0,2
4,115,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1770682242,492,True,2026-02-10 00:10:42+00:00,1,720.0,0.0,0.0,3
4,114,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,0,12:00,Jalen Duren vs. Moussa Diabate (Ausar Thompson gains possession),opentip,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1770682245,491,True,2026-02-10 00:10:45+00:00,1,720.0,0.0,0.0,4
4,113,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,11:45,Duncan Robinson makes two point pullup jump shot (Cade Cunningham assists),twopointmade,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1770682256,490,True,2026-02-10 00:10:56+00:00,1,705.0,15.0,0.25,5
4,112,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,2,11:23,Brandon Miller misses two point jump shot,twopointmiss,0,,basketball_play,1770682278,489,True,2026-02-10 00:11:18+00:00,1,683.0,37.0,0.6166666666666667,6
4,111,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,2,11:21,Cade Cunningham defensive rebound,rebound,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1770682280,488,True,2026-02-10 00:11:20+00:00,1,681.0,39.0,0.65,7
4,110,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,11:16,Duncan Robinson makes two point running layup (Cade Cunningham assists),twopointmade,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1770682285,487,True,2026-02-10 00:11:25+00:00,1,676.0,44.0,0.7333333333333333,8
4,109,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,4,10:57,Moussa Diabate turnover (offensive goaltending),turnover,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1770682309,486,True,2026-02-10 00:11:49+00:00,1,657.0,63.0,1.05,9
4,108,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,10:45,Cade Cunningham misses two point pullup jump shot,twopointmiss,0,,basketball_play,1770682330,485,True,2026-02-10 00:12:10+00:00,1,645.0,75.0,1.25,10
4,107,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,10:41,Ausar Thompson offensive rebound,rebound,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1770682333,484,True,2026-02-10 00:12:13+00:00,1,641.0,79.0,1.3166666666666667,11
4,106,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,10:38,Tobias Harris misses three point pullup jump shot,threepointmiss,0,,basketball_play,1770682336,483,True,2026-02-10 00:12:16+00:00,1,638.0,82.0,1.3666666666666667,12
4,105,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,10:35,Jalen Duren offensive rebound,rebound,0,65569528-1888-40aa-9d62-2b0e8142a9b4,basketball_play,1770682338,482,True,2026-02-10 00:12:18+00:00,1,635.0,85.0,1.4166666666666667,13
4,104,quarter,1,65569528-1888-40aa-9d62-2b0e8142a9b4,4,10:34,Ausar Thompson misses two point driving layup,twopointmiss,0,,basketball_play,1770682340,481,True,2026-02-10 00:12:20+00:00,1,634.0,86.0,1.4333333333333333,14
4,103,quarter,1,7c980c51-fa76-4571-b165-242b2a00f3a1,4,10:32,Miles Bridges defensive rebound,rebound,0,7c980c51-fa76-4571-b165-242b2a00f3a1,basketball_play,1770682342,480,True,2026-02-10 00:12:22+00:00,1,632.0,88.0,1.4666666666666666,15
