ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:09:00+00:00,0.46,0.46,0.45,0.46,0.4597,0.46,0.45,0.46,6344.0,661464.0,46.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:10:00+00:00,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.46,3248.0,664712.0,46.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:11:00+00:00,0.46,0.47,0.45,0.47,0.4627,0.46,0.46,0.47,3984.0,668602.0,47.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:12:00+00:00,0.47,0.5,0.45,0.49,0.4871,0.47,0.48,0.49,15802.0,683862.0,49.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:13:00+00:00,0.49,0.5,0.41,0.44,0.4529,0.49,0.43,0.44,18561.0,699779.0,44.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:14:00+00:00,0.44,0.45,0.37,0.37,0.4047,0.44,0.36,0.37,6244.0,703951.0,37.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:15:00+00:00,0.37,0.37,0.36,0.36,0.3664,0.37,0.35,0.36,7043.0,710619.0,36.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:16:00+00:00,0.36,0.36,0.35,0.36,0.3588,0.36,0.35,0.36,9205.0,718762.0,36.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:17:00+00:00,0.36,0.37,0.36,0.37,0.3633,0.36,0.36,0.37,12364.0,730829.0,37.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:18:00+00:00,0.37,0.38,0.35,0.38,0.3686,0.37,0.37,0.38,6485.0,736708.0,38.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:19:00+00:00,0.38,0.43,0.36,0.43,0.3993,0.38,0.42,0.43,5874.0,742221.0,43.0
KXNBAGAME-26FEB11ATLCHA-ATL,KXNBAGAME-26FEB11ATLCHA,,ATL,,2026-02-12 00:20:00+00:00,0.44,0.48,0.44,0.45,0.4633,0.43,0.45,0.47,7778.0,748744.0,45.0
