ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:40:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,173.0,248336.0,86.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:41:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,58.0,248394.0,86.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:42:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,10083.0,258477.0,86.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:43:00+00:00,0.86,0.86,0.85,0.86,0.8592,0.86,0.84,0.86,5448.0,263574.0,86.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:44:00+00:00,0.85,0.85,0.82,0.82,0.832,0.86,0.81,0.82,728.0,264097.0,82.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:45:00+00:00,0.82,0.87,0.82,0.87,0.8588,0.82,0.86,0.87,4853.0,268900.0,87.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:46:00+00:00,0.87,0.87,0.86,0.87,0.8682,0.87,0.86,0.87,225.0,269125.0,87.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:47:00+00:00,0.87,0.87,0.86,0.87,0.8699,0.87,0.86,0.87,1723.0,270848.0,87.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:48:00+00:00,0.87,0.87,0.86,0.87,0.8685,0.87,0.86,0.87,672.0,271520.0,87.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:49:00+00:00,0.87,0.87,0.85,0.87,0.8602,0.87,0.86,0.87,797.0,271861.0,87.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:50:00+00:00,0.86,0.86,0.81,0.81,0.822,0.87,0.8,0.81,8180.0,279556.0,81.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:51:00+00:00,0.81,0.85,0.79,0.85,0.8142,0.81,0.84,0.85,633.0,280012.0,85.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:52:00+00:00,0.85,0.85,0.83,0.83,0.8411,0.85,0.82,0.83,246.0,280117.0,83.0
KXNBAGAME-26FEB11CHIBOS-BOS,KXNBAGAME-26FEB11CHIBOS,,BOS,,2026-02-12 00:53:00+00:00,0.83,0.84,0.83,0.83,0.8303,0.83,0.83,0.84,77.0,280165.0,83.0
