ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:12:00+00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,370.0,142993.0,72.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:13:00+00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,788.0,143781.0,72.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:14:00+00:00,0.72,0.73,0.72,0.73,0.7248,0.72,0.71,0.73,71.0,143818.0,73.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:15:00+00:00,0.73,0.73,0.72,0.72,0.7269,0.73,0.71,0.72,1315.0,144102.0,72.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:16:00+00:00,0.72,0.73,0.72,0.73,0.7231,0.72,0.72,0.73,1032.0,144816.0,73.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:17:00+00:00,0.73,0.73,0.69,0.69,0.7117,0.73,0.69,0.71,884.0,145198.0,69.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:18:00+00:00,0.7,0.73,0.7,0.73,0.7145,0.69,0.72,0.73,3179.0,147606.0,73.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:19:00+00:00,0.73,0.76,0.73,0.75,0.7357,0.73,0.74,0.75,23672.0,151783.0,75.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:20:00+00:00,0.75,0.76,0.75,0.76,0.7503,0.75,0.75,0.76,5362.0,157060.0,76.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:21:00+00:00,0.76,0.78,0.75,0.78,0.7592,0.76,0.77,0.78,731.0,157440.0,78.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:22:00+00:00,0.78,0.79,0.78,0.79,0.7867,0.78,0.78,0.79,12.0,157448.0,79.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:23:00+00:00,0.79,0.79,0.78,0.79,0.7899,0.79,0.78,0.79,885.0,158321.0,79.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:24:00+00:00,0.79,0.79,0.78,0.79,0.7894,0.79,0.78,0.79,363.0,158638.0,79.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:25:00+00:00,0.79,0.81,0.79,0.8,0.799,0.79,0.8,0.82,1159.0,159375.0,80.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:26:00+00:00,0.81,0.81,0.78,0.78,0.7845,0.8,0.77,0.79,2646.0,161927.0,78.0
KXNBAGAME-26FEB11PORMIN-MIN,KXNBAGAME-26FEB11PORMIN,,MIN,,2026-02-12 01:27:00+00:00,0.78,0.82,0.78,0.82,0.8174,0.78,0.81,0.82,1698.0,163435.0,82.0
