ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:42:00+00:00,0.17,0.17,0.16,0.17,0.1692,0.17,0.16,0.17,8103.0,1211691.0,17.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:43:00+00:00,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,8338.0,1220013.0,17.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:44:00+00:00,0.17,0.17,0.16,0.16,0.1667,0.17,0.15,0.16,13135.0,1233069.0,16.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:45:00+00:00,0.16,0.17,0.14,0.17,0.1629,0.16,0.16,0.17,15153.0,1247914.0,17.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:46:00+00:00,0.17,0.19,0.15,0.18,0.1723,0.17,0.17,0.18,29144.0,1276275.0,18.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:47:00+00:00,0.18,0.19,0.17,0.19,0.1836,0.18,0.18,0.19,26982.0,1302836.0,19.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:48:00+00:00,0.19,0.2,0.18,0.19,0.1928,0.19,0.18,0.19,50683.0,1352706.0,19.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:49:00+00:00,0.19,0.2,0.19,0.19,0.1944,0.19,0.18,0.19,28554.0,1381104.0,19.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:50:00+00:00,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.19,28492.0,1409537.0,19.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:51:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,35821.0,1445358.0,19.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:52:00+00:00,0.19,0.2,0.18,0.2,0.1914,0.19,0.19,0.2,22581.0,1467512.0,20.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:53:00+00:00,0.2,0.21,0.18,0.21,0.1951,0.2,0.2,0.21,35823.0,1502522.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:54:00+00:00,0.21,0.23,0.2,0.22,0.2156,0.21,0.2,0.22,44219.0,1545928.0,22.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:55:00+00:00,0.22,0.24,0.21,0.22,0.2275,0.22,0.21,0.22,52262.0,1590173.0,22.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:56:00+00:00,0.22,0.23,0.21,0.21,0.2208,0.22,0.2,0.21,39845.0,1617090.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:57:00+00:00,0.21,0.23,0.19,0.22,0.218,0.21,0.2,0.22,44427.0,1660466.0,22.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:58:00+00:00,0.22,0.24,0.2,0.23,0.2286,0.22,0.22,0.23,70394.0,1718914.0,23.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 00:59:00+00:00,0.23,0.24,0.21,0.23,0.2259,0.23,0.22,0.23,18868.0,1737225.0,23.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:00:00+00:00,0.23,0.23,0.2,0.22,0.2231,0.23,0.21,0.22,16471.0,1752453.0,22.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:01:00+00:00,0.21,0.24,0.21,0.21,0.221,0.22,0.2,0.21,37718.0,1788815.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:02:00+00:00,0.21,0.21,0.19,0.21,0.2097,0.21,0.2,0.21,29014.0,1817132.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:03:00+00:00,0.21,0.21,0.19,0.21,0.2081,0.21,0.2,0.21,15141.0,1831992.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:04:00+00:00,0.21,0.21,0.19,0.2,0.202,0.21,0.19,0.2,27297.0,1858603.0,20.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:05:00+00:00,0.2,0.23,0.2,0.21,0.2075,0.2,0.2,0.21,13624.0,1869844.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:06:00+00:00,0.21,0.24,0.21,0.24,0.2388,0.21,0.23,0.24,34559.0,1900667.0,24.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:07:00+00:00,0.24,0.25,0.23,0.25,0.2423,0.24,0.24,0.25,31878.0,1931498.0,25.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:08:00+00:00,0.25,0.25,0.21,0.21,0.2381,0.25,0.21,0.22,20276.0,1949734.0,21.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:09:00+00:00,0.22,0.28,0.21,0.28,0.2529,0.21,0.27,0.28,28770.0,1953271.0,28.000000000000004
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:10:00+00:00,0.28,0.28,0.23,0.27,0.2716,0.28,0.26,0.27,40778.0,1988853.0,27.0
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:11:00+00:00,0.27,0.28,0.26,0.28,0.2718,0.27,0.27,0.28,22462.0,2003563.0,28.000000000000004
KXNBAGAME-26FEB12MILOKC-MIL,KXNBAGAME-26FEB12MILOKC,,MIL,,2026-02-13 01:12:00+00:00,0.28,0.28,0.26,0.28,0.2792,0.28,0.27,0.28,26922.0,2026139.0,28.000000000000004
