ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:11:00+00:00,0.12,0.12,0.1,0.12,0.1197,0.12,0.1,0.12,1538.0,460548.0,12.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:12:00+00:00,0.12,0.12,0.11,0.11,0.1199,0.12,0.1,0.11,7464.0,468012.0,11.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:13:00+00:00,0.11,0.11,0.1,0.11,0.1063,0.11,0.1,0.11,1342.0,469354.0,11.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:14:00+00:00,0.11,0.11,0.1,0.11,0.107,0.11,0.1,0.11,10550.0,479903.0,11.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:15:00+00:00,0.11,0.11,0.08,0.09,0.0952,0.11,0.08,0.09,3111.0,482457.0,9.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:16:00+00:00,0.09,0.09,0.08,0.09,0.0894,0.09,0.08,0.09,3568.0,485797.0,9.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:17:00+00:00,0.09,0.09,0.08,0.09,0.0893,0.09,0.08,0.09,28001.0,512982.0,9.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:18:00+00:00,0.09,0.1,0.07,0.08,0.0857,0.09,0.07,0.08,2295.0,514993.0,8.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:19:00+00:00,0.08,0.08,0.06,0.08,0.0722,0.08,0.07,0.08,7802.0,522103.0,8.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:20:00+00:00,0.08,0.08,0.06,0.08,0.0754,0.08,0.07,0.08,5223.0,527071.0,8.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:21:00+00:00,0.08,0.08,0.06,0.06,0.0689,0.08,0.05,0.06,24027.0,549882.0,6.0
KXNBAGAME-26FEB19BKNCLE-BKN,KXNBAGAME-26FEB19BKNCLE,,BKN,,2026-02-20 00:22:00+00:00,0.06,0.07,0.05,0.07,0.058,0.06,0.06,0.07,8964.0,556293.0,7.000000000000001
