period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,108,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,12:00,"Knicks lineup change (OG Anunoby, Karl-Anthony Towns, Jalen Brunson, Josh Hart, Mikal Bridges)",lineupchange,0,,basketball_play,1771809140,472,True,2026-02-23 01:12:20+00:00,1,720.0,0.0,0.0,1
4,107,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,12:00,"Bulls lineup change (Isaac Okoro, Guerschon Yabusele, Jalen Smith, Matas Buzelis, Josh Giddey)",lineupchange,0,,basketball_play,1771809140,471,True,2026-02-23 01:12:20+00:00,1,720.0,0.0,0.0,2
4,106,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771809140,470,True,2026-02-23 01:12:20+00:00,1,720.0,0.0,0.0,3
4,105,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,12:00,Karl-Anthony Towns vs. Jalen Smith (Guerschon Yabusele gains possession),opentip,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1771809143,469,True,2026-02-23 01:12:23+00:00,1,720.0,0.0,0.0,4
4,104,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:39,Matas Buzelis turnover (out of bounds bad pass),turnover,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1771809162,468,True,2026-02-23 01:12:42+00:00,1,699.0,21.0,0.35,5
4,103,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,11:21,OG Anunoby makes two point jump shot,twopointmade,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1771809182,467,True,2026-02-23 01:13:02+00:00,1,681.0,39.0,0.65,6
4,102,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,11:11,Josh Giddey offensive foul (Charge) (Jalen Brunson draws the foul),offensivefoul,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1771809197,466,True,2026-02-23 01:13:17+00:00,1,671.0,49.0,0.8166666666666667,7
4,101,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,11:11,Josh Giddey turnover (offensive foul),turnover,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1771809197,465,True,2026-02-23 01:13:17+00:00,1,671.0,49.0,0.8166666666666667,8
4,100,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,10:56,Mikal Bridges misses three point jump shot,threepointmiss,0,,basketball_play,1771809223,464,True,2026-02-23 01:13:43+00:00,1,656.0,64.0,1.0666666666666667,9
4,99,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,10:52,Guerschon Yabusele defensive rebound,rebound,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1771809227,463,True,2026-02-23 01:13:47+00:00,1,652.0,68.0,1.1333333333333333,10
4,98,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,2,10:45,Guerschon Yabusele misses three point jump shot,threepointmiss,0,,basketball_play,1771809234,462,True,2026-02-23 01:13:54+00:00,1,645.0,75.0,1.25,11
4,97,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,10:45,Mikal Bridges defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1771809234,461,True,2026-02-23 01:13:54+00:00,1,645.0,75.0,1.25,12
4,96,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,4,10:42,Josh Hart makes two point running layup (Mikal Bridges assists),twopointmade,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1771809238,460,True,2026-02-23 01:13:58+00:00,1,642.0,78.0,1.3,13
4,95,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,4,10:27,Josh Giddey misses three point jump shot,threepointmiss,0,,basketball_play,1771809252,459,True,2026-02-23 01:14:12+00:00,1,627.0,93.0,1.55,14
