period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,112,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,"Kings lineup change (DeMar DeRozan, Keegan Murray, Maxime Raynaud, Precious Achiuwa, Russell Westbrook)",lineupchange,0,,basketball_play,1771895404,472,True,2026-02-24 01:10:04+00:00,1,720.0,0.0,0.0,1
4,111,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,12:00,"Grizzlies lineup change (Olivier-Maxence Prosper, GG Jackson, Jaylen Wells, Cam Spencer, Scotty Pippen Jr.)",lineupchange,0,,basketball_play,1771895404,471,True,2026-02-24 01:10:04+00:00,1,720.0,0.0,0.0,2
4,110,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771895404,470,True,2026-02-24 01:10:04+00:00,1,720.0,0.0,0.0,3
4,109,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,0,12:00,Maxime Raynaud vs. Olivier-Maxence Prosper (Russell Westbrook gains possession),opentip,0,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771895407,469,True,2026-02-24 01:10:07+00:00,1,720.0,0.0,0.0,4
4,108,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,2,11:37,DeMar DeRozan makes two point pullup bank jump shot (Keegan Murray assists),twopointmade,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1771895426,468,True,2026-02-24 01:10:26+00:00,1,697.0,23.0,0.38333333333333336,5
4,107,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,2,11:24,Olivier-Maxence Prosper misses three point jump shot,threepointmiss,0,,basketball_play,1771895439,467,True,2026-02-24 01:10:39+00:00,1,684.0,36.0,0.6,6
4,106,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,2,11:19,Precious Achiuwa defensive rebound,rebound,0,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771895444,466,True,2026-02-24 01:10:44+00:00,1,679.0,41.0,0.6833333333333333,7
4,105,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,4,11:09,Maxime Raynaud makes two point hook shot (DeMar DeRozan assists),twopointmade,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1771895454,465,True,2026-02-24 01:10:54+00:00,1,669.0,51.0,0.85,8
4,104,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,4,10:54,Jaylen Wells makes two point pullup jump shot (Scotty Pippen Jr. assists),twopointmade,2,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,basketball_play,1771895470,464,True,2026-02-24 01:11:10+00:00,1,654.0,66.0,1.1,9
4,103,quarter,1,ab9e2e9a-3243-41b6-a291-95f4d9c6edf7,4,10:39,Russell Westbrook misses three point jump shot,threepointmiss,2,,basketball_play,1771895484,463,True,2026-02-24 01:11:24+00:00,1,639.0,81.0,1.35,10
