ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:39:00+00:00,0.48,0.48,0.48,0.48,0.48,0.49,0.47,0.48,664.0,103511.0,48.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:40:00+00:00,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,200.0,103711.0,48.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:41:00+00:00,0.47,0.48,0.47,0.48,0.4794,0.48,0.47,0.48,640.0,104271.0,48.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:42:00+00:00,0.48,0.48,0.47,0.48,0.4799,0.48,0.47,0.48,792.0,105059.0,48.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:43:00+00:00,0.48,0.49,0.47,0.49,0.4797,0.48,0.48,0.49,3258.0,107804.0,49.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:44:00+00:00,0.49,0.5,0.49,0.5,0.492,0.49,0.49,0.5,435.0,108213.0,50.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:45:00+00:00,0.5,0.51,0.49,0.49,0.4946,0.5,0.48,0.49,3408.0,111621.0,49.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:46:00+00:00,0.49,0.49,0.47,0.47,0.4828,0.49,0.46,0.47,2820.0,114441.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:47:00+00:00,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,1759.0,116200.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:48:00+00:00,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,1411.0,117545.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:49:00+00:00,0.46,0.46,0.45,0.45,0.4599,0.47,0.44,0.45,2012.0,119557.0,45.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:50:00+00:00,0.45,0.48,0.45,0.48,0.4545,0.45,0.47,0.48,1528.0,119991.0,48.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:51:00+00:00,0.48,0.48,0.47,0.47,0.4725,0.48,0.46,0.47,610.0,120601.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:52:00+00:00,0.47,0.47,0.46,0.47,0.47,0.47,0.46,0.47,3198.0,123798.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:53:00+00:00,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,2812.0,126610.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:54:00+00:00,0.47,0.47,0.46,0.47,0.4685,0.47,0.46,0.47,2685.0,129295.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:55:00+00:00,0.47,0.48,0.47,0.47,0.4731,0.47,0.46,0.47,1813.0,130512.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:56:00+00:00,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.47,808.0,131320.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:57:00+00:00,0.48,0.48,0.47,0.47,0.4703,0.47,0.46,0.47,2197.0,133517.0,47.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:58:00+00:00,0.47,0.47,0.45,0.45,0.4536,0.47,0.44,0.45,1195.0,134712.0,45.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 00:59:00+00:00,0.45,0.46,0.45,0.46,0.4508,0.45,0.45,0.46,1210.0,135922.0,46.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:00:00+00:00,0.46,0.46,0.44,0.45,0.4501,0.46,0.44,0.45,1757.0,136528.0,45.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:01:00+00:00,0.45,0.45,0.43,0.44,0.4397,0.45,0.43,0.44,2310.0,138738.0,44.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:02:00+00:00,0.44,0.44,0.39,0.4,0.4071,0.44,0.39,0.4,761.0,138914.0,40.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:03:00+00:00,0.4,0.4,0.39,0.39,0.3933,0.4,0.39,0.4,1818.0,140495.0,39.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:04:00+00:00,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.4,686.0,140861.0,40.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:05:00+00:00,0.4,0.4,0.37,0.38,0.3808,0.4,0.37,0.38,2972.0,141154.0,38.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:06:00+00:00,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,607.0,141761.0,38.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:07:00+00:00,0.38,0.4,0.37,0.38,0.3865,0.38,0.37,0.38,1086.0,142606.0,38.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:08:00+00:00,0.37,0.38,0.34,0.34,0.3634,0.38,0.34,0.35,3923.0,145463.0,34.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:09:00+00:00,0.33,0.42,0.33,0.42,0.398,0.34,0.41,0.42,6248.0,147098.0,42.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:10:00+00:00,0.42,0.42,0.4,0.41,0.4013,0.42,0.4,0.41,5867.0,152845.0,41.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:11:00+00:00,0.41,0.41,0.35,0.35,0.3702,0.41,0.34,0.35,2352.0,154581.0,35.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:12:00+00:00,0.34,0.35,0.34,0.34,0.3424,0.35,0.33,0.34,345.0,154664.0,34.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:13:00+00:00,0.34,0.34,0.32,0.32,0.3206,0.34,0.32,0.33,5092.0,154754.0,32.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:14:00+00:00,0.33,0.34,0.33,0.34,0.3338,0.32,0.33,0.34,1805.0,155146.0,34.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:15:00+00:00,0.33,0.33,0.29,0.3,0.3176,0.34,0.29,0.3,6614.0,154982.0,30.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:16:00+00:00,0.3,0.32,0.29,0.29,0.3091,0.3,0.28,0.3,5565.0,156672.0,28.999999999999996
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:17:00+00:00,0.28,0.31,0.28,0.29,0.3001,0.29,0.29,0.3,1767.0,158007.0,28.999999999999996
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:18:00+00:00,0.29,0.31,0.29,0.31,0.3026,0.29,0.3,0.31,13255.0,170326.0,31.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:19:00+00:00,0.3,0.3,0.3,0.3,0.3,0.31,0.3,0.31,116.0,170210.0,30.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:20:00+00:00,0.3,0.34,0.3,0.34,0.3162,0.3,0.33,0.34,13370.0,180449.0,34.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:21:00+00:00,0.34,0.34,0.26,0.26,0.2997,0.34,0.26,0.27,15172.0,187133.0,26.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:22:00+00:00,0.26,0.27,0.26,0.27,0.2633,0.26,0.26,0.27,2309.0,186292.0,27.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:23:00+00:00,0.26,0.27,0.26,0.27,0.264,0.27,0.26,0.27,707.0,185871.0,27.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:24:00+00:00,0.26,0.27,0.26,0.27,0.2685,0.27,0.26,0.27,88.0,185858.0,27.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:25:00+00:00,0.26,0.26,0.22,0.22,0.2511,0.27,0.21,0.22,3517.0,187763.0,22.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:26:00+00:00,0.21,0.22,0.19,0.2,0.2011,0.22,0.19,0.2,4294.0,186840.0,20.0
KXNBAGAME-26FEB24DALBKN-BKN,KXNBAGAME-26FEB24DALBKN,,BKN,,2026-02-25 01:27:00+00:00,0.19,0.23,0.19,0.2,0.21,0.2,0.2,0.21,9166.0,192702.0,20.0
