period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,120,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,12:00,"Warriors lineup change (Gui Santos, Pat Spencer, Moses Moody, Draymond Green, De'Anthony Melton)",lineupchange,0,,basketball_play,1771981832,548,True,2026-02-25 01:10:32+00:00,1,720.0,0.0,0.0,1
4,119,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,12:00,"Pelicans lineup change (Herbert Jones, DeAndre Jordan, Dejounte Murray, Saddiq Bey, Zion Williamson)",lineupchange,0,,basketball_play,1771981832,547,True,2026-02-25 01:10:32+00:00,1,720.0,0.0,0.0,2
4,118,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1771981832,546,True,2026-02-25 01:10:32+00:00,1,720.0,0.0,0.0,3
4,117,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,12:00,Draymond Green vs. DeAndre Jordan (Dejounte Murray gains possession),opentip,0,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1771981835,545,True,2026-02-25 01:10:35+00:00,1,720.0,0.0,0.0,4
4,116,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:42,Dejounte Murray makes two point cutting layup (DeAndre Jordan assists),twopointmade,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1771981849,544,True,2026-02-25 01:10:49+00:00,1,702.0,18.0,0.3,5
4,115,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:27,Moses Moody misses three point jump shot,threepointmiss,2,,basketball_play,1771981864,543,True,2026-02-25 01:11:04+00:00,1,687.0,33.0,0.55,6
4,114,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:23,Herbert Jones defensive rebound,rebound,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1771981868,542,True,2026-02-25 01:11:08+00:00,1,683.0,37.0,0.6166666666666667,7
4,113,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:15,Saddiq Bey misses three point jump shot,threepointmiss,2,,basketball_play,1771981877,541,True,2026-02-25 01:11:17+00:00,1,675.0,45.0,0.75,8
4,112,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:10,Gui Santos defensive rebound,rebound,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1771981882,540,True,2026-02-25 01:11:22+00:00,1,670.0,50.0,0.8333333333333334,9
4,111,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,11:04,Draymond Green misses three point jump shot,threepointmiss,2,,basketball_play,1771981887,539,True,2026-02-25 01:11:27+00:00,1,664.0,56.0,0.9333333333333333,10
4,110,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:01,Saddiq Bey defensive rebound,rebound,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1771981890,538,True,2026-02-25 01:11:30+00:00,1,661.0,59.0,0.9833333333333333,11
4,109,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,10:54,Dejounte Murray misses three point pullup jump shot,threepointmiss,2,,basketball_play,1771981898,537,True,2026-02-25 01:11:38+00:00,1,654.0,66.0,1.1,12
4,108,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,10:51,De'Anthony Melton defensive rebound,rebound,2,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1771981901,536,True,2026-02-25 01:11:41+00:00,1,651.0,69.0,1.15,13
4,107,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,10:45,De'Anthony Melton turnover (lost ball) (Zion Williamson steals),turnover,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1771981907,535,True,2026-02-25 01:11:47+00:00,1,645.0,75.0,1.25,14
4,106,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,10:30,Zion Williamson makes two point cutting dunk (DeAndre Jordan assists),twopointmade,4,502c629b-4da7-40fd-92ab-20cb55411c35,basketball_play,1771981921,534,True,2026-02-25 01:12:01+00:00,1,630.0,90.0,1.5,15
4,105,quarter,1,502c629b-4da7-40fd-92ab-20cb55411c35,0,10:10,Pat Spencer misses two point pullup jump shot,twopointmiss,4,,basketball_play,1771981941,533,True,2026-02-25 01:12:21+00:00,1,610.0,110.0,1.8333333333333333,16
4,104,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,10:10,Pelicans defensive rebound,rebound,4,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1771981941,532,True,2026-02-25 01:12:21+00:00,1,610.0,110.0,1.8333333333333333,17
4,103,quarter,1,,0,10:10,Stoppage (Out of bounds),stoppage,4,,basketball_play,1771981949,531,True,2026-02-25 01:12:29+00:00,1,610.0,110.0,1.8333333333333333,18
4,102,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,9:58,Zion Williamson misses two point driving layup,twopointmiss,4,,basketball_play,1771981963,530,True,2026-02-25 01:12:43+00:00,1,598.0,122.0,2.033333333333333,19
