ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:11:00+00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.67,0.69,754.0,134509.0,69.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:12:00+00:00,0.68,0.68,0.68,0.68,0.68,0.69,0.67,0.69,42.0,134551.0,68.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:13:00+00:00,0.69,0.69,0.69,0.69,0.69,0.68,0.67,0.68,341.0,134892.0,69.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:14:00+00:00,0.68,0.68,0.67,0.68,0.6797,0.69,0.67,0.68,288.0,135180.0,68.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:15:00+00:00,0.67,0.69,0.67,0.69,0.6785,0.68,0.68,0.7,265.0,135410.0,69.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:16:00+00:00,0.7,0.76,0.7,0.7,0.7212,0.69,0.68,0.7,32329.0,162448.0,70.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:17:00+00:00,0.7,0.71,0.7,0.7,0.706,0.7,0.68,0.69,598.0,163046.0,70.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:18:00+00:00,0.71,0.72,0.7,0.7,0.7093,0.7,0.69,0.7,3511.0,166011.0,70.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:19:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,972.0,166914.0,70.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:20:00+00:00,0.71,0.71,0.69,0.69,0.6944,0.7,0.67,0.68,595.0,167259.0,69.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:21:00+00:00,0.68,0.71,0.67,0.69,0.6902,0.69,0.67,0.69,5305.0,172564.0,69.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:22:00+00:00,0.69,0.69,0.68,0.68,0.6804,0.69,0.67,0.68,2177.0,172762.0,68.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:23:00+00:00,0.67,0.69,0.66,0.68,0.6729,0.68,0.66,0.67,3095.0,175651.0,68.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:24:00+00:00,0.67,0.67,0.67,0.67,0.67,0.68,0.66,0.67,313.0,175964.0,67.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:25:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,43.0,176007.0,67.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:26:00+00:00,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.67,513.0,176520.0,67.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:27:00+00:00,0.67,0.67,0.66,0.67,0.6688,0.67,0.68,0.69,11466.0,186836.0,67.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:28:00+00:00,0.69,0.71,0.68,0.68,0.687,0.67,0.67,0.68,1856.0,187372.0,68.0
KXNBAGAME-26FEB24MIAMIL-MIA,KXNBAGAME-26FEB24MIAMIL,,MIA,,2026-02-25 01:29:00+00:00,0.68,0.72,0.66,0.71,0.6935,0.68,0.67,0.69,1894.0,188251.0,71.0
