ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:09:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,4624.0,461026.0,19.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:10:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,8426.0,469452.0,19.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:11:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,12832.0,482133.0,19.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:12:00+00:00,0.19,0.21,0.19,0.21,0.1989,0.19,0.19,0.21,8189.0,490322.0,21.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:13:00+00:00,0.21,0.22,0.2,0.22,0.2045,0.21,0.21,0.22,18874.0,508881.0,22.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:14:00+00:00,0.21,0.24,0.21,0.23,0.2276,0.22,0.22,0.23,30145.0,538865.0,23.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:15:00+00:00,0.23,0.23,0.21,0.22,0.2213,0.23,0.21,0.22,14720.0,553540.0,22.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:16:00+00:00,0.22,0.24,0.2,0.24,0.2198,0.22,0.23,0.24,6309.0,559093.0,24.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:17:00+00:00,0.24,0.26,0.21,0.22,0.2327,0.24,0.22,0.23,52954.0,596322.0,22.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:18:00+00:00,0.23,0.24,0.19,0.21,0.2135,0.22,0.2,0.21,14962.0,609275.0,21.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:19:00+00:00,0.21,0.21,0.19,0.21,0.2086,0.21,0.19,0.2,24473.0,633272.0,21.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:20:00+00:00,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.2,15644.0,648916.0,20.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:21:00+00:00,0.2,0.2,0.19,0.2,0.1999,0.2,0.19,0.2,9368.0,658077.0,20.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:22:00+00:00,0.2,0.22,0.19,0.22,0.1984,0.2,0.21,0.22,10649.0,667789.0,22.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:23:00+00:00,0.22,0.23,0.22,0.23,0.2288,0.22,0.22,0.23,29946.0,697528.0,23.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:24:00+00:00,0.23,0.23,0.2,0.22,0.209,0.23,0.21,0.22,8738.0,704879.0,22.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:25:00+00:00,0.22,0.24,0.2,0.24,0.2216,0.22,0.23,0.24,12674.0,715364.0,24.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:26:00+00:00,0.24,0.25,0.22,0.25,0.2428,0.24,0.24,0.25,11280.0,725857.0,25.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:27:00+00:00,0.25,0.28,0.24,0.28,0.2543,0.25,0.27,0.28,26956.0,748015.0,28.000000000000004
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:28:00+00:00,0.28,0.28,0.27,0.28,0.2798,0.28,0.27,0.28,26777.0,774141.0,28.000000000000004
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:29:00+00:00,0.28,0.28,0.27,0.28,0.2794,0.28,0.27,0.28,46432.0,814866.0,28.000000000000004
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:30:00+00:00,0.28,0.3,0.27,0.3,0.29,0.28,0.27,0.3,25532.0,837642.0,30.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:31:00+00:00,0.3,0.33,0.27,0.33,0.2983,0.3,0.31,0.33,32681.0,860753.0,33.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:32:00+00:00,0.33,0.34,0.31,0.33,0.3289,0.33,0.32,0.33,24779.0,875141.0,33.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:33:00+00:00,0.33,0.34,0.31,0.32,0.3282,0.33,0.31,0.32,22721.0,890632.0,32.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:34:00+00:00,0.32,0.33,0.29,0.31,0.3124,0.32,0.3,0.32,17481.0,905196.0,31.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:35:00+00:00,0.3,0.33,0.29,0.3,0.3094,0.31,0.29,0.3,13369.0,913910.0,30.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:36:00+00:00,0.3,0.33,0.29,0.32,0.3173,0.3,0.32,0.33,19492.0,923562.0,32.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:37:00+00:00,0.32,0.35,0.32,0.33,0.3337,0.32,0.32,0.33,33570.0,936616.0,33.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:38:00+00:00,0.33,0.34,0.32,0.33,0.3381,0.33,0.32,0.33,16617.0,951139.0,33.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:39:00+00:00,0.33,0.34,0.32,0.33,0.331,0.33,0.32,0.33,21010.0,963851.0,33.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:40:00+00:00,0.33,0.34,0.29,0.29,0.2976,0.33,0.28,0.29,17497.0,974178.0,28.999999999999996
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:41:00+00:00,0.29,0.3,0.23,0.24,0.2756,0.29,0.23,0.24,21241.0,991257.0,24.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:42:00+00:00,0.24,0.24,0.21,0.24,0.2289,0.24,0.23,0.24,13997.0,991104.0,24.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:43:00+00:00,0.23,0.24,0.19,0.21,0.2111,0.24,0.19,0.21,21848.0,996835.0,21.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:44:00+00:00,0.21,0.21,0.17,0.17,0.1971,0.21,0.17,0.19,24356.0,1006426.0,17.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:45:00+00:00,0.17,0.19,0.14,0.14,0.1578,0.17,0.14,0.15,45703.0,991285.0,14.000000000000002
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:46:00+00:00,0.14,0.15,0.13,0.14,0.1425,0.14,0.14,0.15,15716.0,993877.0,14.000000000000002
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:47:00+00:00,0.15,0.15,0.14,0.15,0.1479,0.14,0.14,0.15,19364.0,1005050.0,15.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:48:00+00:00,0.15,0.15,0.14,0.15,0.1452,0.15,0.14,0.15,12943.0,1005982.0,15.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:49:00+00:00,0.15,0.15,0.11,0.12,0.1187,0.15,0.11,0.12,16730.0,1011578.0,12.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:50:00+00:00,0.11,0.12,0.09,0.09,0.1057,0.12,0.1,0.11,37019.0,1005661.0,9.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:51:00+00:00,0.11,0.13,0.09,0.11,0.1139,0.09,0.1,0.11,13494.0,1018199.0,11.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:52:00+00:00,0.11,0.11,0.08,0.08,0.0901,0.11,0.08,0.09,16122.0,1020152.0,8.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:53:00+00:00,0.09,0.09,0.07,0.07,0.0784,0.08,0.07,0.08,13953.0,1023164.0,7.000000000000001
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:54:00+00:00,0.07,0.09,0.07,0.08,0.0763,0.07,0.08,0.09,19583.0,1025162.0,8.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:55:00+00:00,0.09,0.09,0.06,0.06,0.0779,0.08,0.06,0.07,16037.0,1029162.0,6.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:56:00+00:00,0.06,0.07,0.05,0.06,0.0562,0.06,0.04,0.06,35477.0,1025808.0,6.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:57:00+00:00,0.04,0.06,0.04,0.05,0.0484,0.06,0.05,0.06,54067.0,1000174.0,5.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:58:00+00:00,0.04,0.06,0.04,0.05,0.0512,0.05,0.04,0.05,11039.0,1003928.0,5.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 00:59:00+00:00,0.05,0.07,0.04,0.06,0.0534,0.05,0.05,0.06,10839.0,1007764.0,6.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 01:00:00+00:00,0.06,0.08,0.05,0.08,0.0711,0.06,0.06,0.08,8834.0,1014544.0,8.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 01:01:00+00:00,0.08,0.1,0.06,0.09,0.09,0.08,0.09,0.1,10454.0,1017245.0,9.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 01:02:00+00:00,0.1,0.11,0.09,0.11,0.1074,0.09,0.1,0.11,28866.0,1044465.0,11.0
KXNBAGAME-26FEB24PHIIND-IND,KXNBAGAME-26FEB24PHIIND,,IND,,2026-02-25 01:03:00+00:00,0.1,0.12,0.09,0.12,0.118,0.11,0.11,0.12,58433.0,1099523.0,12.0
