ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:11:00+00:00,0.59,0.59,0.58,0.58,0.5837,0.59,0.58,0.59,1665.0,531514.0,57.99999999999999
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:12:00+00:00,0.59,0.59,0.58,0.59,0.5863,0.58,0.58,0.59,940.0,531754.0,59.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:13:00+00:00,0.59,0.59,0.58,0.58,0.5849,0.59,0.58,0.59,4599.0,535739.0,57.99999999999999
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:14:00+00:00,0.58,0.6,0.58,0.59,0.5901,0.58,0.59,0.6,8922.0,544472.0,59.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:15:00+00:00,0.6,0.62,0.59,0.62,0.6025,0.59,0.62,0.63,7838.0,550009.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:16:00+00:00,0.63,0.67,0.61,0.66,0.6284,0.62,0.66,0.67,5899.0,553651.0,66.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:17:00+00:00,0.67,0.68,0.66,0.68,0.6705,0.66,0.67,0.68,20081.0,572839.0,68.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:18:00+00:00,0.68,0.68,0.67,0.68,0.6785,0.68,0.66,0.67,25907.0,594806.0,68.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:19:00+00:00,0.67,0.68,0.66,0.68,0.6796,0.68,0.67,0.68,26516.0,620918.0,68.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:20:00+00:00,0.68,0.69,0.68,0.68,0.681,0.68,0.67,0.68,17612.0,637994.0,68.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:21:00+00:00,0.68,0.7,0.65,0.65,0.66,0.68,0.64,0.65,6513.0,643066.0,65.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:22:00+00:00,0.65,0.66,0.62,0.66,0.6445,0.65,0.65,0.66,6498.0,645777.0,66.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:23:00+00:00,0.66,0.7,0.65,0.69,0.6567,0.66,0.68,0.69,19523.0,639393.0,69.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:24:00+00:00,0.7,0.7,0.67,0.67,0.6804,0.69,0.66,0.67,6910.0,645848.0,67.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:25:00+00:00,0.67,0.67,0.65,0.66,0.6601,0.67,0.65,0.66,13393.0,657634.0,66.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:26:00+00:00,0.66,0.67,0.65,0.66,0.6597,0.66,0.65,0.66,5077.0,661040.0,66.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:27:00+00:00,0.66,0.67,0.62,0.62,0.6527,0.66,0.61,0.62,4686.0,665543.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:28:00+00:00,0.61,0.62,0.56,0.56,0.5996,0.62,0.56,0.57,5151.0,670267.0,56.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:29:00+00:00,0.57,0.62,0.55,0.61,0.5897,0.56,0.6,0.61,19862.0,675750.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:30:00+00:00,0.61,0.61,0.55,0.56,0.5879,0.61,0.55,0.56,8309.0,683909.0,56.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:31:00+00:00,0.56,0.56,0.52,0.53,0.5339,0.56,0.52,0.53,11364.0,694402.0,53.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:32:00+00:00,0.53,0.55,0.51,0.54,0.5354,0.53,0.53,0.54,9247.0,700326.0,54.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:33:00+00:00,0.54,0.56,0.52,0.56,0.5574,0.54,0.55,0.57,14541.0,714052.0,56.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:34:00+00:00,0.57,0.57,0.55,0.57,0.5698,0.56,0.55,0.57,12545.0,726217.0,56.99999999999999
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:35:00+00:00,0.57,0.57,0.56,0.57,0.5695,0.57,0.56,0.57,5636.0,731381.0,56.99999999999999
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:36:00+00:00,0.57,0.57,0.56,0.57,0.5697,0.57,0.56,0.57,3006.0,734301.0,56.99999999999999
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:37:00+00:00,0.57,0.6,0.55,0.6,0.565,0.57,0.59,0.6,4295.0,734473.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:38:00+00:00,0.6,0.64,0.59,0.64,0.6292,0.6,0.62,0.64,19398.0,746251.0,64.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:39:00+00:00,0.64,0.65,0.63,0.64,0.6388,0.64,0.63,0.64,3017.0,749200.0,64.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:40:00+00:00,0.64,0.69,0.64,0.67,0.6675,0.64,0.66,0.67,14268.0,756458.0,67.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:41:00+00:00,0.67,0.68,0.65,0.65,0.6678,0.67,0.64,0.65,9795.0,765228.0,65.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:42:00+00:00,0.65,0.65,0.59,0.6,0.6201,0.65,0.59,0.6,4228.0,769151.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:43:00+00:00,0.6,0.6,0.59,0.6,0.5994,0.6,0.59,0.6,7677.0,776385.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:44:00+00:00,0.6,0.6,0.59,0.6,0.5992,0.6,0.59,0.6,2502.0,778697.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:45:00+00:00,0.6,0.62,0.59,0.62,0.6007,0.6,0.6,0.61,5697.0,784250.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:46:00+00:00,0.61,0.65,0.59,0.65,0.621,0.62,0.65,0.66,29824.0,813266.0,65.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:47:00+00:00,0.66,0.69,0.64,0.68,0.6638,0.65,0.67,0.68,3158.0,815616.0,68.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:48:00+00:00,0.67,0.68,0.59,0.6,0.6121,0.68,0.59,0.6,6520.0,821630.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:49:00+00:00,0.6,0.62,0.6,0.62,0.6141,0.6,0.61,0.62,2574.0,823557.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:50:00+00:00,0.62,0.62,0.6,0.61,0.6093,0.62,0.6,0.61,5521.0,825140.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:51:00+00:00,0.61,0.61,0.6,0.61,0.6083,0.61,0.6,0.61,1501.0,826137.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:52:00+00:00,0.61,0.61,0.6,0.6,0.6099,0.61,0.6,0.61,43064.0,867925.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:53:00+00:00,0.61,0.62,0.55,0.56,0.6063,0.6,0.54,0.55,25577.0,880296.0,56.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:54:00+00:00,0.55,0.59,0.51,0.53,0.5458,0.56,0.52,0.53,10317.0,884205.0,53.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:55:00+00:00,0.53,0.55,0.53,0.55,0.5422,0.53,0.54,0.56,6476.0,890074.0,55.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:56:00+00:00,0.56,0.56,0.51,0.54,0.5547,0.55,0.53,0.54,12977.0,901047.0,54.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:57:00+00:00,0.54,0.62,0.53,0.62,0.5797,0.54,0.61,0.62,8361.0,908613.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:58:00+00:00,0.62,0.65,0.61,0.65,0.6216,0.62,0.63,0.65,6864.0,911594.0,65.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 01:59:00+00:00,0.65,0.66,0.63,0.65,0.6505,0.65,0.63,0.65,1827.0,912049.0,65.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:00:00+00:00,0.65,0.65,0.61,0.62,0.6234,0.65,0.61,0.62,5142.0,912370.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:01:00+00:00,0.62,0.62,0.61,0.61,0.6181,0.62,0.61,0.62,4014.0,914852.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:02:00+00:00,0.61,0.62,0.61,0.62,0.6163,0.61,0.61,0.62,1554.0,915266.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:03:00+00:00,0.62,0.62,0.61,0.62,0.6122,0.62,0.6,0.62,2890.0,915325.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:04:00+00:00,0.62,0.62,0.6,0.61,0.6172,0.62,0.61,0.62,973.0,916059.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:05:00+00:00,0.62,0.62,0.61,0.62,0.62,0.61,0.61,0.62,6635.0,922673.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:06:00+00:00,0.62,0.62,0.62,0.62,0.62,0.62,0.61,0.62,3726.0,926399.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:07:00+00:00,0.62,0.62,0.61,0.61,0.62,0.62,0.6,0.61,4173.0,930555.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:08:00+00:00,0.61,0.62,0.6,0.6,0.6056,0.61,0.6,0.61,2664.0,929928.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:09:00+00:00,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.61,1999.0,931927.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:10:00+00:00,0.61,0.61,0.6,0.61,0.6096,0.61,0.6,0.61,1881.0,933627.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:11:00+00:00,0.6,0.62,0.6,0.61,0.6102,0.61,0.6,0.61,9874.0,941771.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:12:00+00:00,0.61,0.62,0.6,0.6,0.6103,0.61,0.6,0.61,6125.0,947806.0,60.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:13:00+00:00,0.61,0.61,0.6,0.61,0.6074,0.6,0.6,0.61,3558.0,949630.0,61.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:14:00+00:00,0.61,0.62,0.61,0.62,0.6121,0.61,0.61,0.62,9849.0,959444.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:15:00+00:00,0.62,0.62,0.61,0.62,0.6111,0.62,0.6,0.62,2989.0,962421.0,62.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:16:00+00:00,0.62,0.62,0.54,0.55,0.5897,0.62,0.54,0.55,54070.0,965374.0,55.00000000000001
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:17:00+00:00,0.55,0.55,0.49,0.5,0.5039,0.55,0.49,0.5,12728.0,975756.0,50.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:18:00+00:00,0.5,0.51,0.48,0.5,0.4975,0.5,0.48,0.5,6209.0,980015.0,50.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:19:00+00:00,0.48,0.48,0.41,0.42,0.4632,0.5,0.41,0.42,13164.0,989813.0,42.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:20:00+00:00,0.42,0.42,0.33,0.33,0.3879,0.42,0.33,0.34,40987.0,1017643.0,33.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:21:00+00:00,0.34,0.34,0.32,0.34,0.3365,0.33,0.33,0.34,16103.0,1022711.0,34.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:22:00+00:00,0.34,0.34,0.3,0.33,0.3169,0.34,0.31,0.33,34639.0,1006668.0,33.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:23:00+00:00,0.33,0.33,0.31,0.33,0.3262,0.33,0.31,0.33,10788.0,1014101.0,33.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:24:00+00:00,0.33,0.37,0.31,0.34,0.3469,0.33,0.32,0.34,30069.0,1032964.0,34.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:25:00+00:00,0.33,0.35,0.28,0.35,0.3193,0.34,0.34,0.35,26984.0,1051716.0,35.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:26:00+00:00,0.35,0.36,0.31,0.35,0.3315,0.35,0.34,0.35,29211.0,1075531.0,35.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:27:00+00:00,0.35,0.35,0.3,0.32,0.3192,0.35,0.3,0.32,19920.0,1089820.0,32.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:28:00+00:00,0.32,0.32,0.26,0.28,0.2919,0.32,0.27,0.28,15954.0,1099745.0,28.000000000000004
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:29:00+00:00,0.28,0.29,0.19,0.22,0.2422,0.28,0.22,0.24,34045.0,1114582.0,22.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:30:00+00:00,0.24,0.32,0.22,0.32,0.2604,0.22,0.3,0.32,7427.0,1114021.0,32.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:31:00+00:00,0.3,0.34,0.3,0.34,0.3267,0.32,0.33,0.34,12392.0,1117189.0,34.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:32:00+00:00,0.34,0.37,0.3,0.37,0.3396,0.34,0.36,0.37,8330.0,1122245.0,37.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:33:00+00:00,0.37,0.47,0.37,0.47,0.4461,0.37,0.46,0.47,32593.0,1128321.0,47.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:34:00+00:00,0.47,0.48,0.46,0.48,0.4744,0.47,0.47,0.48,27168.0,1154441.0,48.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:35:00+00:00,0.47,0.48,0.47,0.48,0.4787,0.48,0.47,0.48,11276.0,1164806.0,48.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:36:00+00:00,0.48,0.49,0.4,0.4,0.4641,0.48,0.4,0.41,30056.0,1180646.0,40.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:37:00+00:00,0.41,0.48,0.4,0.48,0.448,0.4,0.46,0.48,15179.0,1181172.0,48.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:38:00+00:00,0.48,0.48,0.44,0.45,0.4569,0.48,0.44,0.45,9969.0,1185188.0,45.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:39:00+00:00,0.45,0.51,0.41,0.51,0.4527,0.45,0.5,0.51,11149.0,1191152.0,51.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:40:00+00:00,0.51,0.56,0.5,0.54,0.5177,0.51,0.54,0.56,48434.0,1221929.0,54.0
KXNBAGAME-26FEB25CLEMIL-CLE,KXNBAGAME-26FEB25CLEMIL,,CLE,,2026-02-26 02:41:00+00:00,0.56,0.6,0.54,0.59,0.583,0.54,0.58,0.59,60623.0,1222647.0,59.0
