ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:42:00+00:00,0.8,0.8,0.79,0.79,0.7997,0.8,0.79,0.8,1252.0,782523.0,79.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:43:00+00:00,0.8,0.8,0.79,0.8,0.7995,0.79,0.79,0.8,890.0,783372.0,80.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:44:00+00:00,0.8,0.8,0.77,0.77,0.785,0.8,0.76,0.77,12258.0,795368.0,77.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:45:00+00:00,0.77,0.79,0.76,0.79,0.7767,0.77,0.78,0.79,16884.0,807161.0,79.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:46:00+00:00,0.79,0.81,0.79,0.81,0.7985,0.79,0.8,0.81,11164.0,816917.0,81.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:47:00+00:00,0.81,0.81,0.79,0.81,0.8027,0.81,0.79,0.8,4757.0,821449.0,81.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:48:00+00:00,0.8,0.8,0.79,0.8,0.7999,0.81,0.79,0.8,3664.0,825106.0,80.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:49:00+00:00,0.8,0.8,0.76,0.78,0.7623,0.8,0.77,0.78,39696.0,864317.0,78.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:50:00+00:00,0.78,0.78,0.77,0.78,0.7799,0.78,0.77,0.78,2475.0,866741.0,78.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:51:00+00:00,0.78,0.78,0.77,0.78,0.7792,0.78,0.77,0.78,3369.0,869822.0,78.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:52:00+00:00,0.78,0.78,0.77,0.78,0.7791,0.78,0.77,0.78,993.0,870638.0,78.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:53:00+00:00,0.78,0.78,0.77,0.78,0.7796,0.78,0.77,0.79,1222.0,871765.0,78.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:54:00+00:00,0.78,0.78,0.75,0.76,0.769,0.78,0.75,0.76,18910.0,884607.0,76.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:55:00+00:00,0.76,0.78,0.74,0.74,0.772,0.76,0.73,0.74,17410.0,900810.0,74.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:56:00+00:00,0.74,0.76,0.72,0.76,0.7526,0.74,0.75,0.76,4951.0,905160.0,76.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:57:00+00:00,0.76,0.76,0.75,0.76,0.7568,0.76,0.76,0.77,3979.0,909001.0,76.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:58:00+00:00,0.77,0.77,0.73,0.73,0.7602,0.76,0.72,0.73,5154.0,912082.0,73.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 00:59:00+00:00,0.73,0.73,0.72,0.73,0.7293,0.73,0.72,0.73,2728.0,914509.0,73.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:00:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,11024.0,925515.0,73.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:01:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,2213.0,927250.0,73.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:02:00+00:00,0.73,0.73,0.71,0.71,0.7228,0.73,0.7,0.71,13097.0,935433.0,71.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:03:00+00:00,0.71,0.71,0.66,0.66,0.6763,0.71,0.66,0.67,20242.0,955378.0,66.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:04:00+00:00,0.67,0.68,0.65,0.66,0.6623,0.66,0.66,0.67,72965.0,1021097.0,66.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:05:00+00:00,0.66,0.67,0.58,0.59,0.6504,0.66,0.58,0.59,27641.0,1046720.0,59.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:06:00+00:00,0.59,0.63,0.57,0.59,0.5959,0.59,0.56,0.58,21414.0,1062692.0,59.0
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:07:00+00:00,0.58,0.58,0.54,0.55,0.5712,0.59,0.54,0.55,32058.0,1078588.0,55.00000000000001
KXNBAGAME-26FEB25OKCDET-DET,KXNBAGAME-26FEB25OKCDET,,DET,,2026-02-26 01:08:00+00:00,0.56,0.56,0.53,0.54,0.5424,0.55,0.53,0.54,55984.0,1128487.0,54.0
