period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,126,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,12:00,"Pelicans lineup change (DeAndre Jordan, Saddiq Bey, Dejounte Murray, Zion Williamson, Herbert Jones)",lineupchange,0,,basketball_play,1772158273,492,True,2026-02-27 02:11:13+00:00,1,720.0,0.0,0.0,1
4,125,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,"Jazz lineup change (John Konchar, Cody Williams, Kyle Filipowski, Ace Bailey, Isaiah Collier)",lineupchange,0,,basketball_play,1772158273,491,True,2026-02-27 02:11:13+00:00,1,720.0,0.0,0.0,2
4,124,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772158273,490,True,2026-02-27 02:11:13+00:00,1,720.0,0.0,0.0,3
4,123,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,12:00,DeAndre Jordan vs. Kyle Filipowski (Isaiah Collier gains possession),opentip,0,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772158276,489,True,2026-02-27 02:11:16+00:00,1,720.0,0.0,0.0,4
4,122,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,0,11:46,Ace Bailey makes two point pullup jump shot (Isaiah Collier assists),twopointmade,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1772158287,488,True,2026-02-27 02:11:27+00:00,1,706.0,14.0,0.23333333333333334,5
4,121,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,2,11:28,Saddiq Bey makes two point driving layup (Dejounte Murray assists),twopointmade,2,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772158304,487,True,2026-02-27 02:11:44+00:00,1,688.0,32.0,0.5333333333333333,6
4,120,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,11:20,Kyle Filipowski misses three point pullup jump shot,threepointmiss,2,,basketball_play,1772158312,486,True,2026-02-27 02:11:52+00:00,1,680.0,40.0,0.6666666666666666,7
4,119,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,2,11:19,DeAndre Jordan defensive rebound,rebound,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1772158313,485,True,2026-02-27 02:11:53+00:00,1,679.0,41.0,0.6833333333333333,8
4,118,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,2,11:00,Dejounte Murray misses three point pullup jump shot,threepointmiss,2,,basketball_play,1772158332,484,True,2026-02-27 02:12:12+00:00,1,660.0,60.0,1.0,9
4,117,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,10:58,Jazz defensive rebound,rebound,2,6f60dfb1-fda1-423f-b76f-67e9d24b9644,basketball_play,1772158335,483,True,2026-02-27 02:12:15+00:00,1,658.0,62.0,1.0333333333333334,10
4,116,quarter,1,,2,10:58,Stoppage (Out of bounds),stoppage,2,,basketball_play,1772158336,482,True,2026-02-27 02:12:16+00:00,1,658.0,62.0,1.0333333333333334,11
4,115,quarter,1,6f60dfb1-fda1-423f-b76f-67e9d24b9644,2,10:38,Cody Williams misses two point cutting dunk,twopointmiss,2,,basketball_play,1772158360,481,True,2026-02-27 02:12:40+00:00,1,638.0,82.0,1.3666666666666667,12
