period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,103,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,0,12:00,"Bucks lineup change (AJ Green, Myles Turner, Kevin Porter Jr., Kyle Kuzma, Ryan Rollins)",lineupchange,0,,basketball_play,1772397619,471,True,2026-03-01 20:40:19+00:00,1,720.0,0.0,0.0,1
4,102,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,12:00,"Bulls lineup change (Tre Jones, Isaac Okoro, Guerschon Yabusele, Josh Giddey, Matas Buzelis)",lineupchange,0,,basketball_play,1772397619,470,True,2026-03-01 20:40:19+00:00,1,720.0,0.0,0.0,2
4,101,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772397619,469,True,2026-03-01 20:40:19+00:00,1,720.0,0.0,0.0,3
4,100,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,12:00,Myles Turner vs. Matas Buzelis (Josh Giddey gains possession),opentip,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1772397621,468,True,2026-03-01 20:40:21+00:00,1,720.0,0.0,0.0,4
4,99,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:41,Matas Buzelis turnover (bad pass) (Ryan Rollins steals),turnover,0,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,basketball_play,1772397637,467,True,2026-03-01 20:40:37+00:00,1,701.0,19.0,0.31666666666666665,5
4,98,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,0,11:37,AJ Green misses three point running jump shot,threepointmiss,0,,basketball_play,1772397641,466,True,2026-03-01 20:40:41+00:00,1,697.0,23.0,0.38333333333333336,6
4,97,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:33,Guerschon Yabusele defensive rebound,rebound,0,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1772397645,465,True,2026-03-01 20:40:45+00:00,1,693.0,27.0,0.45,7
4,96,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,0,11:27,Matas Buzelis makes three point jump shot (Josh Giddey assists),threepointmade,3,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,basketball_play,1772397651,464,True,2026-03-01 20:40:51+00:00,1,687.0,33.0,0.55,8
4,95,quarter,1,5dc3fe01-79a4-4f2f-a953-d922ea4a6dd3,3,11:10,Myles Turner makes three point jump shot (Kyle Kuzma assists),threepointmade,3,65f0250b-455d-43d7-b7dc-7d321bdf9abc,basketball_play,1772397668,463,True,2026-03-01 20:41:08+00:00,1,670.0,50.0,0.8333333333333334,9
4,94,quarter,1,65f0250b-455d-43d7-b7dc-7d321bdf9abc,3,10:47,Tre Jones misses three point jump shot,threepointmiss,3,,basketball_play,1772397691,462,True,2026-03-01 20:41:31+00:00,1,647.0,73.0,1.2166666666666666,10
