period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,128,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,12:00,"Pelicans lineup change (Saddiq Bey, Trey Murphy III, Herbert Jones, Dejounte Murray, DeAndre Jordan)",lineupchange,0,,basketball_play,1772417420,494,True,2026-03-02 02:10:20+00:00,1,720.0,0.0,0.0,1
4,127,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Kawhi Leonard, Derrick Jones Jr., John Collins, Brook Lopez, Kris Dunn)",lineupchange,0,,basketball_play,1772417420,493,True,2026-03-02 02:10:20+00:00,1,720.0,0.0,0.0,2
4,126,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772417420,492,True,2026-03-02 02:10:20+00:00,1,720.0,0.0,0.0,3
4,125,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,DeAndre Jordan vs. Brook Lopez (Derrick Jones Jr. gains possession),opentip,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772417425,491,True,2026-03-02 02:10:25+00:00,1,720.0,0.0,0.0,4
4,124,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:41,Brook Lopez misses two point turnaround bank hook shot,twopointmiss,0,,basketball_play,1772417438,490,True,2026-03-02 02:10:38+00:00,1,701.0,19.0,0.31666666666666665,5
4,123,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:40,John Collins offensive rebound,rebound,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772417439,489,True,2026-03-02 02:10:39+00:00,1,700.0,20.0,0.3333333333333333,6
4,122,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:39,John Collins makes two point tip dunk,twopointmade,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1772417443,488,True,2026-03-02 02:10:43+00:00,1,699.0,21.0,0.35,7
4,121,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:25,Trey Murphy III misses three point jump shot,threepointmiss,2,,basketball_play,1772417454,487,True,2026-03-02 02:10:54+00:00,1,685.0,35.0,0.5833333333333334,8
4,120,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:22,Saddiq Bey offensive rebound,rebound,2,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,basketball_play,1772417457,486,True,2026-03-02 02:10:57+00:00,1,682.0,38.0,0.6333333333333333,9
4,119,quarter,1,d3c8c2ac-c4a0-4d67-8b16-53cb91118dfc,0,11:21,Saddiq Bey misses two point pullup jump shot,twopointmiss,2,,basketball_play,1772417463,485,True,2026-03-02 02:11:03+00:00,1,681.0,39.0,0.65,10
4,118,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:20,John Collins defensive rebound,rebound,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772417464,484,True,2026-03-02 02:11:04+00:00,1,680.0,40.0,0.6666666666666666,11
4,117,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:10,Brook Lopez misses three point jump shot,threepointmiss,2,,basketball_play,1772417469,483,True,2026-03-02 02:11:09+00:00,1,670.0,50.0,0.8333333333333334,12
4,116,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:10,Kris Dunn offensive rebound,rebound,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772417469,482,True,2026-03-02 02:11:09+00:00,1,670.0,50.0,0.8333333333333334,13
