ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:10:00+00:00,0.84,0.84,0.83,0.84,0.8399,0.84,0.83,0.84,12995.0,884938.0,84.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:11:00+00:00,0.84,0.84,0.83,0.84,0.8392,0.84,0.83,0.84,1309.0,886144.0,84.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:12:00+00:00,0.84,0.85,0.84,0.85,0.8402,0.84,0.84,0.86,18189.0,904333.0,85.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:13:00+00:00,0.86,0.88,0.86,0.88,0.8619,0.85,0.87,0.88,31936.0,935496.0,88.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:14:00+00:00,0.88,0.89,0.87,0.87,0.8766,0.88,0.86,0.87,68917.0,984870.0,87.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:15:00+00:00,0.86,0.88,0.86,0.87,0.8729,0.87,0.86,0.87,4162.0,986579.0,87.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:16:00+00:00,0.87,0.88,0.85,0.86,0.8607,0.87,0.85,0.86,10215.0,993111.0,86.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:17:00+00:00,0.86,0.86,0.84,0.84,0.8443,0.86,0.83,0.85,12530.0,997997.0,84.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:18:00+00:00,0.84,0.84,0.83,0.84,0.8338,0.84,0.83,0.84,33669.0,1023141.0,84.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:19:00+00:00,0.84,0.85,0.82,0.85,0.8415,0.84,0.85,0.86,44262.0,1060614.0,85.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:20:00+00:00,0.86,0.86,0.83,0.83,0.8371,0.85,0.82,0.83,25351.0,1084995.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:21:00+00:00,0.83,0.83,0.82,0.83,0.8293,0.83,0.82,0.83,25129.0,1107415.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:22:00+00:00,0.83,0.83,0.79,0.8,0.8089,0.83,0.78,0.8,19442.0,1126062.0,80.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:23:00+00:00,0.79,0.81,0.78,0.81,0.8023,0.8,0.79,0.81,31086.0,1156436.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:24:00+00:00,0.81,0.83,0.8,0.83,0.8273,0.81,0.82,0.83,21696.0,1177850.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:25:00+00:00,0.83,0.83,0.82,0.83,0.8299,0.83,0.82,0.83,8917.0,1186579.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:26:00+00:00,0.83,0.83,0.82,0.83,0.83,0.83,0.82,0.83,96382.0,1282811.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:27:00+00:00,0.83,0.83,0.82,0.83,0.8226,0.83,0.82,0.83,23756.0,1298948.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:28:00+00:00,0.83,0.88,0.83,0.87,0.8503,0.83,0.86,0.88,40660.0,1337902.0,87.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:29:00+00:00,0.87,0.89,0.86,0.89,0.8774,0.87,0.87,0.89,20785.0,1357665.0,89.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:30:00+00:00,0.89,0.92,0.89,0.92,0.9018,0.89,0.91,0.92,27884.0,1383102.0,92.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:31:00+00:00,0.92,0.92,0.89,0.9,0.9068,0.92,0.89,0.9,43282.0,1422061.0,90.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:32:00+00:00,0.9,0.9,0.86,0.87,0.8838,0.9,0.87,0.88,12941.0,1434359.0,87.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:33:00+00:00,0.87,0.87,0.83,0.84,0.8619,0.87,0.83,0.84,15169.0,1449138.0,84.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:34:00+00:00,0.84,0.86,0.84,0.85,0.8594,0.84,0.85,0.86,21906.0,1470889.0,85.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:35:00+00:00,0.86,0.86,0.85,0.86,0.8599,0.85,0.85,0.86,11788.0,1482615.0,86.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:36:00+00:00,0.86,0.87,0.86,0.86,0.8638,0.86,0.85,0.86,6332.0,1488922.0,86.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:37:00+00:00,0.86,0.86,0.82,0.82,0.8462,0.86,0.81,0.82,14263.0,1502289.0,82.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:38:00+00:00,0.82,0.82,0.81,0.81,0.8103,0.82,0.8,0.81,79178.0,1580608.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:39:00+00:00,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.81,9671.0,1590279.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:40:00+00:00,0.81,0.83,0.81,0.83,0.814,0.81,0.82,0.83,12659.0,1598680.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:41:00+00:00,0.83,0.84,0.81,0.81,0.8142,0.83,0.8,0.81,11273.0,1609314.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:42:00+00:00,0.81,0.81,0.78,0.81,0.7906,0.81,0.8,0.81,38742.0,1634731.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:43:00+00:00,0.81,0.82,0.8,0.82,0.8113,0.81,0.81,0.82,5538.0,1638259.0,82.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:44:00+00:00,0.82,0.82,0.81,0.82,0.8199,0.82,0.81,0.82,7339.0,1645462.0,82.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:45:00+00:00,0.82,0.84,0.81,0.83,0.8208,0.82,0.83,0.84,2408.0,1647458.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:46:00+00:00,0.84,0.84,0.8,0.8,0.8311,0.83,0.79,0.8,36599.0,1683841.0,80.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:47:00+00:00,0.8,0.83,0.79,0.83,0.8078,0.8,0.82,0.83,10644.0,1691011.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:48:00+00:00,0.83,0.83,0.8,0.83,0.82,0.83,0.82,0.83,20631.0,1706319.0,83.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:49:00+00:00,0.82,0.84,0.78,0.78,0.7914,0.83,0.78,0.79,39424.0,1732938.0,78.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:50:00+00:00,0.78,0.79,0.76,0.77,0.7798,0.78,0.76,0.77,32953.0,1756441.0,77.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:51:00+00:00,0.77,0.79,0.76,0.78,0.775,0.77,0.77,0.78,16654.0,1771232.0,78.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:52:00+00:00,0.78,0.81,0.78,0.81,0.7863,0.78,0.81,0.82,12168.0,1776150.0,81.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:53:00+00:00,0.81,0.83,0.78,0.78,0.804,0.81,0.77,0.78,18068.0,1785427.0,78.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:54:00+00:00,0.78,0.79,0.77,0.78,0.7807,0.78,0.77,0.78,25957.0,1803382.0,78.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:55:00+00:00,0.78,0.78,0.76,0.76,0.7747,0.78,0.75,0.77,12338.0,1815321.0,76.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:56:00+00:00,0.77,0.77,0.74,0.74,0.7497,0.76,0.74,0.75,35270.0,1845261.0,74.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:57:00+00:00,0.75,0.75,0.74,0.75,0.7432,0.74,0.74,0.75,51765.0,1827473.0,75.0
KXNBAGAME-26MAR02DENUTA-DEN,KXNBAGAME-26MAR02DENUTA,,DEN,,2026-03-03 02:58:00+00:00,0.75,0.75,0.74,0.75,0.7498,0.75,0.74,0.75,19143.0,1846041.0,75.0
