period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,111,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,12:00,"Grizzlies lineup change (Olivier-Maxence Prosper, Jaylen Wells, Ty Jerome, GG Jackson, Scotty Pippen Jr.)",lineupchange,0,,basketball_play,1772586661,484,True,2026-03-04 01:11:01+00:00,1,720.0,0.0,0.0,1
4,110,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,12:00,"Timberwolves lineup change (Jaden McDaniels, Anthony Edwards, Donte DiVincenzo, Julius Randle, Rudy Gobert)",lineupchange,0,,basketball_play,1772586661,483,True,2026-03-04 01:11:01+00:00,1,720.0,0.0,0.0,2
4,109,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772586661,482,True,2026-03-04 01:11:01+00:00,1,720.0,0.0,0.0,3
4,108,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,12:00,Olivier-Maxence Prosper vs. Rudy Gobert (Anthony Edwards gains possession),opentip,0,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1772586663,481,True,2026-03-04 01:11:03+00:00,1,720.0,0.0,0.0,4
4,107,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,0,11:50,Julius Randle turnover (lost ball) (Scotty Pippen Jr. steals),turnover,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1772586671,480,True,2026-03-04 01:11:11+00:00,1,710.0,10.0,0.16666666666666666,5
4,106,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,2,11:45,GG Jackson makes two point running dunk (Scotty Pippen Jr. assists),twopointmade,0,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1772586675,479,True,2026-03-04 01:11:15+00:00,1,705.0,15.0,0.25,6
4,105,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,2,11:33,Anthony Edwards misses three point jump shot,threepointmiss,0,,basketball_play,1772586687,478,True,2026-03-04 01:11:27+00:00,1,693.0,27.0,0.45,7
4,104,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,2,11:31,GG Jackson defensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1772586689,477,True,2026-03-04 01:11:29+00:00,1,691.0,29.0,0.48333333333333334,8
4,103,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,11:19,Jaylen Wells makes three point pullup jump shot (Olivier-Maxence Prosper assists),threepointmade,0,29e3c04e-fadb-4006-be20-cbb8c159ce0e,basketball_play,1772586702,476,True,2026-03-04 01:11:42+00:00,1,679.0,41.0,0.6833333333333333,9
4,102,quarter,1,29e3c04e-fadb-4006-be20-cbb8c159ce0e,5,10:58,Jaden McDaniels makes two point pullup jump shot,twopointmade,2,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1772586722,475,True,2026-03-04 01:12:02+00:00,1,658.0,62.0,1.0333333333333334,10
