ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:12:00+00:00,0.26,0.27,0.26,0.27,0.26,0.26,0.26,0.27,11130.0,149322.0,27.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:13:00+00:00,0.26,0.27,0.26,0.26,0.2602,0.27,0.25,0.26,622.0,149901.0,26.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:14:00+00:00,0.26,0.26,0.25,0.26,0.2588,0.26,0.26,0.27,1927.0,151552.0,26.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:15:00+00:00,0.27,0.27,0.23,0.23,0.2376,0.26,0.21,0.23,5094.0,151198.0,23.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:16:00+00:00,0.22,0.24,0.22,0.23,0.2261,0.23,0.22,0.23,4284.0,151700.0,23.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:17:00+00:00,0.23,0.23,0.22,0.22,0.2213,0.23,0.21,0.22,774.0,152464.0,22.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:18:00+00:00,0.22,0.22,0.18,0.18,0.1997,0.22,0.17,0.18,3825.0,156138.0,18.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:19:00+00:00,0.18,0.18,0.15,0.17,0.1549,0.18,0.16,0.17,6847.0,162334.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:20:00+00:00,0.16,0.17,0.15,0.17,0.1602,0.17,0.15,0.17,11621.0,168790.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:21:00+00:00,0.17,0.18,0.15,0.16,0.1579,0.17,0.15,0.16,5940.0,172026.0,16.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:22:00+00:00,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,1320.0,173346.0,16.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:23:00+00:00,0.16,0.16,0.14,0.15,0.1466,0.16,0.14,0.15,21208.0,169665.0,15.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:24:00+00:00,0.15,0.17,0.15,0.17,0.1612,0.15,0.16,0.17,4686.0,166223.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:25:00+00:00,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,32445.0,197802.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:26:00+00:00,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,990.0,198792.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:27:00+00:00,0.17,0.17,0.16,0.17,0.1699,0.17,0.16,0.17,2143.0,200924.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:28:00+00:00,0.16,0.16,0.14,0.14,0.152,0.17,0.13,0.14,7264.0,203079.0,14.000000000000002
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:29:00+00:00,0.14,0.14,0.13,0.14,0.1317,0.14,0.13,0.14,6256.0,206483.0,14.000000000000002
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:30:00+00:00,0.14,0.15,0.13,0.15,0.1436,0.14,0.13,0.15,1634.0,207493.0,15.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:31:00+00:00,0.15,0.15,0.13,0.13,0.1402,0.15,0.13,0.14,8307.0,215758.0,13.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:32:00+00:00,0.14,0.18,0.14,0.17,0.1589,0.13,0.16,0.17,8885.0,220557.0,17.0
KXNBAGAME-26MAR03SASPHI-PHI,KXNBAGAME-26MAR03SASPHI,,PHI,,2026-03-04 01:33:00+00:00,0.17,0.2,0.17,0.19,0.184,0.17,0.19,0.2,7397.0,222758.0,19.0
