period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,103,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,12:00,"Pacers lineup change (Aaron Nesmith, Andrew Nembhard, Jay Huff, Pascal Siakam, Jarace Walker)",lineupchange,0,,basketball_play,1772682024,480,True,2026-03-05 03:40:24+00:00,1,720.0,0.0,0.0,1
4,102,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Brook Lopez, Derrick Jones Jr., Kobe Sanders, Kawhi Leonard, Kris Dunn)",lineupchange,0,,basketball_play,1772682024,479,True,2026-03-05 03:40:24+00:00,1,720.0,0.0,0.0,2
4,101,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1772682024,478,True,2026-03-05 03:40:24+00:00,1,720.0,0.0,0.0,3
4,100,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,Jay Huff vs. Brook Lopez (Kobe Sanders gains possession),opentip,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682028,477,True,2026-03-05 03:40:28+00:00,1,720.0,0.0,0.0,4
4,99,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:41,Derrick Jones Jr. misses three point jump shot,threepointmiss,0,,basketball_play,1772682042,476,True,2026-03-05 03:40:42+00:00,1,701.0,19.0,0.31666666666666665,5
4,98,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,0,11:37,Aaron Nesmith defensive rebound,rebound,0,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682046,475,True,2026-03-05 03:40:46+00:00,1,697.0,23.0,0.38333333333333336,6
4,97,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,2,11:27,Jay Huff makes two point driving dunk (Andrew Nembhard assists),twopointmade,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682057,474,True,2026-03-05 03:40:57+00:00,1,687.0,33.0,0.55,7
4,96,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,11:13,Jay Huff blocks Brook Lopez's two point layup,twopointmiss,0,,basketball_play,1772682070,473,True,2026-03-05 03:41:10+00:00,1,673.0,47.0,0.7833333333333333,8
4,95,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,11:11,Brook Lopez offensive rebound,rebound,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682072,472,True,2026-03-05 03:41:12+00:00,1,671.0,49.0,0.8166666666666667,9
4,94,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,2,11:10,Brook Lopez makes two point putback layup,twopointmade,2,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682074,471,True,2026-03-05 03:41:14+00:00,1,670.0,50.0,0.8333333333333334,10
4,93,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,4,10:54,Pascal Siakam makes two point driving layup (Andrew Nembhard assists),twopointmade,2,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682090,470,True,2026-03-05 03:41:30+00:00,1,654.0,66.0,1.1,11
4,92,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,4,10:37,Kawhi Leonard makes three point pullup jump shot,threepointmade,5,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682106,469,True,2026-03-05 03:41:46+00:00,1,637.0,83.0,1.3833333333333333,12
4,91,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,10:16,Jarace Walker makes two point driving finger roll layup,twopointmade,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682128,468,True,2026-03-05 03:42:08+00:00,1,616.0,104.0,1.7333333333333334,13
4,90,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,10:02,Jarace Walker personal foul (Kobe Sanders draws the foul),personalfoul,5,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682144,467,True,2026-03-05 03:42:24+00:00,1,602.0,118.0,1.9666666666666666,14
4,89,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,6,9:53,Kobe Sanders makes three point jump shot (Kris Dunn assists),threepointmade,8,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682173,466,True,2026-03-05 03:42:53+00:00,1,593.0,127.0,2.1166666666666667,15
4,88,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,6,9:41,Andrew Nembhard turnover (lost ball) (Kris Dunn steals),turnover,8,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682185,465,True,2026-03-05 03:43:05+00:00,1,581.0,139.0,2.316666666666667,16
4,87,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,6,9:37,Derrick Jones Jr. makes two point running alley-oop dunk (Kobe Sanders assists),twopointmade,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682188,464,True,2026-03-05 03:43:08+00:00,1,577.0,143.0,2.3833333333333333,17
4,86,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,9:15,Jarace Walker makes two point driving layup (Jay Huff assists),twopointmade,10,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682210,463,True,2026-03-05 03:43:30+00:00,1,555.0,165.0,2.75,18
4,85,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,8,8:58,Kawhi Leonard misses three point pullup jump shot,threepointmiss,10,,basketball_play,1772682227,462,True,2026-03-05 03:43:47+00:00,1,538.0,182.0,3.033333333333333,19
4,84,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,8,8:56,Andrew Nembhard defensive rebound,rebound,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682229,461,True,2026-03-05 03:43:49+00:00,1,536.0,184.0,3.066666666666667,20
4,83,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,8,8:46,Kobe Sanders shooting foul (Pascal Siakam draws the foul),shootingfoul,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682241,460,True,2026-03-05 03:44:01+00:00,1,526.0,194.0,3.2333333333333334,21
4,82,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,9,8:46,Pascal Siakam makes regular free throw 1 of 2,freethrowmade,10,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682274,459,True,2026-03-05 03:44:34+00:00,1,526.0,194.0,3.2333333333333334,22
4,81,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:46,Pascal Siakam makes regular free throw 2 of 2,freethrowmade,10,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682294,458,True,2026-03-05 03:44:54+00:00,1,526.0,194.0,3.2333333333333334,23
4,80,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,10,8:29,Derrick Jones Jr. makes two point reverse layup (Brook Lopez assists),twopointmade,12,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682314,457,True,2026-03-05 03:45:14+00:00,1,509.0,211.0,3.5166666666666666,24
4,79,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:20,Aaron Nesmith turnover (out of bounds lost ball),turnover,12,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682325,456,True,2026-03-05 03:45:25+00:00,1,500.0,220.0,3.6666666666666665,25
4,78,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,10,8:10,Kawhi Leonard misses two point turnaround jump shot,twopointmiss,12,,basketball_play,1772682359,455,True,2026-03-05 03:45:59+00:00,1,490.0,230.0,3.8333333333333335,26
4,77,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:07,Andrew Nembhard defensive rebound,rebound,12,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682362,454,True,2026-03-05 03:46:02+00:00,1,487.0,233.0,3.8833333333333333,27
4,76,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,8:00,Pascal Siakam misses two point driving floating jump shot,twopointmiss,12,,basketball_play,1772682369,453,True,2026-03-05 03:46:09+00:00,1,480.0,240.0,4.0,28
4,75,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,10,7:58,Kawhi Leonard defensive rebound,rebound,12,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682371,452,True,2026-03-05 03:46:11+00:00,1,478.0,242.0,4.033333333333333,29
4,74,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,10,7:54,Kobe Sanders misses three point running jump shot,threepointmiss,12,,basketball_play,1772682375,451,True,2026-03-05 03:46:15+00:00,1,474.0,246.0,4.1,30
4,73,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,7:50,Jay Huff defensive rebound,rebound,12,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682379,450,True,2026-03-05 03:46:19+00:00,1,470.0,250.0,4.166666666666667,31
4,72,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,7:44,Jay Huff turnover (bad pass) (Derrick Jones Jr. steals),turnover,12,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682385,449,True,2026-03-05 03:46:25+00:00,1,464.0,256.0,4.266666666666667,32
4,71,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,10,7:36,Kawhi Leonard makes two point driving layup,twopointmade,14,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682393,448,True,2026-03-05 03:46:33+00:00,1,456.0,264.0,4.4,33
4,70,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,10,7:36,Pacers 60 second timeout,teamtimeout,14,,basketball_play,1772682399,447,True,2026-03-05 03:46:39+00:00,1,456.0,264.0,4.4,34
4,69,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,13,7:23,Jay Huff makes three point jump shot (Andrew Nembhard assists),threepointmade,14,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682586,446,True,2026-03-05 03:49:46+00:00,1,443.0,277.0,4.616666666666666,35
4,68,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,13,7:11,Kawhi Leonard makes two point driving dunk,twopointmade,16,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682599,445,True,2026-03-05 03:49:59+00:00,1,431.0,289.0,4.816666666666666,36
4,67,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,15,6:57,Pascal Siakam makes two point turnaround jump shot (Aaron Nesmith assists),twopointmade,16,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682612,444,True,2026-03-05 03:50:12+00:00,1,417.0,303.0,5.05,37
4,66,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,15,6:39,Kawhi Leonard makes three point pullup jump shot (Kris Dunn assists),threepointmade,19,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682630,443,True,2026-03-05 03:50:30+00:00,1,399.0,321.0,5.35,38
4,65,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,6:28,Andrew Nembhard makes two point stepback jump shot,twopointmade,19,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682641,442,True,2026-03-05 03:50:41+00:00,1,388.0,332.0,5.533333333333333,39
4,64,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,17,6:15,Brook Lopez makes two point driving layup (Kawhi Leonard assists),twopointmade,21,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682657,441,True,2026-03-05 03:50:57+00:00,1,375.0,345.0,5.75,40
4,63,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,6:15,Jay Huff shooting foul (Brook Lopez draws the foul),shootingfoul,21,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682660,440,True,2026-03-05 03:51:00+00:00,1,375.0,345.0,5.75,41
4,62,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,6:15,"Pacers lineup change (Aaron Nesmith, Andrew Nembhard, Micah Potter, Obi Toppin, Jarace Walker)",lineupchange,21,,basketball_play,1772682670,439,True,2026-03-05 03:51:10+00:00,1,375.0,345.0,5.75,42
4,61,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,17,6:15,"Pacers lineup change (Aaron Nesmith, Andrew Nembhard, Micah Potter, Obi Toppin, Kobe Brown)",lineupchange,21,,basketball_play,1772682705,438,True,2026-03-05 03:51:45+00:00,1,375.0,345.0,5.75,43
4,60,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,17,6:15,Brook Lopez makes regular free throw 1 of 1,freethrowmade,22,,basketball_play,1772682705,437,True,2026-03-05 03:51:45+00:00,1,375.0,345.0,5.75,44
4,59,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,17,6:06,Derrick Jones Jr. shooting foul (Micah Potter draws the foul),shootingfoul,22,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682716,436,True,2026-03-05 03:51:56+00:00,1,366.0,354.0,5.9,45
4,58,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,18,6:06,Micah Potter makes regular free throw 1 of 2,freethrowmade,22,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682750,435,True,2026-03-05 03:52:30+00:00,1,366.0,354.0,5.9,46
4,57,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,6:06,Micah Potter makes regular free throw 2 of 2,freethrowmade,22,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682770,434,True,2026-03-05 03:52:50+00:00,1,366.0,354.0,5.9,47
4,56,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,5:57,Kawhi Leonard misses two point jump shot,twopointmiss,22,,basketball_play,1772682784,433,True,2026-03-05 03:53:04+00:00,1,357.0,363.0,6.05,48
4,55,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,5:54,Kobe Brown defensive rebound,rebound,22,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682787,432,True,2026-03-05 03:53:07+00:00,1,354.0,366.0,6.1,49
4,54,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,5:39,Obi Toppin turnover (lost ball) (Derrick Jones Jr. steals),turnover,22,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682801,431,True,2026-03-05 03:53:21+00:00,1,339.0,381.0,6.35,50
4,53,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,5:29,Kawhi Leonard makes two point pullup jump shot,twopointmade,24,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682812,430,True,2026-03-05 03:53:32+00:00,1,329.0,391.0,6.516666666666667,51
4,52,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,5:13,Aaron Nesmith misses three point jump shot,threepointmiss,24,,basketball_play,1772682827,429,True,2026-03-05 03:53:47+00:00,1,313.0,407.0,6.783333333333333,52
4,51,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,5:10,Kris Dunn defensive rebound,rebound,24,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682830,428,True,2026-03-05 03:53:50+00:00,1,310.0,410.0,6.833333333333333,53
4,50,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:57,Derrick Jones Jr. misses three point jump shot,threepointmiss,24,,basketball_play,1772682843,427,True,2026-03-05 03:54:03+00:00,1,297.0,423.0,7.05,54
4,49,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:56,Brook Lopez offensive rebound,rebound,24,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682844,426,True,2026-03-05 03:54:04+00:00,1,296.0,424.0,7.066666666666666,55
4,48,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:55,Brook Lopez makes two point tip layup,twopointmade,26,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682848,425,True,2026-03-05 03:54:08+00:00,1,295.0,425.0,7.083333333333333,56
4,47,quarter,1,,19,4:42,Stoppage (Out of bounds),stoppage,26,,basketball_play,1772682864,424,True,2026-03-05 03:54:24+00:00,1,282.0,438.0,7.3,57
4,46,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,4:42,"Pacers lineup change (Andrew Nembhard, Ben Sheppard, Micah Potter, Obi Toppin, Kobe Brown)",lineupchange,26,,basketball_play,1772682865,423,True,2026-03-05 03:54:25+00:00,1,282.0,438.0,7.3,58
4,45,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:42,"Clippers lineup change (Derrick Jones Jr., Yanic Konan Niederhauser, Darius Garland, Kobe Sanders, Bennedict Mathurin)",lineupchange,26,,basketball_play,1772682865,422,True,2026-03-05 03:54:25+00:00,1,282.0,438.0,7.3,59
4,44,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,4:30,Andrew Nembhard misses three point jump shot,threepointmiss,26,,basketball_play,1772682906,421,True,2026-03-05 03:55:06+00:00,1,270.0,450.0,7.5,60
4,43,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:28,Bennedict Mathurin defensive rebound,rebound,26,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682908,420,True,2026-03-05 03:55:08+00:00,1,268.0,452.0,7.533333333333333,61
4,42,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:19,Derrick Jones Jr. makes two point cutting layup (Darius Garland assists),twopointmade,28,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682918,419,True,2026-03-05 03:55:18+00:00,1,259.0,461.0,7.683333333333334,62
4,41,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,4:04,Andrew Nembhard misses two point turnaround fadeaway jump shot,twopointmiss,28,,basketball_play,1772682933,418,True,2026-03-05 03:55:33+00:00,1,244.0,476.0,7.933333333333334,63
4,40,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,4:02,Yanic Konan Niederhauser defensive rebound,rebound,28,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772682935,417,True,2026-03-05 03:55:35+00:00,1,242.0,478.0,7.966666666666667,64
4,39,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,3:53,Bennedict Mathurin makes two point driving layup,twopointmade,30,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772682944,416,True,2026-03-05 03:55:44+00:00,1,233.0,487.0,8.116666666666667,65
4,38,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,3:51,Pacers 60 second timeout,teamtimeout,30,,basketball_play,1772682952,415,True,2026-03-05 03:55:52+00:00,1,231.0,489.0,8.15,66
4,37,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,3:51,"Pacers lineup change (T.J. McConnell, Ben Sheppard, Obi Toppin, Kobe Brown, Pascal Siakam)",lineupchange,30,,basketball_play,1772683084,414,True,2026-03-05 03:58:04+00:00,1,231.0,489.0,8.15,67
4,36,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,3:51,"Clippers lineup change (Jordan Miller, Nicolas Batum, Yanic Konan Niederhauser, Darius Garland, Bennedict Mathurin)",lineupchange,30,,basketball_play,1772683084,413,True,2026-03-05 03:58:04+00:00,1,231.0,489.0,8.15,68
4,35,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,3:37,Darius Garland personal foul (Pascal Siakam draws the foul),personalfoul,30,d059bab2-9fb5-42dd-8038-5a12474300ce,basketball_play,1772683139,412,True,2026-03-05 03:58:59+00:00,1,217.0,503.0,8.383333333333333,69
4,34,quarter,1,d059bab2-9fb5-42dd-8038-5a12474300ce,19,3:25,Obi Toppin misses three point pullup jump shot,threepointmiss,30,,basketball_play,1772683173,411,True,2026-03-05 03:59:33+00:00,1,205.0,515.0,8.583333333333334,70
4,33,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,19,3:22,Jordan Miller defensive rebound,rebound,30,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1772683176,410,True,2026-03-05 03:59:36+00:00,1,202.0,518.0,8.633333333333333,71
