ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:09:00+00:00,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,82625.0,425357.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:10:00+00:00,0.4,0.4,0.39,0.4,0.4,0.4,0.39,0.4,53711.0,479066.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:11:00+00:00,0.4,0.4,0.38,0.4,0.394,0.4,0.39,0.4,1940.0,481006.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:12:00+00:00,0.4,0.43,0.39,0.42,0.4101,0.4,0.4,0.42,7110.0,485955.0,42.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:13:00+00:00,0.42,0.42,0.39,0.41,0.4,0.42,0.39,0.41,7799.0,493754.0,41.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:14:00+00:00,0.41,0.41,0.37,0.4,0.3942,0.41,0.39,0.4,4537.0,497898.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:15:00+00:00,0.4,0.43,0.38,0.4,0.4104,0.4,0.39,0.4,6789.0,504099.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:16:00+00:00,0.4,0.43,0.38,0.4,0.4078,0.4,0.39,0.4,8666.0,508863.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:17:00+00:00,0.4,0.4,0.38,0.4,0.3997,0.4,0.38,0.4,5682.0,514389.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:18:00+00:00,0.4,0.4,0.39,0.39,0.3993,0.4,0.38,0.4,2332.0,516701.0,39.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:19:00+00:00,0.4,0.4,0.38,0.4,0.399,0.39,0.38,0.4,12054.0,528695.0,40.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:20:00+00:00,0.4,0.47,0.4,0.47,0.4356,0.4,0.46,0.47,12864.0,540898.0,47.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:21:00+00:00,0.46,0.48,0.44,0.48,0.4644,0.47,0.46,0.47,22427.0,554689.0,48.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:22:00+00:00,0.47,0.49,0.46,0.46,0.4755,0.48,0.45,0.46,16833.0,566769.0,46.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:23:00+00:00,0.46,0.47,0.43,0.45,0.4563,0.46,0.44,0.45,5980.0,572267.0,45.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:24:00+00:00,0.45,0.46,0.44,0.46,0.4586,0.45,0.44,0.46,6263.0,578320.0,46.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:25:00+00:00,0.46,0.46,0.45,0.45,0.4513,0.46,0.44,0.45,3727.0,582047.0,45.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:26:00+00:00,0.45,0.46,0.44,0.45,0.4508,0.45,0.44,0.46,14122.0,594831.0,45.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:27:00+00:00,0.46,0.5,0.44,0.5,0.4665,0.45,0.49,0.5,4607.0,598703.0,50.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:28:00+00:00,0.5,0.54,0.49,0.53,0.525,0.5,0.51,0.53,20812.0,618172.0,53.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:29:00+00:00,0.53,0.56,0.53,0.56,0.5441,0.53,0.55,0.56,32802.0,650581.0,56.00000000000001
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:30:00+00:00,0.56,0.56,0.49,0.54,0.5377,0.56,0.53,0.54,22342.0,668433.0,54.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:31:00+00:00,0.54,0.54,0.49,0.52,0.509,0.54,0.5,0.52,28303.0,693350.0,52.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:32:00+00:00,0.52,0.57,0.5,0.53,0.5472,0.52,0.52,0.53,17043.0,708183.0,53.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:33:00+00:00,0.53,0.61,0.53,0.61,0.5908,0.53,0.59,0.61,11876.0,712592.0,61.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:34:00+00:00,0.61,0.66,0.6,0.66,0.6177,0.61,0.63,0.66,20841.0,719598.0,66.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:35:00+00:00,0.67,0.68,0.66,0.67,0.6765,0.66,0.66,0.67,59436.0,761985.0,67.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:36:00+00:00,0.67,0.67,0.66,0.67,0.6695,0.67,0.66,0.67,21114.0,780957.0,67.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:37:00+00:00,0.67,0.67,0.66,0.67,0.6684,0.67,0.66,0.67,14318.0,790010.0,67.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:38:00+00:00,0.67,0.68,0.65,0.67,0.6697,0.67,0.66,0.67,25321.0,814017.0,67.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:39:00+00:00,0.67,0.68,0.62,0.64,0.6469,0.67,0.63,0.64,7956.0,820349.0,64.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:40:00+00:00,0.64,0.66,0.63,0.65,0.6474,0.64,0.63,0.65,13462.0,831921.0,65.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:41:00+00:00,0.65,0.66,0.59,0.61,0.6205,0.65,0.6,0.61,22640.0,851245.0,61.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:42:00+00:00,0.61,0.62,0.58,0.59,0.6069,0.61,0.58,0.59,10518.0,856225.0,59.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:43:00+00:00,0.59,0.59,0.55,0.57,0.5752,0.59,0.57,0.59,8435.0,859021.0,56.99999999999999
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:44:00+00:00,0.59,0.6,0.56,0.6,0.5888,0.57,0.58,0.6,14575.0,867566.0,60.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:45:00+00:00,0.6,0.6,0.58,0.59,0.587,0.6,0.58,0.59,7689.0,868758.0,59.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:46:00+00:00,0.59,0.6,0.54,0.58,0.5528,0.59,0.57,0.58,65125.0,899796.0,57.99999999999999
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:47:00+00:00,0.58,0.63,0.58,0.61,0.6181,0.58,0.61,0.63,8125.0,907326.0,61.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:48:00+00:00,0.63,0.65,0.59,0.65,0.6173,0.61,0.6,0.64,4803.0,911965.0,65.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:49:00+00:00,0.63,0.66,0.6,0.66,0.6354,0.65,0.65,0.66,5080.0,916060.0,66.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:50:00+00:00,0.66,0.73,0.65,0.72,0.6889,0.66,0.71,0.72,22316.0,926464.0,72.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:51:00+00:00,0.72,0.76,0.71,0.76,0.7511,0.72,0.75,0.76,23012.0,933414.0,76.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:52:00+00:00,0.76,0.8,0.75,0.8,0.7691,0.76,0.79,0.8,74568.0,994290.0,80.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:53:00+00:00,0.8,0.8,0.77,0.77,0.7841,0.8,0.76,0.77,14426.0,994875.0,77.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:54:00+00:00,0.77,0.77,0.75,0.75,0.7693,0.77,0.75,0.76,41285.0,1033541.0,75.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:55:00+00:00,0.76,0.77,0.75,0.76,0.7588,0.75,0.75,0.76,63772.0,1085213.0,76.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:56:00+00:00,0.76,0.77,0.73,0.74,0.7604,0.76,0.74,0.75,4655.0,1088203.0,74.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:57:00+00:00,0.75,0.8,0.75,0.8,0.7856,0.74,0.79,0.8,96893.0,1066817.0,80.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:58:00+00:00,0.79,0.8,0.77,0.77,0.797,0.8,0.77,0.78,21590.0,1067653.0,77.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 00:59:00+00:00,0.78,0.8,0.7,0.72,0.7475,0.77,0.7,0.72,14341.0,1076137.0,72.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:00:00+00:00,0.72,0.77,0.69,0.77,0.71,0.72,0.77,0.78,47839.0,1121140.0,77.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:01:00+00:00,0.78,0.8,0.76,0.78,0.7799,0.77,0.77,0.78,14285.0,1123696.0,78.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:02:00+00:00,0.78,0.8,0.78,0.79,0.7988,0.78,0.78,0.79,41565.0,1125015.0,79.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:03:00+00:00,0.79,0.8,0.77,0.8,0.7921,0.79,0.79,0.8,15471.0,1136268.0,80.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:04:00+00:00,0.8,0.81,0.79,0.81,0.8053,0.8,0.8,0.81,30499.0,1154241.0,81.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:05:00+00:00,0.81,0.89,0.8,0.88,0.8362,0.81,0.88,0.89,17764.0,1158660.0,88.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:06:00+00:00,0.89,0.9,0.88,0.88,0.8915,0.88,0.88,0.89,31338.0,1169731.0,88.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:07:00+00:00,0.89,0.89,0.87,0.89,0.8844,0.88,0.88,0.89,23988.0,1181058.0,89.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:08:00+00:00,0.89,0.9,0.88,0.89,0.8901,0.89,0.88,0.89,34962.0,1213733.0,89.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:09:00+00:00,0.89,0.92,0.86,0.87,0.9005,0.89,0.86,0.88,64288.0,1236929.0,87.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:10:00+00:00,0.86,0.88,0.85,0.86,0.8578,0.87,0.85,0.86,39183.0,1219672.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:11:00+00:00,0.86,0.86,0.85,0.85,0.8547,0.86,0.85,0.86,8533.0,1223696.0,85.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:12:00+00:00,0.86,0.86,0.85,0.85,0.8543,0.85,0.85,0.86,10083.0,1227989.0,85.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:13:00+00:00,0.85,0.86,0.85,0.86,0.8549,0.85,0.85,0.86,9031.0,1232525.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:14:00+00:00,0.86,0.86,0.85,0.85,0.8587,0.86,0.85,0.86,9582.0,1240857.0,85.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:15:00+00:00,0.86,0.86,0.85,0.86,0.8579,0.85,0.85,0.86,5111.0,1243866.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:16:00+00:00,0.86,0.86,0.85,0.86,0.8591,0.86,0.85,0.86,10182.0,1252136.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:17:00+00:00,0.86,0.86,0.85,0.85,0.8545,0.86,0.85,0.86,6290.0,1251959.0,85.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:18:00+00:00,0.85,0.86,0.85,0.86,0.8584,0.85,0.85,0.86,12342.0,1262383.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:19:00+00:00,0.86,0.86,0.85,0.86,0.8585,0.86,0.85,0.86,7804.0,1268997.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:20:00+00:00,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.86,2484.0,1271481.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:21:00+00:00,0.86,0.86,0.85,0.86,0.857,0.86,0.85,0.86,10660.0,1278891.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:22:00+00:00,0.86,0.86,0.85,0.85,0.8599,0.86,0.85,0.86,14591.0,1293313.0,85.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:23:00+00:00,0.86,0.86,0.85,0.86,0.8556,0.85,0.85,0.86,3188.0,1293936.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:24:00+00:00,0.86,0.86,0.85,0.86,0.8595,0.86,0.85,0.86,1590.0,1295365.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:25:00+00:00,0.85,0.86,0.85,0.86,0.8566,0.86,0.85,0.86,4651.0,1296896.0,86.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:26:00+00:00,0.86,0.86,0.82,0.82,0.8526,0.86,0.8,0.81,11557.0,1305590.0,82.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:27:00+00:00,0.81,0.83,0.79,0.81,0.8058,0.82,0.8,0.81,10307.0,1303152.0,81.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:28:00+00:00,0.81,0.82,0.78,0.8,0.8004,0.81,0.79,0.8,6776.0,1302894.0,80.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:29:00+00:00,0.79,0.8,0.75,0.75,0.783,0.8,0.75,0.77,11493.0,1311787.0,75.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:30:00+00:00,0.77,0.83,0.76,0.83,0.783,0.75,0.8,0.83,25698.0,1323014.0,83.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:31:00+00:00,0.83,0.83,0.8,0.82,0.8077,0.83,0.8,0.82,8842.0,1327337.0,82.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:32:00+00:00,0.81,0.86,0.8,0.82,0.8145,0.82,0.81,0.84,18379.0,1336808.0,82.0
KXNBAGAME-26MAR05UTAWAS-UTA,KXNBAGAME-26MAR05UTAWAS,,UTA,,2026-03-06 01:33:00+00:00,0.82,0.92,0.81,0.82,0.8807,0.82,0.81,0.83,39139.0,1344712.0,82.0
