ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:09:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,2876.0,646061.0,73.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:10:00+00:00,0.73,0.73,0.72,0.73,0.7299,0.73,0.72,0.73,1425.0,647452.0,73.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:11:00+00:00,0.73,0.74,0.72,0.73,0.73,0.73,0.72,0.73,968.0,648419.0,73.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:12:00+00:00,0.73,0.76,0.73,0.76,0.7427,0.73,0.75,0.76,45120.0,690037.0,76.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:13:00+00:00,0.76,0.78,0.71,0.71,0.7469,0.76,0.7,0.71,13494.0,698196.0,71.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:14:00+00:00,0.71,0.74,0.71,0.74,0.7273,0.71,0.73,0.74,6607.0,704403.0,74.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:15:00+00:00,0.74,0.76,0.72,0.75,0.7425,0.74,0.74,0.75,16315.0,715798.0,75.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:16:00+00:00,0.75,0.76,0.74,0.76,0.7508,0.75,0.74,0.75,12206.0,728004.0,76.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:17:00+00:00,0.75,0.76,0.7,0.7,0.7272,0.76,0.69,0.7,9180.0,736079.0,70.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:18:00+00:00,0.7,0.7,0.67,0.69,0.6822,0.7,0.68,0.69,7922.0,743899.0,69.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:19:00+00:00,0.69,0.71,0.65,0.65,0.6882,0.69,0.64,0.65,34629.0,762778.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:20:00+00:00,0.65,0.65,0.64,0.65,0.65,0.65,0.64,0.65,15765.0,778530.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:21:00+00:00,0.65,0.65,0.65,0.65,0.65,0.65,0.64,0.65,10899.0,789429.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:22:00+00:00,0.65,0.65,0.63,0.65,0.6415,0.65,0.63,0.65,8102.0,796413.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:23:00+00:00,0.65,0.66,0.63,0.65,0.6488,0.65,0.64,0.65,11921.0,808103.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:24:00+00:00,0.65,0.67,0.64,0.65,0.6539,0.65,0.64,0.65,12071.0,820128.0,65.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:25:00+00:00,0.65,0.65,0.62,0.62,0.6432,0.65,0.61,0.62,24065.0,833022.0,62.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:26:00+00:00,0.62,0.64,0.6,0.63,0.6273,0.62,0.62,0.63,11886.0,844615.0,63.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:27:00+00:00,0.63,0.64,0.57,0.58,0.628,0.63,0.57,0.58,109858.0,949935.0,57.99999999999999
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:28:00+00:00,0.58,0.58,0.53,0.54,0.5505,0.58,0.53,0.54,14384.0,958089.0,54.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:29:00+00:00,0.54,0.55,0.53,0.55,0.5357,0.54,0.54,0.55,22160.0,960885.0,55.00000000000001
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:30:00+00:00,0.55,0.55,0.52,0.53,0.5318,0.55,0.52,0.53,36624.0,951717.0,53.0
KXNBAGAME-26MAR07LACMEM-LAC,KXNBAGAME-26MAR07LACMEM,,LAC,,2026-03-08 01:31:00+00:00,0.53,0.54,0.5,0.51,0.5221,0.53,0.5,0.51,58054.0,1005305.0,51.0
