ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:09:00+00:00,0.71,0.71,0.71,0.71,0.71,0.72,0.7,0.71,4260.0,445395.0,71.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:10:00+00:00,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.71,5993.0,446644.0,71.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:11:00+00:00,0.71,0.73,0.71,0.72,0.7111,0.71,0.71,0.72,5714.0,452250.0,72.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:12:00+00:00,0.72,0.73,0.71,0.73,0.7284,0.72,0.72,0.73,2582.0,454832.0,73.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:13:00+00:00,0.73,0.73,0.72,0.73,0.7289,0.73,0.72,0.73,2498.0,457330.0,73.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:14:00+00:00,0.73,0.74,0.73,0.74,0.7381,0.73,0.72,0.74,4199.0,461496.0,74.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:15:00+00:00,0.75,0.75,0.71,0.72,0.7246,0.74,0.7,0.71,1512.0,462321.0,72.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:16:00+00:00,0.7,0.73,0.7,0.71,0.7199,0.72,0.71,0.73,23999.0,486034.0,71.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:17:00+00:00,0.72,0.74,0.72,0.74,0.728,0.71,0.73,0.74,15008.0,501026.0,74.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:18:00+00:00,0.74,0.75,0.72,0.74,0.7347,0.74,0.72,0.73,1893.0,502801.0,74.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:19:00+00:00,0.72,0.72,0.7,0.7,0.7112,0.74,0.7,0.71,1224.0,503941.0,70.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:20:00+00:00,0.71,0.72,0.71,0.72,0.7119,0.7,0.71,0.72,2814.0,506755.0,72.0
KXNBAGAME-26MAR07PHIATL-ATL,KXNBAGAME-26MAR07PHIATL,,ATL,,2026-03-07 23:21:00+00:00,0.72,0.72,0.71,0.72,0.7186,0.72,0.71,0.72,5175.0,511180.0,72.0
