ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:12:00+00:00,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,20283.0,724664.0,34.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:13:00+00:00,0.34,0.34,0.33,0.34,0.3383,0.34,0.33,0.34,8450.0,732847.0,34.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:14:00+00:00,0.33,0.34,0.32,0.32,0.3352,0.34,0.31,0.32,20992.0,753758.0,32.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:15:00+00:00,0.32,0.33,0.28,0.29,0.302,0.32,0.28,0.29,11850.0,765411.0,28.999999999999996
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:16:00+00:00,0.29,0.31,0.27,0.28,0.2907,0.29,0.27,0.28,13041.0,778205.0,28.000000000000004
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:17:00+00:00,0.28,0.32,0.28,0.3,0.2922,0.28,0.29,0.3,19065.0,797014.0,30.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:18:00+00:00,0.3,0.31,0.28,0.3,0.2972,0.3,0.28,0.3,19544.0,815975.0,30.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:19:00+00:00,0.3,0.32,0.26,0.31,0.2938,0.3,0.29,0.31,14438.0,827997.0,31.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:20:00+00:00,0.31,0.32,0.3,0.3,0.3053,0.31,0.29,0.3,19934.0,839525.0,30.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:21:00+00:00,0.3,0.3,0.23,0.24,0.2567,0.3,0.23,0.24,27045.0,866165.0,24.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:22:00+00:00,0.23,0.24,0.23,0.24,0.2395,0.24,0.23,0.24,32658.0,897118.0,24.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:23:00+00:00,0.24,0.24,0.23,0.24,0.2383,0.24,0.23,0.24,10381.0,905702.0,24.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:24:00+00:00,0.24,0.24,0.23,0.24,0.2389,0.24,0.23,0.24,9797.0,913562.0,24.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:25:00+00:00,0.24,0.26,0.22,0.26,0.2369,0.24,0.24,0.25,13335.0,920512.0,26.0
KXNBAGAME-26MAR08HOUSAS-HOU,KXNBAGAME-26MAR08HOUSAS,,HOU,,2026-03-09 00:26:00+00:00,0.24,0.25,0.22,0.23,0.2332,0.26,0.21,0.23,12931.0,932914.0,23.0
