period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,116,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,"Nuggets lineup change (Nikola Jokic, Aaron Gordon, Christian Braun, Jamal Murray, Cameron Johnson)",lineupchange,0,,basketball_play,1773099781,494,True,2026-03-09 23:43:01+00:00,1,720.0,0.0,0.0,1
4,115,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,0,12:00,"Thunder lineup change (Cason Wallace, Jaylin Williams, Luguentz Dort, Isaiah Joe, Shai Gilgeous-Alexander)",lineupchange,0,,basketball_play,1773099781,493,True,2026-03-09 23:43:01+00:00,1,720.0,0.0,0.0,2
4,114,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773099781,492,True,2026-03-09 23:43:01+00:00,1,720.0,0.0,0.0,3
4,113,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,0,12:00,Nikola Jokic vs. Jaylin Williams (Aaron Gordon gains possession),opentip,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099783,491,True,2026-03-09 23:43:03+00:00,1,720.0,0.0,0.0,4
4,112,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,2,11:43,Nikola Jokic makes two point floating jump shot (Jamal Murray assists),twopointmade,0,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1773099796,490,True,2026-03-09 23:43:16+00:00,1,703.0,17.0,0.2833333333333333,5
4,111,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,2,11:30,Luguentz Dort misses three point jump shot,threepointmiss,0,,basketball_play,1773099810,489,True,2026-03-09 23:43:30+00:00,1,690.0,30.0,0.5,6
4,110,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,2,11:26,Christian Braun defensive rebound,rebound,0,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099814,488,True,2026-03-09 23:43:34+00:00,1,686.0,34.0,0.5666666666666667,7
4,109,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,11:18,Nikola Jokic makes two point cutting layup (Aaron Gordon assists),twopointmade,0,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1773099822,487,True,2026-03-09 23:43:42+00:00,1,678.0,42.0,0.7,8
4,108,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,11:06,Shai Gilgeous-Alexander makes two point pullup jump shot,twopointmade,2,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099834,486,True,2026-03-09 23:43:54+00:00,1,666.0,54.0,0.9,9
4,107,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:49,Christian Braun misses three point jump shot,threepointmiss,2,,basketball_play,1773099850,485,True,2026-03-09 23:44:10+00:00,1,649.0,71.0,1.1833333333333333,10
4,106,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:46,Aaron Gordon offensive rebound,rebound,2,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099853,484,True,2026-03-09 23:44:13+00:00,1,646.0,74.0,1.2333333333333334,11
4,105,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:45,Aaron Gordon misses two point putback layup,twopointmiss,2,,basketball_play,1773099854,483,True,2026-03-09 23:44:14+00:00,1,645.0,75.0,1.25,12
4,104,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,10:42,Shai Gilgeous-Alexander defensive rebound,rebound,2,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1773099857,482,True,2026-03-09 23:44:17+00:00,1,642.0,78.0,1.3,13
4,103,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,10:36,Jaylin Williams makes three point running jump shot (Shai Gilgeous-Alexander assists),threepointmade,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099863,481,True,2026-03-09 23:44:23+00:00,1,636.0,84.0,1.4,14
4,102,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,4,10:22,Cason Wallace shooting foul (Aaron Gordon draws the foul),shootingfoul,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099882,480,True,2026-03-09 23:44:42+00:00,1,622.0,98.0,1.6333333333333333,15
4,101,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:22,Aaron Gordon misses regular free throw 1 of 3,freethrowmiss,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099921,479,True,2026-03-09 23:45:21+00:00,1,622.0,98.0,1.6333333333333333,16
4,100,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,4,10:22,Nuggets offensive rebound,rebound,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099921,478,True,2026-03-09 23:45:21+00:00,1,622.0,98.0,1.6333333333333333,17
4,99,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,5,10:22,Aaron Gordon makes regular free throw 2 of 3,freethrowmade,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099939,477,True,2026-03-09 23:45:39+00:00,1,622.0,98.0,1.6333333333333333,18
4,98,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,6,10:22,Aaron Gordon makes regular free throw 3 of 3,freethrowmade,5,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,basketball_play,1773099953,476,True,2026-03-09 23:45:53+00:00,1,622.0,98.0,1.6333333333333333,19
4,97,quarter,1,a85f6eca-2f3b-4f61-83ab-8d049f59ce2c,6,10:15,Isaiah Joe misses three point jump shot,threepointmiss,5,,basketball_play,1773099960,475,True,2026-03-09 23:46:00+00:00,1,615.0,105.0,1.75,20
4,96,quarter,1,ba2cb6be-9827-46a8-8e6f-d8661307ba77,6,10:12,Jamal Murray defensive rebound,rebound,5,ba2cb6be-9827-46a8-8e6f-d8661307ba77,basketball_play,1773099963,474,True,2026-03-09 23:46:03+00:00,1,612.0,108.0,1.8,21
