period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,100,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,12:00,"Grizzlies lineup change (Cam Spencer, Olivier-Maxence Prosper, Javon Small, Jaylen Wells, GG Jackson)",lineupchange,0,,basketball_play,1773099654,473,True,2026-03-09 23:40:54+00:00,1,720.0,0.0,0.0,1
4,99,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,12:00,"Nets lineup change (Nolan Traore, Drake Powell, Nic Claxton, Danny Wolf, Noah Clowney)",lineupchange,0,,basketball_play,1773099654,472,True,2026-03-09 23:40:54+00:00,1,720.0,0.0,0.0,2
4,98,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773099654,471,True,2026-03-09 23:40:54+00:00,1,720.0,0.0,0.0,3
4,97,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,12:00,Olivier-Maxence Prosper vs. Nic Claxton (Nolan Traore gains possession),opentip,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099657,470,True,2026-03-09 23:40:57+00:00,1,720.0,0.0,0.0,4
4,96,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:45,Olivier-Maxence Prosper blocks Nolan Traore's two point driving layup,twopointmiss,0,,basketball_play,1773099668,469,True,2026-03-09 23:41:08+00:00,1,705.0,15.0,0.25,5
4,95,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:42,Jaylen Wells defensive rebound,rebound,0,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099671,468,True,2026-03-09 23:41:11+00:00,1,702.0,18.0,0.3,6
4,94,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,0,11:31,Javon Small misses two point stepback jump shot,twopointmiss,0,,basketball_play,1773099683,467,True,2026-03-09 23:41:23+00:00,1,691.0,29.0,0.48333333333333334,7
4,93,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:28,Danny Wolf defensive rebound,rebound,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099686,466,True,2026-03-09 23:41:26+00:00,1,688.0,32.0,0.5333333333333333,8
4,92,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:24,Cam Spencer blocks Noah Clowney's two point running layup,twopointmiss,0,,basketball_play,1773099691,465,True,2026-03-09 23:41:31+00:00,1,684.0,36.0,0.6,9
4,91,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:24,Nets offensive rebound,rebound,0,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099691,464,True,2026-03-09 23:41:31+00:00,1,684.0,36.0,0.6,10
4,90,quarter,1,,0,11:24,Stoppage (Out of bounds),stoppage,0,,basketball_play,1773099695,463,True,2026-03-09 23:41:35+00:00,1,684.0,36.0,0.6,11
4,89,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,0,11:16,Nic Claxton makes two point alley-oop dunk (Nolan Traore assists),twopointmade,2,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099714,462,True,2026-03-09 23:41:54+00:00,1,676.0,44.0,0.7333333333333333,12
4,88,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,3,10:54,Jaylen Wells makes three point jump shot (Cam Spencer assists),threepointmade,2,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099735,461,True,2026-03-09 23:42:15+00:00,1,654.0,66.0,1.1,13
4,87,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,10:36,Danny Wolf misses two point driving floating jump shot,twopointmiss,2,,basketball_play,1773099753,460,True,2026-03-09 23:42:33+00:00,1,636.0,84.0,1.4,14
4,86,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,3,10:31,Olivier-Maxence Prosper defensive rebound,rebound,2,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099758,459,True,2026-03-09 23:42:38+00:00,1,631.0,89.0,1.4833333333333334,15
4,85,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,3,10:13,Cam Spencer misses two point pullup jump shot,twopointmiss,2,,basketball_play,1773099777,458,True,2026-03-09 23:42:57+00:00,1,613.0,107.0,1.7833333333333334,16
4,84,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,10:08,Danny Wolf defensive rebound,rebound,2,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099782,457,True,2026-03-09 23:43:02+00:00,1,608.0,112.0,1.8666666666666667,17
4,83,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,3,10:00,Nic Claxton makes two point dunk (Noah Clowney assists),twopointmade,4,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099789,456,True,2026-03-09 23:43:09+00:00,1,600.0,120.0,2.0,18
4,82,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,9:46,GG Jackson makes two point driving floating jump shot (Javon Small assists),twopointmade,4,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099804,455,True,2026-03-09 23:43:24+00:00,1,586.0,134.0,2.2333333333333334,19
4,81,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,5,9:34,Nolan Traore makes two point driving bank jump shot,twopointmade,6,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099816,454,True,2026-03-09 23:43:36+00:00,1,574.0,146.0,2.433333333333333,20
4,80,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,5,9:22,Javon Small misses three point pullup jump shot,threepointmiss,6,,basketball_play,1773099827,453,True,2026-03-09 23:43:47+00:00,1,562.0,158.0,2.6333333333333333,21
4,79,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,5,9:20,Drake Powell defensive rebound,rebound,6,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099829,452,True,2026-03-09 23:43:49+00:00,1,560.0,160.0,2.6666666666666665,22
4,78,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,5,9:12,Noah Clowney turnover (bad pass) (Jaylen Wells steals),turnover,6,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099838,451,True,2026-03-09 23:43:58+00:00,1,552.0,168.0,2.8,23
4,77,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,9:05,GG Jackson makes two point running dunk (Olivier-Maxence Prosper assists),twopointmade,6,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099845,450,True,2026-03-09 23:44:05+00:00,1,545.0,175.0,2.9166666666666665,24
4,76,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,8:47,Olivier-Maxence Prosper shooting foul (Nic Claxton draws the foul),shootingfoul,6,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099864,449,True,2026-03-09 23:44:24+00:00,1,527.0,193.0,3.216666666666667,25
4,75,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,7,8:47,Nic Claxton makes regular free throw 1 of 2,freethrowmade,7,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099891,448,True,2026-03-09 23:44:51+00:00,1,527.0,193.0,3.216666666666667,26
4,74,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,7,8:47,"Grizzlies lineup change (Cam Spencer, Olivier-Maxence Prosper, Javon Small, Rayan Rupert, Jaylen Wells)",lineupchange,7,,basketball_play,1773099911,447,True,2026-03-09 23:45:11+00:00,1,527.0,193.0,3.216666666666667,27
4,73,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,7,8:47,Nic Claxton makes regular free throw 2 of 2,freethrowmade,8,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099911,446,True,2026-03-09 23:45:11+00:00,1,527.0,193.0,3.216666666666667,28
4,72,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,10,8:32,Olivier-Maxence Prosper makes three point jump shot (Cam Spencer assists),threepointmade,8,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773099928,445,True,2026-03-09 23:45:28+00:00,1,512.0,208.0,3.466666666666667,29
4,71,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,8:13,Cam Spencer blocks Drake Powell's two point driving layup,twopointmiss,8,,basketball_play,1773099948,444,True,2026-03-09 23:45:48+00:00,1,493.0,227.0,3.783333333333333,30
4,70,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,10,8:10,Cam Spencer defensive rebound,rebound,8,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099951,443,True,2026-03-09 23:45:51+00:00,1,490.0,230.0,3.8333333333333335,31
4,69,quarter,1,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,10,8:06,Nolan Traore shooting foul (Rayan Rupert draws the foul),shootingfoul,8,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099956,442,True,2026-03-09 23:45:56+00:00,1,486.0,234.0,3.9,32
4,68,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,11,8:06,Rayan Rupert makes regular free throw 1 of 2,freethrowmade,8,1cfe70b8-4dfc-47dc-acca-b68d4a725972,basketball_play,1773099989,441,True,2026-03-09 23:46:29+00:00,1,486.0,234.0,3.9,33
4,67,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,11,8:06,"Grizzlies lineup change (Cam Spencer, Jahmai Mashack, Walter Clayton Jr., Rayan Rupert, Jaylen Wells)",lineupchange,8,,basketball_play,1773099990,440,True,2026-03-09 23:46:30+00:00,1,486.0,234.0,3.9,34
4,66,quarter,1,1cfe70b8-4dfc-47dc-acca-b68d4a725972,12,8:06,Rayan Rupert makes regular free throw 2 of 2,freethrowmade,8,7cc1eb26-46ee-44b7-94ad-248ee3b0fbd3,basketball_play,1773100008,439,True,2026-03-09 23:46:48+00:00,1,486.0,234.0,3.9,35
