period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,112,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,12:00,"Knicks lineup change (Jalen Brunson, Josh Hart, Karl-Anthony Towns, OG Anunoby, Mikal Bridges)",lineupchange,0,,basketball_play,1773108767,469,True,2026-03-10 02:12:47+00:00,1,720.0,0.0,0.0,1
4,111,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,"Clippers lineup change (Kris Dunn, Darius Garland, Brook Lopez, Derrick Jones Jr., Kawhi Leonard)",lineupchange,0,,basketball_play,1773108767,468,True,2026-03-10 02:12:47+00:00,1,720.0,0.0,0.0,2
4,110,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773108767,467,True,2026-03-10 02:12:47+00:00,1,720.0,0.0,0.0,3
4,109,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,12:00,Karl-Anthony Towns vs. Brook Lopez (Darius Garland gains possession),opentip,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1773108771,466,True,2026-03-10 02:12:51+00:00,1,720.0,0.0,0.0,4
4,108,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:40,Kawhi Leonard misses two point fadeaway jump shot,twopointmiss,0,,basketball_play,1773108786,465,True,2026-03-10 02:13:06+00:00,1,700.0,20.0,0.3333333333333333,5
4,107,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:38,OG Anunoby defensive rebound,rebound,0,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1773108788,464,True,2026-03-10 02:13:08+00:00,1,698.0,22.0,0.36666666666666664,6
4,106,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:32,OG Anunoby misses two point running finger roll layup,twopointmiss,0,,basketball_play,1773108795,463,True,2026-03-10 02:13:15+00:00,1,692.0,28.0,0.4666666666666667,7
4,105,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:30,Kris Dunn defensive rebound,rebound,0,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1773108797,462,True,2026-03-10 02:13:17+00:00,1,690.0,30.0,0.5,8
4,104,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,11:26,Derrick Jones Jr. makes three point running jump shot (Kawhi Leonard assists),threepointmade,3,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1773108801,461,True,2026-03-10 02:13:21+00:00,1,686.0,34.0,0.5666666666666667,9
4,103,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,11:01,OG Anunoby turnover (lost ball) (Kris Dunn steals),turnover,3,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1773108826,460,True,2026-03-10 02:13:46+00:00,1,661.0,59.0,0.9833333333333333,10
4,102,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,10:52,Kawhi Leonard makes three point pullup jump shot,threepointmade,6,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1773108835,459,True,2026-03-10 02:13:55+00:00,1,652.0,68.0,1.1333333333333333,11
4,101,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,0,10:30,Mikal Bridges misses two point fadeaway jump shot,twopointmiss,6,,basketball_play,1773108857,458,True,2026-03-10 02:14:17+00:00,1,630.0,90.0,1.5,12
4,100,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,10:27,Kris Dunn defensive rebound,rebound,6,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1773108860,457,True,2026-03-10 02:14:20+00:00,1,627.0,93.0,1.55,13
4,99,quarter,1,daca4413-0ea1-4db2-a815-f05c181ef0a6,0,10:24,Darius Garland makes three point running jump shot (Kris Dunn assists),threepointmade,9,67468ecc-b868-43a4-b9dc-751a52894bb0,basketball_play,1773108862,456,True,2026-03-10 02:14:22+00:00,1,624.0,96.0,1.6,14
4,98,quarter,1,67468ecc-b868-43a4-b9dc-751a52894bb0,2,10:08,Jalen Brunson makes two point fadeaway jump shot,twopointmade,9,daca4413-0ea1-4db2-a815-f05c181ef0a6,basketball_play,1773108880,455,True,2026-03-10 02:14:40+00:00,1,608.0,112.0,1.8666666666666667,15
