ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:10:00+00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.56,1589.0,324929.0,56.00000000000001
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:11:00+00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.56,6105.0,331034.0,56.00000000000001
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:12:00+00:00,0.56,0.56,0.54,0.54,0.5491,0.56,0.53,0.55,2158.0,332695.0,54.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:13:00+00:00,0.55,0.6,0.54,0.58,0.582,0.54,0.57,0.58,17082.0,349274.0,57.99999999999999
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:14:00+00:00,0.58,0.61,0.56,0.6,0.5826,0.58,0.59,0.6,14281.0,357658.0,60.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:15:00+00:00,0.6,0.61,0.57,0.58,0.5883,0.6,0.57,0.58,12835.0,365794.0,57.99999999999999
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:16:00+00:00,0.58,0.59,0.56,0.58,0.5725,0.58,0.57,0.59,12157.0,377824.0,57.99999999999999
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:17:00+00:00,0.59,0.59,0.55,0.55,0.575,0.58,0.55,0.56,3605.0,381427.0,55.00000000000001
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:18:00+00:00,0.56,0.56,0.5,0.51,0.5327,0.55,0.5,0.51,9205.0,390348.0,51.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:19:00+00:00,0.51,0.51,0.46,0.47,0.4788,0.51,0.46,0.47,23991.0,412988.0,47.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:20:00+00:00,0.47,0.47,0.45,0.47,0.4689,0.47,0.46,0.47,68074.0,477703.0,47.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:21:00+00:00,0.47,0.47,0.46,0.47,0.47,0.47,0.46,0.48,18288.0,495685.0,47.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:22:00+00:00,0.48,0.48,0.46,0.47,0.4734,0.47,0.46,0.47,17763.0,512590.0,47.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:23:00+00:00,0.47,0.53,0.47,0.5,0.5076,0.47,0.49,0.5,23393.0,535573.0,50.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:24:00+00:00,0.5,0.51,0.48,0.51,0.4983,0.5,0.49,0.5,28113.0,563643.0,51.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:25:00+00:00,0.5,0.52,0.45,0.46,0.4779,0.51,0.44,0.46,45679.0,608217.0,46.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:26:00+00:00,0.46,0.49,0.44,0.48,0.4755,0.46,0.49,0.5,29090.0,630415.0,48.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:27:00+00:00,0.5,0.51,0.44,0.45,0.4741,0.48,0.44,0.45,34742.0,662818.0,45.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:28:00+00:00,0.45,0.45,0.44,0.44,0.4472,0.45,0.43,0.44,10150.0,669727.0,44.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:29:00+00:00,0.44,0.44,0.41,0.43,0.4301,0.44,0.42,0.43,11764.0,679868.0,43.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:30:00+00:00,0.43,0.43,0.41,0.42,0.4272,0.43,0.41,0.42,21054.0,700128.0,42.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:31:00+00:00,0.42,0.45,0.4,0.45,0.432,0.42,0.44,0.45,8612.0,707814.0,45.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:32:00+00:00,0.45,0.47,0.38,0.4,0.4338,0.45,0.39,0.4,29053.0,735130.0,40.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:33:00+00:00,0.4,0.42,0.38,0.39,0.3964,0.4,0.38,0.39,9676.0,742300.0,39.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:34:00+00:00,0.39,0.42,0.37,0.41,0.3926,0.39,0.4,0.41,6135.0,747243.0,41.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:35:00+00:00,0.41,0.42,0.39,0.41,0.4104,0.41,0.39,0.41,13491.0,755793.0,41.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:36:00+00:00,0.4,0.4,0.33,0.33,0.3592,0.41,0.32,0.33,27140.0,770016.0,33.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:37:00+00:00,0.32,0.34,0.3,0.31,0.3292,0.33,0.3,0.31,12542.0,781572.0,31.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:38:00+00:00,0.31,0.31,0.28,0.3,0.2996,0.31,0.29,0.3,34122.0,811678.0,30.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:39:00+00:00,0.3,0.3,0.29,0.3,0.2994,0.3,0.29,0.3,31865.0,839873.0,30.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:40:00+00:00,0.3,0.31,0.29,0.31,0.2987,0.3,0.3,0.31,76719.0,886714.0,31.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:41:00+00:00,0.31,0.35,0.3,0.32,0.3299,0.31,0.3,0.32,15544.0,898054.0,32.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:42:00+00:00,0.32,0.33,0.29,0.32,0.3091,0.32,0.31,0.32,12530.0,902527.0,32.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:43:00+00:00,0.32,0.33,0.3,0.31,0.3188,0.32,0.3,0.31,20607.0,906009.0,31.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:44:00+00:00,0.31,0.31,0.29,0.3,0.3022,0.31,0.29,0.3,7233.0,910846.0,30.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:45:00+00:00,0.3,0.3,0.26,0.26,0.2801,0.3,0.25,0.26,23747.0,911295.0,26.0
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:46:00+00:00,0.26,0.29,0.26,0.28,0.2714,0.26,0.27,0.28,43423.0,951811.0,28.000000000000004
KXNBAGAME-26MAR10CHAPOR-CHA,KXNBAGAME-26MAR10CHAPOR,,CHA,,2026-03-11 02:47:00+00:00,0.28,0.28,0.21,0.22,0.2461,0.28,0.21,0.22,28163.0,973326.0,22.0
