ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:10:00+00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.69,1554.0,380737.0,69.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:11:00+00:00,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.69,1499.0,382236.0,69.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:12:00+00:00,0.69,0.69,0.65,0.67,0.6615,0.69,0.66,0.67,18602.0,390644.0,67.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:13:00+00:00,0.67,0.7,0.67,0.67,0.6783,0.67,0.66,0.67,7705.0,398249.0,67.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:14:00+00:00,0.67,0.67,0.65,0.66,0.6558,0.67,0.66,0.67,7847.0,402498.0,66.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:15:00+00:00,0.67,0.68,0.66,0.68,0.6794,0.66,0.67,0.68,6930.0,409402.0,68.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:16:00+00:00,0.68,0.73,0.68,0.73,0.7014,0.68,0.71,0.73,3757.0,412927.0,73.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:17:00+00:00,0.73,0.73,0.72,0.73,0.7299,0.73,0.72,0.73,9008.0,421808.0,73.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:18:00+00:00,0.73,0.73,0.72,0.72,0.7262,0.73,0.71,0.72,7730.0,429525.0,72.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:19:00+00:00,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.72,4462.0,433987.0,72.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:20:00+00:00,0.72,0.74,0.72,0.73,0.7259,0.72,0.72,0.73,1240.0,435118.0,73.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:21:00+00:00,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.73,3334.0,438452.0,73.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:22:00+00:00,0.73,0.74,0.72,0.72,0.7222,0.73,0.7,0.71,3553.0,441955.0,72.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:23:00+00:00,0.71,0.73,0.69,0.7,0.6939,0.72,0.69,0.7,6228.0,448182.0,70.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:24:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,1712.0,449894.0,70.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:25:00+00:00,0.7,0.7,0.68,0.7,0.6981,0.7,0.68,0.7,2074.0,451768.0,70.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:26:00+00:00,0.7,0.7,0.67,0.68,0.6975,0.7,0.66,0.67,4390.0,456114.0,68.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:27:00+00:00,0.67,0.71,0.67,0.71,0.6932,0.68,0.69,0.7,2207.0,457730.0,71.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:28:00+00:00,0.7,0.7,0.67,0.69,0.6772,0.71,0.68,0.69,6240.0,463724.0,69.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:29:00+00:00,0.69,0.71,0.65,0.65,0.6899,0.69,0.65,0.66,5961.0,469136.0,65.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:30:00+00:00,0.66,0.68,0.66,0.66,0.6614,0.65,0.65,0.66,6686.0,475822.0,66.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:31:00+00:00,0.66,0.67,0.65,0.67,0.6616,0.66,0.66,0.67,8598.0,480176.0,67.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:32:00+00:00,0.67,0.72,0.67,0.7,0.6825,0.67,0.69,0.7,4008.0,482380.0,70.0
KXNBAGAME-26MAR13NOPHOU-HOU,KXNBAGAME-26MAR13NOPHOU,,HOU,,2026-03-14 00:33:00+00:00,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.7,3031.0,485411.0,70.0
