period_index,event_index,period_type,period_number,attribution,away_points,clock,description,event_type,home_points,possession,type,wall_clock,pbp_source_row,has_wall_clock,event_ts_utc,period_sequence,game_clock_seconds_remaining,game_elapsed_seconds,game_elapsed_minutes,pbp_chronological_index
4,113,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,"Magic lineup change (Desmond Bane, Jalen Suggs, Wendell Carter Jr., Paolo Banchero, Tristan da Silva)",lineupchange,0,,basketball_play,1773533534,484,True,2026-03-15 00:12:14+00:00,1,720.0,0.0,0.0,1
4,112,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,0,12:00,"Heat lineup change (Pelle Larsson, Davion Mitchell, Kel'el Ware, Tyler Herro, Bam Adebayo)",lineupchange,0,,basketball_play,1773533534,483,True,2026-03-15 00:12:14+00:00,1,720.0,0.0,0.0,2
4,111,quarter,1,,0,12:00,Start of 1st Quarter,startperiod,0,,basketball_play,1773533534,482,True,2026-03-15 00:12:14+00:00,1,720.0,0.0,0.0,3
4,110,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,0,12:00,Wendell Carter Jr. vs. Kel'el Ware (Paolo Banchero gains possession),opentip,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1773533543,481,True,2026-03-15 00:12:23+00:00,1,720.0,0.0,0.0,4
4,109,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,0,11:40,Kel'el Ware shooting foul (Desmond Bane draws the foul),shootingfoul,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1773533557,480,True,2026-03-15 00:12:37+00:00,1,700.0,20.0,0.3333333333333333,5
4,108,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,1,11:40,Desmond Bane makes regular free throw 1 of 2,freethrowmade,0,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1773533583,479,True,2026-03-15 00:13:03+00:00,1,700.0,20.0,0.3333333333333333,6
4,107,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,11:40,Desmond Bane makes regular free throw 2 of 2,freethrowmade,0,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1773533597,478,True,2026-03-15 00:13:17+00:00,1,700.0,20.0,0.3333333333333333,7
4,106,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,2,11:29,Desmond Bane personal foul (Pelle Larsson draws the foul),personalfoul,0,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1773533615,477,True,2026-03-15 00:13:35+00:00,1,689.0,31.0,0.5166666666666667,8
4,105,quarter,1,a17e4a68-2999-4f60-b67e-3e80aa9e198b,2,11:15,Davion Mitchell makes three point stepback jump shot,threepointmade,3,00c3e69d-d9b9-4ac3-bf79-19707fe43637,basketball_play,1773533641,476,True,2026-03-15 00:14:01+00:00,1,675.0,45.0,0.75,9
4,104,quarter,1,00c3e69d-d9b9-4ac3-bf79-19707fe43637,5,11:06,Desmond Bane makes three point jump shot (Wendell Carter Jr. assists),threepointmade,3,a17e4a68-2999-4f60-b67e-3e80aa9e198b,basketball_play,1773533651,475,True,2026-03-15 00:14:11+00:00,1,666.0,54.0,0.9,10
