ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:41:00+00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,6146.0,923607.0,59.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:42:00+00:00,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.59,13902.0,937509.0,59.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:43:00+00:00,0.59,0.61,0.58,0.6,0.5978,0.59,0.59,0.6,8064.0,945061.0,60.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:44:00+00:00,0.59,0.61,0.57,0.57,0.5897,0.6,0.56,0.57,29699.0,972094.0,56.99999999999999
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:45:00+00:00,0.57,0.57,0.52,0.52,0.5385,0.57,0.51,0.52,24890.0,989540.0,52.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:46:00+00:00,0.52,0.55,0.51,0.54,0.5352,0.52,0.53,0.54,27201.0,1009202.0,54.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:47:00+00:00,0.54,0.54,0.51,0.53,0.5343,0.54,0.52,0.53,24406.0,1033601.0,53.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:48:00+00:00,0.53,0.53,0.5,0.51,0.5133,0.53,0.5,0.51,29216.0,1062680.0,51.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:49:00+00:00,0.51,0.51,0.5,0.51,0.51,0.51,0.5,0.51,13731.0,1076303.0,51.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:50:00+00:00,0.51,0.51,0.5,0.51,0.51,0.51,0.5,0.51,9252.0,1085526.0,51.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:51:00+00:00,0.51,0.51,0.46,0.46,0.4855,0.51,0.46,0.47,32359.0,1102961.0,46.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:52:00+00:00,0.47,0.47,0.44,0.46,0.455,0.46,0.45,0.46,25258.0,1125901.0,46.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:53:00+00:00,0.46,0.47,0.45,0.47,0.4672,0.46,0.46,0.47,67785.0,1193467.0,47.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:54:00+00:00,0.47,0.47,0.46,0.47,0.4685,0.47,0.46,0.47,33633.0,1220548.0,47.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:55:00+00:00,0.47,0.5,0.46,0.5,0.4839,0.47,0.49,0.5,22738.0,1242488.0,50.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:56:00+00:00,0.5,0.52,0.5,0.52,0.517,0.5,0.51,0.52,30863.0,1273141.0,52.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:57:00+00:00,0.52,0.53,0.51,0.53,0.5269,0.52,0.51,0.53,60052.0,1332646.0,53.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:58:00+00:00,0.53,0.53,0.51,0.51,0.5221,0.53,0.51,0.52,25788.0,1354295.0,51.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 19:59:00+00:00,0.52,0.54,0.52,0.54,0.5343,0.51,0.53,0.54,14561.0,1368814.0,54.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:00:00+00:00,0.54,0.55,0.52,0.53,0.5323,0.54,0.52,0.53,22956.0,1385162.0,53.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:01:00+00:00,0.53,0.58,0.53,0.58,0.5646,0.53,0.57,0.58,30157.0,1384469.0,57.99999999999999
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:02:00+00:00,0.58,0.61,0.57,0.61,0.5851,0.58,0.59,0.61,26893.0,1399116.0,61.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:03:00+00:00,0.61,0.62,0.6,0.62,0.6185,0.61,0.61,0.62,10201.0,1406188.0,62.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:04:00+00:00,0.62,0.63,0.61,0.63,0.6223,0.62,0.62,0.63,11846.0,1410806.0,63.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:05:00+00:00,0.63,0.63,0.56,0.56,0.6077,0.63,0.57,0.58,18519.0,1420124.0,56.00000000000001
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:06:00+00:00,0.57,0.58,0.57,0.57,0.5736,0.56,0.56,0.57,25049.0,1439073.0,56.99999999999999
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:07:00+00:00,0.57,0.61,0.57,0.59,0.5815,0.57,0.58,0.59,32653.0,1465641.0,59.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:08:00+00:00,0.59,0.6,0.59,0.59,0.5911,0.59,0.58,0.59,13694.0,1473196.0,59.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:09:00+00:00,0.59,0.63,0.59,0.59,0.599,0.59,0.58,0.59,27210.0,1492481.0,59.0
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:10:00+00:00,0.59,0.59,0.58,0.58,0.5863,0.59,0.57,0.58,4542.0,1497023.0,57.99999999999999
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:11:00+00:00,0.58,0.59,0.56,0.57,0.5737,0.58,0.56,0.57,8930.0,1505667.0,56.99999999999999
KXNBAGAME-26MAR15DETTOR-DET,KXNBAGAME-26MAR15DETTOR,,DET,,2026-03-15 20:12:00+00:00,0.57,0.57,0.53,0.53,0.5528,0.57,0.52,0.53,12824.0,1512700.0,53.0
