ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:38:00+00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,2.0,52167.0,27.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:39:00+00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,130.0,52297.0,27.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:40:00+00:00,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,228.0,52525.0,27.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:41:00+00:00,0.27,0.27,0.25,0.25,0.2613,0.27,0.24,0.25,1764.0,53915.0,25.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:42:00+00:00,0.24,0.25,0.22,0.25,0.2221,0.25,0.24,0.25,6003.0,59751.0,25.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:43:00+00:00,0.25,0.31,0.25,0.3,0.2847,0.25,0.29,0.3,1885.0,60892.0,30.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:44:00+00:00,0.3,0.31,0.29,0.3,0.3047,0.3,0.3,0.31,1247.0,62117.0,30.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:45:00+00:00,0.31,0.32,0.3,0.32,0.3102,0.3,0.31,0.32,6973.0,68951.0,32.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:46:00+00:00,0.32,0.33,0.29,0.3,0.3185,0.32,0.29,0.3,2850.0,71685.0,30.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:47:00+00:00,0.29,0.3,0.26,0.26,0.2745,0.3,0.26,0.27,1953.0,71835.0,26.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:48:00+00:00,0.26,0.27,0.26,0.27,0.2696,0.26,0.26,0.27,1413.0,73127.0,27.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:49:00+00:00,0.26,0.27,0.26,0.27,0.27,0.27,0.26,0.27,1942.0,75065.0,27.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:50:00+00:00,0.27,0.27,0.24,0.24,0.268,0.27,0.23,0.24,623.0,75675.0,24.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:51:00+00:00,0.25,0.25,0.23,0.24,0.2402,0.24,0.23,0.24,2917.0,78213.0,24.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:52:00+00:00,0.24,0.26,0.23,0.26,0.2412,0.24,0.25,0.26,3325.0,81330.0,26.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:53:00+00:00,0.25,0.26,0.22,0.22,0.2407,0.26,0.22,0.23,1102.0,82016.0,22.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:54:00+00:00,0.25,0.3,0.25,0.29,0.2824,0.22,0.27,0.28,886.0,82851.0,28.999999999999996
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:55:00+00:00,0.28,0.32,0.27,0.28,0.2858,0.29,0.28,0.3,8498.0,91310.0,28.000000000000004
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:56:00+00:00,0.28,0.33,0.28,0.33,0.3241,0.28,0.32,0.33,6620.0,91418.0,33.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:57:00+00:00,0.32,0.33,0.31,0.32,0.3177,0.33,0.31,0.32,2903.0,92914.0,32.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:58:00+00:00,0.32,0.32,0.31,0.32,0.3198,0.32,0.31,0.32,2983.0,95777.0,32.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 19:59:00+00:00,0.32,0.32,0.31,0.32,0.3199,0.32,0.31,0.32,781.0,96550.0,32.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:00:00+00:00,0.32,0.36,0.32,0.36,0.3439,0.32,0.34,0.36,1177.0,97198.0,36.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:01:00+00:00,0.36,0.37,0.33,0.34,0.3455,0.36,0.34,0.36,5983.0,101816.0,34.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:02:00+00:00,0.36,0.39,0.35,0.39,0.3646,0.34,0.38,0.39,1475.0,102967.0,39.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:03:00+00:00,0.39,0.4,0.37,0.39,0.3859,0.39,0.38,0.4,4624.0,105538.0,39.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:04:00+00:00,0.4,0.4,0.38,0.4,0.3998,0.39,0.4,0.43,5117.0,110649.0,40.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:05:00+00:00,0.43,0.47,0.43,0.45,0.4562,0.4,0.44,0.45,11018.0,119154.0,45.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:06:00+00:00,0.45,0.45,0.44,0.45,0.4469,0.45,0.44,0.45,6461.0,122709.0,45.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:07:00+00:00,0.44,0.45,0.43,0.44,0.4457,0.45,0.43,0.44,6405.0,127578.0,44.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:08:00+00:00,0.44,0.44,0.43,0.44,0.4389,0.44,0.43,0.44,3634.0,130613.0,44.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:09:00+00:00,0.45,0.45,0.41,0.42,0.4323,0.44,0.4,0.42,41222.0,170533.0,42.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:10:00+00:00,0.42,0.43,0.41,0.43,0.42,0.42,0.41,0.42,5621.0,176052.0,43.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:11:00+00:00,0.42,0.45,0.41,0.42,0.4223,0.43,0.4,0.42,9470.0,182906.0,42.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:12:00+00:00,0.42,0.42,0.38,0.38,0.4102,0.42,0.37,0.38,4127.0,186069.0,38.0
KXNBAGAME-26MAR15INDMIL-IND,KXNBAGAME-26MAR15INDMIL,,IND,,2026-03-15 20:13:00+00:00,0.37,0.38,0.33,0.34,0.3513,0.38,0.34,0.35,3373.0,188499.0,34.0
