ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:09:00+00:00,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,3702.0,600055.0,23.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:10:00+00:00,0.23,0.23,0.22,0.23,0.2299,0.23,0.22,0.23,9797.0,609794.0,23.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:11:00+00:00,0.23,0.24,0.22,0.24,0.2323,0.23,0.23,0.24,11906.0,621657.0,24.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:12:00+00:00,0.24,0.24,0.22,0.22,0.2246,0.24,0.21,0.22,20400.0,642045.0,22.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:13:00+00:00,0.22,0.22,0.17,0.18,0.1878,0.22,0.17,0.18,20504.0,662371.0,18.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:14:00+00:00,0.18,0.18,0.16,0.17,0.1699,0.18,0.16,0.17,20588.0,682124.0,17.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:15:00+00:00,0.17,0.17,0.13,0.16,0.1547,0.17,0.15,0.16,25316.0,700262.0,16.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:16:00+00:00,0.16,0.17,0.15,0.16,0.161,0.16,0.15,0.16,18362.0,717630.0,16.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:17:00+00:00,0.16,0.16,0.12,0.13,0.1471,0.16,0.12,0.13,27983.0,745344.0,13.0
KXNBAGAME-26MAR15MINOKC-MIN,KXNBAGAME-26MAR15MINOKC,,MIN,,2026-03-15 17:18:00+00:00,0.13,0.14,0.12,0.13,0.1357,0.13,0.12,0.14,23068.0,767100.0,13.0
