ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:09:00+00:00,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,4800.0,682474.0,26.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:10:00+00:00,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,2949.0,685423.0,26.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:11:00+00:00,0.26,0.26,0.25,0.25,0.2564,0.26,0.24,0.25,1901.0,687324.0,25.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:12:00+00:00,0.25,0.25,0.24,0.25,0.2414,0.25,0.24,0.25,4909.0,690753.0,25.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:13:00+00:00,0.25,0.26,0.24,0.24,0.2534,0.25,0.23,0.24,9204.0,699939.0,24.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:14:00+00:00,0.24,0.24,0.21,0.22,0.2256,0.24,0.21,0.22,8443.0,708140.0,22.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:15:00+00:00,0.22,0.27,0.22,0.27,0.2516,0.22,0.26,0.27,16999.0,719660.0,27.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:16:00+00:00,0.27,0.27,0.24,0.26,0.252,0.27,0.25,0.26,17431.0,734996.0,26.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:17:00+00:00,0.26,0.33,0.26,0.32,0.2941,0.26,0.32,0.33,30035.0,758917.0,32.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:18:00+00:00,0.33,0.33,0.32,0.33,0.3298,0.32,0.32,0.33,27375.0,785440.0,33.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:19:00+00:00,0.33,0.33,0.32,0.33,0.329,0.33,0.32,0.33,37448.0,815346.0,33.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:20:00+00:00,0.33,0.33,0.32,0.33,0.329,0.33,0.32,0.33,40387.0,848127.0,33.0
KXNBAGAME-26MAR16DALNOP-DAL,KXNBAGAME-26MAR16DALNOP,,DAL,,2026-03-17 00:21:00+00:00,0.33,0.34,0.31,0.34,0.3292,0.33,0.33,0.34,46040.0,893953.0,34.0
