ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:09:00+00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.56,3351.0,639475.0,56.00000000000001
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:10:00+00:00,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.56,8110.0,647585.0,56.00000000000001
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:11:00+00:00,0.56,0.58,0.55,0.58,0.5614,0.56,0.56,0.58,7931.0,655335.0,57.99999999999999
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:12:00+00:00,0.58,0.61,0.58,0.61,0.5977,0.58,0.59,0.61,18322.0,668971.0,61.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:13:00+00:00,0.61,0.64,0.61,0.64,0.634,0.61,0.64,0.65,24505.0,691714.0,64.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:14:00+00:00,0.65,0.65,0.6,0.6,0.6183,0.64,0.59,0.6,28087.0,709918.0,60.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:15:00+00:00,0.6,0.61,0.59,0.6,0.6054,0.6,0.59,0.6,10982.0,717898.0,60.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:16:00+00:00,0.6,0.6,0.57,0.57,0.5858,0.6,0.56,0.57,11559.0,729384.0,56.99999999999999
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:17:00+00:00,0.57,0.61,0.56,0.61,0.5817,0.57,0.6,0.62,12727.0,739656.0,61.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:18:00+00:00,0.62,0.63,0.62,0.63,0.6215,0.61,0.61,0.63,21139.0,756552.0,63.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:19:00+00:00,0.63,0.71,0.62,0.71,0.6717,0.63,0.69,0.71,10728.0,763867.0,71.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:20:00+00:00,0.71,0.71,0.69,0.71,0.7097,0.71,0.7,0.71,47213.0,809560.0,71.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:21:00+00:00,0.71,0.71,0.7,0.7,0.7095,0.71,0.7,0.71,23775.0,831105.0,70.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:22:00+00:00,0.7,0.72,0.7,0.71,0.7121,0.7,0.71,0.72,25778.0,854515.0,71.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:23:00+00:00,0.72,0.75,0.71,0.74,0.7298,0.71,0.73,0.74,9064.0,863481.0,74.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:24:00+00:00,0.74,0.75,0.74,0.74,0.7458,0.74,0.74,0.75,7024.0,867492.0,74.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:25:00+00:00,0.75,0.76,0.73,0.76,0.7481,0.74,0.74,0.76,24378.0,889093.0,76.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:26:00+00:00,0.75,0.77,0.71,0.77,0.7539,0.76,0.74,0.76,25086.0,909288.0,77.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:27:00+00:00,0.76,0.77,0.75,0.76,0.7604,0.77,0.75,0.76,26652.0,933754.0,76.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:28:00+00:00,0.76,0.78,0.74,0.77,0.7593,0.76,0.75,0.77,19376.0,951719.0,77.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:29:00+00:00,0.77,0.78,0.76,0.77,0.7697,0.77,0.75,0.77,40390.0,989294.0,77.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:30:00+00:00,0.77,0.79,0.75,0.79,0.7773,0.77,0.78,0.79,22604.0,1010887.0,79.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:31:00+00:00,0.79,0.81,0.78,0.81,0.8028,0.79,0.8,0.81,38635.0,1049237.0,81.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:32:00+00:00,0.81,0.81,0.8,0.8,0.8092,0.81,0.79,0.8,31712.0,1080620.0,80.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:33:00+00:00,0.8,0.82,0.78,0.82,0.8064,0.8,0.8,0.82,15127.0,1093087.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:34:00+00:00,0.82,0.85,0.8,0.84,0.8471,0.82,0.84,0.85,27423.0,1118188.0,84.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:35:00+00:00,0.84,0.86,0.84,0.85,0.8512,0.84,0.84,0.85,61594.0,1168225.0,85.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:36:00+00:00,0.85,0.85,0.83,0.84,0.8456,0.85,0.83,0.84,14095.0,1181257.0,84.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:37:00+00:00,0.83,0.84,0.8,0.83,0.8325,0.84,0.82,0.83,32543.0,1206043.0,83.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:38:00+00:00,0.83,0.84,0.81,0.82,0.8288,0.83,0.81,0.82,20399.0,1218112.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:39:00+00:00,0.82,0.83,0.8,0.82,0.8208,0.82,0.82,0.83,8132.0,1225040.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:40:00+00:00,0.82,0.82,0.81,0.82,0.8184,0.82,0.81,0.82,9646.0,1231778.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:41:00+00:00,0.82,0.82,0.81,0.82,0.8193,0.82,0.81,0.82,16183.0,1245577.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:42:00+00:00,0.81,0.82,0.81,0.82,0.8199,0.82,0.81,0.82,37331.0,1282072.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:43:00+00:00,0.82,0.82,0.81,0.82,0.8191,0.82,0.81,0.82,12349.0,1292117.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:44:00+00:00,0.81,0.82,0.81,0.82,0.8193,0.82,0.81,0.82,21132.0,1310207.0,82.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:45:00+00:00,0.81,0.83,0.8,0.81,0.8174,0.82,0.8,0.81,15267.0,1324258.0,81.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:46:00+00:00,0.81,0.81,0.78,0.79,0.7961,0.81,0.78,0.79,20448.0,1337376.0,79.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:47:00+00:00,0.79,0.8,0.75,0.75,0.7623,0.79,0.75,0.76,15574.0,1346561.0,75.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:48:00+00:00,0.76,0.76,0.75,0.76,0.7563,0.75,0.75,0.76,10187.0,1351924.0,76.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:49:00+00:00,0.76,0.76,0.74,0.75,0.7492,0.76,0.74,0.75,15170.0,1359424.0,75.0
KXNBAGAME-26MAR18LACNOP-LAC,KXNBAGAME-26MAR18LACNOP,,LAC,,2026-03-19 00:50:00+00:00,0.75,0.75,0.72,0.72,0.7421,0.75,0.72,0.73,9503.0,1367657.0,72.0
