ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:09:00+00:00,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.75,7.0,256251.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:10:00+00:00,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.75,332.0,256583.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:11:00+00:00,0.75,0.75,0.74,0.74,0.7492,0.75,0.73,0.74,166.0,256749.0,74.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:12:00+00:00,0.74,0.75,0.74,0.74,0.7435,0.74,0.73,0.74,2021.0,258766.0,74.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:13:00+00:00,0.75,0.78,0.75,0.78,0.7644,0.74,0.77,0.78,8659.0,260609.0,78.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:14:00+00:00,0.78,0.78,0.75,0.77,0.7637,0.78,0.76,0.77,6732.0,261628.0,77.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:15:00+00:00,0.77,0.79,0.77,0.79,0.7899,0.77,0.78,0.8,14218.0,274207.0,79.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:16:00+00:00,0.8,0.8,0.78,0.8,0.7976,0.79,0.79,0.8,11945.0,280424.0,80.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:17:00+00:00,0.8,0.81,0.75,0.75,0.7711,0.8,0.74,0.75,3154.0,282708.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:18:00+00:00,0.75,0.75,0.73,0.75,0.7409,0.75,0.74,0.75,14268.0,295865.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:19:00+00:00,0.74,0.75,0.74,0.75,0.7499,0.75,0.74,0.75,2090.0,297950.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:20:00+00:00,0.75,0.75,0.74,0.75,0.7497,0.75,0.74,0.75,2350.0,300235.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:21:00+00:00,0.75,0.76,0.74,0.75,0.7457,0.75,0.74,0.75,2849.0,302249.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:22:00+00:00,0.74,0.75,0.71,0.73,0.7362,0.75,0.72,0.73,8798.0,310948.0,73.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:23:00+00:00,0.73,0.74,0.73,0.73,0.7302,0.73,0.72,0.73,7957.0,318861.0,73.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:24:00+00:00,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.75,1563.0,319170.0,74.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:25:00+00:00,0.73,0.75,0.72,0.75,0.7344,0.74,0.74,0.75,1210.0,320269.0,75.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:26:00+00:00,0.75,0.79,0.75,0.78,0.7541,0.75,0.77,0.78,4639.0,320294.0,78.0
KXNBAGAME-26MAR21GSWATL-ATL,KXNBAGAME-26MAR21GSWATL,,ATL,,2026-03-22 00:27:00+00:00,0.78,0.79,0.78,0.79,0.7897,0.78,0.78,0.79,5287.0,325580.0,79.0
