ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:09:00+00:00,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,20004.0,304919.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:10:00+00:00,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.97,154.0,305073.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:11:00+00:00,0.97,0.97,0.96,0.96,0.96,0.97,0.96,0.97,1609.0,306373.0,96.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:12:00+00:00,0.97,0.98,0.96,0.97,0.9712,0.96,0.96,0.97,1304.0,307513.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:13:00+00:00,0.97,0.98,0.97,0.97,0.9716,0.97,0.96,0.97,14073.0,320868.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:14:00+00:00,0.97,0.97,0.96,0.97,0.969,0.97,0.96,0.97,6218.0,327085.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:15:00+00:00,0.97,0.98,0.97,0.98,0.9779,0.97,0.98,0.99,36513.0,363572.0,98.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:16:00+00:00,0.98,0.99,0.98,0.98,0.9814,0.98,0.97,0.98,8637.0,366513.0,98.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:17:00+00:00,0.97,0.99,0.97,0.98,0.9887,0.98,0.98,0.99,11596.0,377588.0,98.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:18:00+00:00,0.98,0.99,0.98,0.99,0.9896,0.98,0.98,0.99,3758.0,381311.0,99.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:19:00+00:00,0.98,0.98,0.97,0.98,0.9798,0.99,0.97,0.98,30919.0,400002.0,98.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:20:00+00:00,0.97,0.98,0.96,0.97,0.968,0.98,0.96,0.97,5227.0,403390.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:21:00+00:00,0.97,0.97,0.96,0.97,0.9694,0.97,0.96,0.97,5935.0,403769.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:22:00+00:00,0.97,0.97,0.96,0.97,0.9606,0.97,0.96,0.97,26941.0,410748.0,97.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:23:00+00:00,0.96,0.97,0.95,0.95,0.9599,0.97,0.95,0.96,24094.0,409000.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:24:00+00:00,0.96,0.96,0.95,0.96,0.9599,0.95,0.95,0.96,43707.0,447877.0,96.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:25:00+00:00,0.95,0.96,0.95,0.95,0.9512,0.96,0.94,0.95,16605.0,464439.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:26:00+00:00,0.95,0.95,0.94,0.94,0.9469,0.95,0.94,0.95,15379.0,479818.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:27:00+00:00,0.94,0.95,0.94,0.95,0.9428,0.94,0.94,0.95,1699.0,481494.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:28:00+00:00,0.95,0.95,0.94,0.95,0.9433,0.95,0.94,0.95,3793.0,485284.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:29:00+00:00,0.95,0.95,0.94,0.94,0.9484,0.95,0.94,0.95,15095.0,500379.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:30:00+00:00,0.95,0.95,0.94,0.95,0.9447,0.94,0.94,0.95,544.0,500923.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:31:00+00:00,0.95,0.95,0.94,0.94,0.9499,0.95,0.94,0.95,3109.0,504032.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:32:00+00:00,0.95,0.95,0.94,0.95,0.9499,0.94,0.94,0.95,7140.0,511172.0,95.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:33:00+00:00,0.94,0.95,0.94,0.94,0.9425,0.95,0.93,0.94,6415.0,517586.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:34:00+00:00,0.94,0.95,0.94,0.94,0.9409,0.94,0.93,0.94,3420.0,518763.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:35:00+00:00,0.94,0.95,0.94,0.94,0.9415,0.94,0.93,0.94,6999.0,525762.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:36:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,2924.0,528686.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:37:00+00:00,0.94,0.94,0.93,0.94,0.9399,0.94,0.93,0.94,3505.0,532191.0,94.0
KXNBAGAME-26MAR21OKCWAS-OKC,KXNBAGAME-26MAR21OKCWAS,,OKC,,2026-03-21 21:38:00+00:00,0.94,0.94,0.94,0.94,0.94,0.94,0.93,0.94,13561.0,545752.0,94.0
