ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:09:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,3131.0,321275.0,19.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:10:00+00:00,0.19,0.19,0.18,0.19,0.1886,0.19,0.18,0.19,1567.0,322624.0,19.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:11:00+00:00,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,4535.0,327159.0,19.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:12:00+00:00,0.17,0.2,0.17,0.2,0.1861,0.19,0.19,0.2,4110.0,331176.0,20.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:13:00+00:00,0.2,0.2,0.17,0.18,0.1919,0.2,0.17,0.18,4390.0,335318.0,18.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:14:00+00:00,0.18,0.19,0.18,0.19,0.1845,0.18,0.18,0.19,3864.0,339177.0,19.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:15:00+00:00,0.19,0.19,0.17,0.18,0.18,0.19,0.17,0.18,15020.0,354171.0,18.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:16:00+00:00,0.18,0.18,0.16,0.17,0.1734,0.18,0.17,0.18,1286.0,355095.0,17.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:17:00+00:00,0.17,0.23,0.17,0.23,0.1887,0.17,0.22,0.23,15716.0,368323.0,23.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:18:00+00:00,0.23,0.28,0.23,0.28,0.2749,0.23,0.27,0.28,17134.0,382556.0,28.000000000000004
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:19:00+00:00,0.28,0.3,0.27,0.3,0.2837,0.28,0.29,0.3,13081.0,394041.0,30.0
KXNBAGAME-26MAR23INDORL-IND,KXNBAGAME-26MAR23INDORL,,IND,,2026-03-23 23:20:00+00:00,0.3,0.31,0.29,0.31,0.3084,0.3,0.29,0.31,20745.0,412001.0,31.0
