ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:11:00+00:00,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.81,625.0,199751.0,81.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:12:00+00:00,0.81,0.81,0.8,0.81,0.8099,0.81,0.8,0.81,3637.0,203382.0,81.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:13:00+00:00,0.81,0.81,0.79,0.79,0.799,0.81,0.78,0.79,8744.0,211289.0,79.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:14:00+00:00,0.78,0.79,0.77,0.78,0.7869,0.79,0.76,0.78,19920.0,229717.0,78.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:15:00+00:00,0.77,0.77,0.72,0.72,0.7425,0.78,0.71,0.72,28245.0,249764.0,72.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:16:00+00:00,0.72,0.76,0.71,0.76,0.7386,0.72,0.74,0.76,18941.0,267796.0,76.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:17:00+00:00,0.76,0.77,0.75,0.76,0.7593,0.76,0.75,0.76,5758.0,273428.0,76.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:18:00+00:00,0.76,0.77,0.75,0.76,0.7611,0.76,0.75,0.76,14259.0,287011.0,76.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:19:00+00:00,0.76,0.77,0.74,0.75,0.7511,0.76,0.73,0.74,6827.0,293078.0,75.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:20:00+00:00,0.74,0.77,0.74,0.75,0.7523,0.75,0.74,0.75,5770.0,298848.0,75.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:21:00+00:00,0.75,0.78,0.75,0.77,0.7755,0.75,0.76,0.77,5579.0,304056.0,77.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:22:00+00:00,0.76,0.76,0.72,0.73,0.7412,0.77,0.72,0.73,8235.0,312147.0,73.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:23:00+00:00,0.73,0.74,0.73,0.74,0.7376,0.73,0.73,0.74,595.0,312551.0,74.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:24:00+00:00,0.74,0.74,0.73,0.73,0.7392,0.74,0.73,0.74,829.0,313305.0,73.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:25:00+00:00,0.74,0.74,0.74,0.74,0.74,0.73,0.73,0.74,1704.0,315009.0,74.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:26:00+00:00,0.74,0.74,0.72,0.72,0.7292,0.74,0.7,0.73,2659.0,317471.0,72.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:27:00+00:00,0.71,0.72,0.71,0.72,0.7169,0.72,0.71,0.72,2647.0,319226.0,72.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:28:00+00:00,0.72,0.75,0.71,0.75,0.7363,0.72,0.74,0.76,2817.0,321377.0,75.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:29:00+00:00,0.76,0.76,0.72,0.75,0.74,0.75,0.74,0.75,3201.0,324251.0,75.0
KXNBAGAME-26MAR24ORLCLE-CLE,KXNBAGAME-26MAR24ORLCLE,,CLE,,2026-03-25 00:30:00+00:00,0.75,0.76,0.75,0.76,0.7544,0.75,0.75,0.76,2795.0,327005.0,76.0
